time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31112709,4163200.4655738,5136049.67204027,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.5289865693572,-1.23026788740987,-6.61954989994585,6758662.11722884,1.02331944621101,-0.0,-0.202458193231342,-0.0,-2.4715939053549,-0.0371889644761344,-1.42899313488854,0.0,-0.0011344542745508,0.0,398252.763838142,3.1122E-12,976.192653674721,5.5289865693572,-1.23026788740987,-6.61954989994585
60.0,-1789712.64876688,3920255.3134273,5213136.60397904,-4276130.76360613,501640.15063872,5216447.94770978,440.899504425955,-7584.04304560366,1084.18939672292,5.50841669093322,-0.646201702281534,-6.71971240615587,6758662.11722887,1.02769471546425,-2.364808184E-6,-0.202456042600789,-1.006005757945E-4,-2.47205929639209,0.0161204236657014,-1.38666117967647,-7.049068604E-7,-0.0011344779878485,-3.3028523725E-6,398335.161468169,3.2024E-12,983.369143358291,5.50841669093322,-0.646201702281534,-6.71971240615587
120.0,-2144732.0333194,3662345.3126043,5266057.24088062,-4239785.46485071,45786.449266332,5269357.68010073,770.149856360686,-7605.20775889381,678.777242699508,5.46236021841803,-0.0589893241270332,-6.78881750197499,6758662.11722883,1.0320699847175,-2.51189964817E-5,-0.202449046743113,-4.002575026433E-4,-2.47030794868962,0.069280295155486,-1.34410218243724,-1.5682193696E-6,-0.0011344959082197,-6.6150804443E-6,398280.483168024,3.312E-12,991.275655191297,5.46236021841803,-0.0589893241270332,-6.78881750197499
180.0,-2492166.12299056,3390599.0029,5294562.85672707,-4183783.25764152,-410279.480789291,5297837.08956815,1095.87688042975,-7591.11290731489,270.159254331849,5.39101509822693,0.52866574084301,-6.82652947798943,6758662.11722882,1.03644525395931,-9.1796909114E-5,-0.202436413480054,-8.945341280153E-4,-2.46631584574527,0.122194572973341,-1.30107628427383,-2.5897433372E-6,-0.0011345075693188,-9.9359390526E-6,398085.3786748,3.4417E-12,999.861374013802,5.39101509822693,0.52866574084301,-6.82652947798943
240.0,-2830524.93283794,3106195.85223943,5298517.62697299,-4108380.89026465,-864442.894077516,5301750.47079899,1416.5720940025,-7541.81319429643,-139.77448384783,5.29469509567264,1.11405482451904,-6.83265572642931,6758662.11722884,1.04082052320969,-2.259016321156E-4,-0.202417401639533,-0.0015773854989592,-2.46003131186148,0.174763491620489,-1.25733917145186,-3.7692476845E-6,-0.0011345124437284,-1.32646764019E-5,397748.768104346,3.5916E-12,1009.03826093396,5.29469509567264,1.11405482451904,-6.83265572642931
300.0,-3158349.27068251,2810361.12607352,5277899.32207647,-4013924.98616908,-1314597.20057467,5281075.78379538,1730.74928789973,-7457.52569377281,-549.126655787512,5.17382866282785,1.69447627941292,-6.80714795491088,6758662.11722881,1.04519579246293,-4.507912578842E-4,-0.202391343697663,-0.0024411868488052,-2.45137463957029,0.226881529199867,-1.21263857867943,-5.1064639077E-6,-0.0011345099435635,-1.66005334892E-5,397271.883714379,3.7614E-12,1018.68603174665,5.17382866282785,1.69447627941292,-6.80714795491088
360.0,-3474217.0876188,2504360.59818322,5232799.48200484,-3900850.50203112,-1758653.68795,5235904.82755069,2036.95136094463,-7338.62906255864,-956.00139364551,5.02895729882105,2.26724769265305,-6.75010277495461,6758662.1172288,1.04957106170188,-7.895653599696E-4,-0.202357665935199,-0.0034767697023757,-2.44023743015857,0.278435208532751,-1.16671093064184,-6.6010854758E-6,-0.001134499421153,-1.9942743537E-5,396658.271816294,3.9505E-12,1028.66356558606,5.02895729882105,2.26724769265305,-6.75010277495461
420.0,-3776749.7157209,2189495.1251204,5163423.06959608,-3769678.77900142,-2194551.17459278,5166442.89226163,2333.75704093037,-7185.6620201973,-1358.5129738363,4.86073340379137,2.82971808104516,-6.66176165594907,6758662.11722882,1.05394633095227,-0.0012649521691087,-0.202315905355336,-0.0046734654282475,-2.42648177762254,0.329300715754733,-1.11927819435689,-8.252767164E-6,-0.0011344801697988,-2.32905314375E-5,395913.754633969,4.1579E-12,1038.82359594937,4.86073340379137,2.82971808104516,-6.66176165594907
480.0,-4064617.96585945,1867095.10630415,5070087.60293968,-3621015.19485927,-2620265.54951359,5073007.89024476,2619.7874617098,-6999.32109896086,-1754.79449109399,4.66991762971392,3.37928001560926,-6.54251023745084,6758662.11722886,1.05832160020265,-0.0018991969576233,-0.202265722683112,-0.0060191560236246,-2.40993949275385,0.379341291876588,-1.07004508713299,-1.00611243258E-5,-0.0011344514246144,-2.66431132077E-5,395046.352534709,4.3822E-12,1049.02643605174,4.66991762971392,3.37928001560926,-6.54251023745084
540.0,-4336548.05765017,1538514.85367808,4953221.76924825,-3455546.42660972,-3033819.1554875,4956028.9680342,2893.71256636816,-6780.45766980691,-2143.00647189947,4.45737573340151,3.91338162296548,-6.39287699509342,6758662.11722893,1.06269686945303,-0.0027139521541113,-0.202206910856821,-0.0075003318777319,-2.39041166284383,0.428404365850198,-1.01869688984379,-1.20257321061E-5,-0.0011344123634425,-2.99996954594E-5,394066.16768517,4.6222E-12,1059.14947100887,4.45737573340151,3.91338162296548,-6.39287699509342
600.0,-4591327.35512146,1205126.89368974,4813363.52501608,-3274037.3348504,-3433289.97224998,4816044.60446428,3154.25730682291,-6530.07425328215,-2521.34538840932,4.22407493918389,4.42953841007283,-6.21353125792587,6758662.11722894,1.06707213870913,-0.0037301697224376,-0.202139398527372,-0.0091021562247334,-2.36766898474829,0.476318421246715,-0.964898263413453,-1.41461245971E-5,-0.0011343621078543,-3.33594748843E-5,392985.230809613,4.8764E-12,1069.09131825969,4.22407493918389,4.42953841007283,-6.21353125792587
660.0,-4827809.88150349,868316.225201669,4651157.68959356,-3077327.48299947,-3816820.55719276,4653700.20187414,3400.20761071366,-6249.32012759414,-2888.05203397396,3.97107982105512,4.92534485815692,-6.00528057770761,6758662.11722897,1.0714474079538,-0.0049679963470526,-0.202063248200158,-0.0108085359672362,-2.34145350562307,0.522889629251059,-0.908293668414527,-1.64217939409E-5,-0.0011342997242303,-3.67216377576E-5,391817.313344238,5.1433E-12,1078.7715032867,3.97107982105512,4.92534485815692,-6.00528057770761
720.0,-5044921.58717981,529474.557546531,4467353.04163684,-2866327.30620534,-4182626.70183817,4469745.17990409,3630.41608710307,-5939.48624933574,-3241.41972144966,3.69954771645439,5.39848573122372,-5.76906745354871,6758662.11722898,1.07582267720419,-0.0064466719695715,-0.201978648783574,-0.0126021985270697,-2.31148266273773,0.567898347227422,-0.84851024962313,-1.88521893815E-5,-0.0011342242249244,-4.00853594607E-5,390577.707881745,5.4213E-12,1088.12741165133,3.69954771645439,5.39848573122372,-5.76906745354871
780.0,-5241665.34592555,189994.551533034,4262798.93021112,-2642013.94644413,-4529005.76339734,4265029.58367307,3843.80744331259,-5601.99950563094,-3579.80226580135,3.41072368629182,5.84674704437561,-5.50596541829295,6758662.11722894,1.08019794645171,-0.0081844322181798,-0.201885902445972,-0.0144647743609254,-2.27745682365638,0.61109568578895,-0.785164361490176,-2.14367162689E-5,-0.001134134569512,-4.34498040266E-5,389282.980377661,5.7085E-12,1097.11022049672,3.41072368629182,5.84674704437561,-5.50596541829295
840.0,-5417125.65492679,-148735.911961008,4038441.41462094,-2405426.77194363,-4854344.63194301,4040500.22042338,4039.38358616868,-5238.41631975528,-3901.62171297128,3.10593503833543,6.26802663725425,-5.21717449618087,6758662.11722895,1.08457321569067,-0.0101984152611625,-0.201785405826093,-0.016376884764876,-2.23907185201206,0.652200499964049,-0.71787323806903,-2.41747350201E-5,-0.001134029666123,-4.68141237082E-5,387950.698134415,6.0029E-12,1105.68096071401,3.10593503833543,6.26802663725425,-5.21717449618087
900.0,-5570473.01547434,-485339.412664834,3795318.94930193,-2157662.60064381,-5157127.29514867,3797196.34098099,4216.22838203827,-4850.41563555375,-4205.37577765728,2.7865854336178,6.66034429835598,-4.90401604458787,6758662.11722896,1.08894848494105,-0.0125045735978829,-0.20167762578742,-0.0183182345823849,-2.19603846560858,0.6908973697244,-0.646273555555516,-2.70655600399E-5,-0.001133908372861,-5.01774585723E-5,386599.138079688,6.3018E-12,1113.80733938154,2.7865854336178,6.66034429835598,-4.90401604458787
960.0,-5700967.97210349,-818454.597994031,3534557.63232429,-1899870.64890394,-5435941.96416277,3536244.88459677,4373.51205128819,-4439.79130921346,-4489.6449535128,2.45414859808208,7.02185138672565,-4.56792699598511,6758662.11722897,1.09332375419143,-0.0151175912746992,-0.201563070051993,-0.0202677094254316,-2.14811012464414,0.726836396504885,-0.570048609285883,-3.01084586058E-5,-0.0011337694993105,-5.3538936122E-5,385246.980300878,6.6025E-12,1121.46132185438,2.45414859808208,7.02185138672565,-4.56792699598511
1020.0,-5807964.78929802,-1146741.69255305,3257366.0382143,-1633247.22808712,-5689487.72599526,3258855.3078914,4510.49517421355,-4008.44394012615,-4753.09926035203,2.11016166424597,7.35083989865653,-4.21045351969828,6758662.117229,1.09769902344753,-0.0180508069798555,-0.20144225319034,-0.0222034770155219,-2.09512058408851,0.759635920356194,-0.488965225486745,-3.33026497209E-5,-0.0011336118081304,-5.68976709478E-5,383912.992172884,6.9017E-12,1128.61758947139,2.11016166424597,7.35083989865653,-4.21045351969828
1080.0,-5890914.74618771,-1468887.88854309,2965029.65788749,-1359030.21298398,-5916580.68979203,2966314.02071485,4626.53228704321,-3558.37217567435,-4994.50459422186,1.75621817019126,7.64575092852467,-3.83324412651147,6758662.11722893,1.10207429269791,-0.0213161434304359,-0.201315658578654,-0.0241030922503639,-2.03703067030618,0.788889470332977,-0.402919955980441,-3.66473029402E-5,-0.0011334340167387,-6.02527644107E-5,382615.708710365,7.1959E-12,1135.25254461002,1.75621817019126,7.64575092852467,-3.83324412651147
1140.0,-5949369.0312497,-1783612.5943091,2658904.97049029,-1078493.30727021,-6116159.59655273,2659978.45373574,4721.07504834272,-3091.66352777368,-5212.72864769034,1.39396074566216,7.90518247477936,-3.43804224265412,6758662.11722895,1.10644956193401,-0.0249240434170699,-0.201183697059132,-0.0259436056011203,-1.97398095880797,0.814178242766206,-0.311991222376339,-4.01415371736E-5,-0.0011332347990845,-6.36033043587E-5,381373.114973407,7.4812E-12,1141.34373969863,1.39396074566216,7.90518247477936,-3.43804224265412
1200.0,-5982981.22062771,-2089672.51982012,2340413.17385551,-792940.132318386,-6287290.86420417,2341270.7844855,4793.67495799488,-2610.48474187409,-5406.74636939725,1.02507351744905,8.12789654441039,-3.02667828318415,6758662.11722898,1.11082483119011,-0.0288834128192218,-0.201046663151505,-0.0277016744428188,-1.90634289384416,0.835089944885254,-0.21648994137914,-4.3784419472E-5,-0.0011330127875123,-6.69483648785E-5,380202.336445099,7.7535E-12,1146.86955458213,1.02507351744905,8.12789654441039,-3.02667828318415
1260.0,-5991509.32500534,-2385866.5794125,2011033.60207702,-503698.16669436,-6429173.042467,2011671.35038273,4843.98561293818,-2117.07176184575,-5575.64493381733,0.651274268517162,8.31282551191723,-2.60106125820466,6758662.11722899,1.11520010044049,-0.0332015708469898,-0.200904689760835,-0.0293536769158296,-1.83475644232819,0.851243752446994,-0.116996715663056,-4.75749638001E-5,-0.0011327665747159,-7.02870060841E-5,379119.343271715,8.0086E-12,1151.80897714089,0.651274268517162,8.31282551191723,-2.60106125820466
1320.0,-5974817.39272324,-2671040.59001858,1672296.86038922,-212112.56455431,-6541140.6546351,1672711.77894476,4871.76448597512,-1613.71933672153,-5718.62819429269,0.274306387483965,8.45907769192004,-2.16316994869345,6758662.117229,1.11957536967945,-0.0378842077060549,-0.200757702406301,-0.0308758279078174,-1.76013975298198,0.862319404231171,-0.0143710540082631,-5.1512129803E-5,-0.0011324947157839,-7.36182739451E-5,378138.674100816,8.2422E-12,1156.14131746527,0.274306387483965,8.45907769192004,-2.16316994869345
1380.0,-5932876.65781449,-2944091.74744898,1325777.70908434,80460.1180872135,-6622667.40621776,1325967.86694114,4876.8742162195,-1102.7703176167,-5835.02059469547,-0.104069352975052,8.56594208806799,-1.715043691941,6758662.11722895,1.12395063893269,-0.0429353498224431,-0.200605374055748,-0.0322442967323191,-1.6836583329902,0.868086472339898,0.0902798735298352,-5.55948215695E-5,-0.0011321957303366,-7.69412001555E-5,377273.184967215,8.4502E-12,1159.84640445432,-0.104069352975052,8.56594208806799,-1.715043691941
1440.0,-5865766.22382437,-3203972.86290322,973087.729604974,372658.259632584,-6673368.74335871,973052.241648627,4859.28340212075,-586.604695271457,-5924.27051757402,-0.482083148432695,8.63289228480459,-1.25877281964979,6758662.11722899,1.12832590818593,-0.0483573327053317,-0.200447081689659,-0.0334353260614645,-1.60664972749718,0.868428418293824,0.195676966068391,-5.98218864011E-5,-0.0011318681047543,-8.02548020443E-5,376533.828260442,8.6288E-12,1162.90556110442,-0.482083148432695,8.63289228480459,-1.25877281964979
1500.0,-5773673.27712897,-3449696.34164391,615867.807197708,663121.541664056,-6693003.74702991,615606.838616801,4819.06689047301,-67.6284305422186,-5985.9530493058,-0.857964603812728,8.65958945282898,-0.796488794607543,6758662.11722899,1.13270117743631,-0.0541507814706178,-0.200281865734726,-0.0344253516457637,-1.53051299583076,0.863356113269028,0.300480119652833,-6.41921135897E-5,-0.0011315102944968,-8.35580825316E-5,375929.466263016,8.7746E-12,1165.30237071448,-0.857964603812728,8.65958945282898,-0.796488794607543
1560.0,-5656892.82461752,-3680337.88927615,255780.465598208,950497.319819383,-6681476.35218847,255295.231437642,4756.40555737188,451.73786822014,-6019.77214561535,-1.22995122006623,8.64588444371375,-0.330354094468689,6758662.11722897,1.13707644668384,-0.0603145989978373,-0.200108393500274,-0.0351911223238395,-1.45658485105687,0.853007508581553,0.403412490991037,-6.87042332112E-5,-0.0011311207265133,-8.68500301296E-5,375466.723088685,8.8849E-12,1167.02323326331,-1.22995122006623,8.64588444371375,-0.330354094468689
1620.0,-5515826.95340565,-3895039.9308628,-105497.909872624,1233446.96624131,-6638835.88436154,-106205.150077749,4671.58557970746,969.070365641116,-6025.56218379897,-1.59629688216489,8.5918189540851,0.137448106468298,6758662.11722895,1.14145171592279,-0.0668459616495414,-0.199924927720031,-0.0357098197893012,-1.386029478339,0.837633525759827,0.503371086758166,-7.33569149417E-5,-0.0011306978017434,-9.01296189915E-5,375149.878083675,8.9577E-12,1168.05779321931,-1.59629688216489,8.5918189540851,0.137448106468298
