time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.3120664244,4163200.465251461,5136049.672040268,-4292653.410000001,955168.4699999995,5139356.569999999,109.64966299999837,-7527.726490000003,1484.521489,5.5138738948161246,-1.2270010755581764,-6.620564979505682,6758662.11722885,1.0233194459853856,1.1333718620180008E-16,-0.20245819323134245,-1.0625361206418758E-16,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,-0.0011344542745508244,6.640738306473715E-19,398252.76383814117,3.1125051777514152E-12,976.2183377126014,5.5138738948161246,-1.2270010755581764,-6.620564979505682
60.0,-1789722.6876899637,3920281.52997798,5213135.287856126,-4276158.387889695,501645.1551958386,5216446.652900667,439.97233988254743,-7583.891323559974,1084.154831378205,5.49266887546796,-0.6444437296780018,-6.719868580510092,6758329.843058174,1.027694715234372,-5.6066371129081055E-6,-0.20245703423237407,-1.9346417071003055E-4,-2.4720592963923615,0.01612042366582495,-1.386661179676411,-7.049068602884885E-7,-0.001134477987848552,-3.302852372536554E-6,398351.9288404228,3.201819562383446E-12,983.3981392451001,5.49266887546796,-0.6444437296780018,-6.719868580510092
120.0,-2144775.627060382,3662449.601533651,5266053.963206271,-4239897.321571677,45802.73601766821,5269354.4888828,768.2657145564763,-7605.0002042203305,678.7558794717092,5.446256790694044,-0.05891006539592746,-6.788245637219824,6758100.17250654,1.0320699844833425,-3.813316821679355E-5,-0.2024531325786301,-5.854798608084839E-4,-2.4703079486899955,0.06928029515576355,-1.3441021824371808,-1.5682193694862947E-6,-0.001134495908219746,-6.615080444255327E-6,398347.9514323511,3.3084108012249576E-12,991.3100092837672,5.446256790694044,-0.05891006539592746,-6.788245637219824
180.0,-2492271.9416025295,3390831.5485692048,5294559.583409252,-4184037.2310035466,-410251.660881741,5297834.012902082,1093.023177410915,-7590.953964056905,270.1901321119689,5.374849412290751,0.5269519402410716,-6.8253883216618645,6757977.3439860605,1.0364452537322815,-1.2113636798523942E-4,-0.20244586889085076,-0.0011707237802646092,-2.4663158457456267,0.12219457297363527,-1.3010762842737915,-2.5897433370929423E-6,-0.0011345075693188359,-9.935939052550294E-6,398237.7876728691,3.4327268135758888E-12,999.9031745913467,5.374849412290751,0.5269519402410716,-6.8253883216618645
240.0,-2830726.650685935,3106604.1475635963,5298518.367123596,-4108835.087035734,-864409.727057883,5301751.56326858,1412.754047060295,-7541.812385884394,-139.66247716965864,5.278765718677007,1.1104935159568974,-6.831123414061623,6757963.667616068,1.0408205229812044,-2.7807748800252213E-4,-0.20243466747011965,-0.0019422742589246327,-2.4600313118618438,0.17476349162083676,-1.257339171451772,-3.769247684377168E-6,-0.0011345124437284078,-1.326467640190879E-5,398020.26622684236,3.5747130953107737E-12,1009.0896690283676,5.278765718677007,1.1104935159568974,-6.831123414061623
300.0,-3158685.2455596784,2810989.040698399,5277909.490305705,-4014636.663455927,-1314571.5049617013,5281086.505074513,1725.9899668391454,-7457.793961666784,-548.9156740680625,5.158430671659388,1.689074730473712,-6.805412848047293,6758059.482749974,1.0451957922300796,-5.322084007495659E-4,-0.20241901988879651,-0.0028916461853495524,-2.451374639570682,0.2268815292002877,-1.2126385786794334,-5.106463907630985E-6,-0.0011345099435635,-1.660053348917089E-5,397696.1242976596,3.7337955585262174E-12,1018.7493411434386,5.158430671659388,1.689074730473712,-6.805412848047293
360.0,-3474729.875760934,2505247.5605295217,5232825.223977732,-3901875.0075418237,-1758654.8888081238,5235931.367133655,2031.2912230993354,-7339.275073682471,-955.6849637399662,5.014373832060987,2.26007410894492,-6.748354043219924,6758263.1492022155,1.049571061478955,-9.064584976825542E-4,-0.20239850587639854,-0.004008833389011396,-2.440237430158893,0.278435208533253,-1.1667109306417667,-6.601085475735118E-6,-0.001134499421152991,-1.9942743537003316E-5,397268.00981931237,3.908946997359705E-12,1028.7412839410479,5.014373832060987,2.26007410894492,-6.748354043219924
420.0,-3777485.437167098,2190675.438488535,5163470.584605066,-3771068.5341090853,-2194605.0589893735,5166491.491234533,2327.252975338806,-7186.788597779346,-1358.0957646038514,4.8472278021727675,2.8208982896627166,-6.660180023166722,6758571.072404063,1.0539463307277828,-0.0014233228269411357,-0.20237281072855784,-0.00528235824380373,-2.4264817776228673,0.32930071575534214,-1.1192781943571282,-8.252767163891883E-6,-0.0011344801697988547,-2.329053143748681E-5,396740.4497705763,4.098813622355028E-12,1038.9185261073353,4.8472278021727675,2.8208982896627166,-6.660180023166722
480.0,-4065625.5403813273,1868597.414034113,5070162.496662349,-3622818.748668633,-2620403.8152523586,5073084.1932894485,2612.511387127262,-7001.021924650114,-1754.2915424026264,4.657726471782219,3.368991775142411,-6.541259302210845,6758977.762222869,1.0583215999766105,-0.0021047519682896197,-0.20234173855604884,-0.006699328238906471,-2.4099394927543343,0.3793412918773781,-1.0700450871338973,-1.0061124325700758E-5,-0.0011344514246144544,-2.6643113207726744E-5,396119.7850044305,4.301855120914691E-12,1049.1417332502813,4.657726471782219,3.368991775142411,-6.541259302210845
540.0,-4337878.337534188,1540361.7612145126,4953328.467800055,-3457807.6060181456,-3034078.7735228557,4956137.436794886,2885.7496450910876,-6782.814392029672,-2142.441929793963,4.446703034468702,3.901846823856683,-6.392095509960265,6759475.92471424,1.0626968692254064,-0.002972044155949482,-0.20230522078403373,-0.008245499222380027,-2.390411662844495,0.428404365851138,-1.018696889845236,-1.2025732105981924E-5,-0.0011344123634425183,-2.9999695459422932E-5,395414.07251271297,4.516453077304872E-12,1059.2886595562636,4.446703034468702,3.901846823856683,-6.392095509960265
