time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31112709,4163200.4655738,5136049.67204027,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.51387392521288,-1.22700107706205,-6.62056502293234,6758662.11722884,1.02331944621101,-0.0,-0.202458193231342,-0.0,-2.4715939053549,-0.0371889644761344,-1.42899313488854,0.0,-0.0011344542745508,0.0,398252.763838142,3.1122E-12,976.192653674721,5.51387392521288,-1.22700107706205,-6.62056502293234
60.0,-1789722.68675886,3920281.53034496,5213135.28777756,-4276158.38783625,501645.155198372,5216446.65282206,439.972341644021,-7583.8913234469,1084.15482876055,5.49266890376355,-0.644443725103829,-6.71986862414572,6758329.84220072,1.02769471546425,-5.6066379157E-6,-0.202457034233811,-1.934642028805E-4,-2.47205929639209,0.0161204236657014,-1.38666117967647,-7.049068604E-7,-0.0011344779878485,-3.3028523725E-6,398351.928746169,3.2014E-12,983.370211082234,5.49266890376355,-0.644443725103829,-6.71986862414572
120.0,-2144775.62607691,3662449.60186777,5266053.96289231,-4239897.32136301,45802.7360391124,5269354.48856867,768.265717944229,-7605.00020365875,678.755874243956,5.44625681658363,-0.0589100550830775,-6.78824568052791,6758100.17056153,1.0320699847175,-3.81331724619E-5,-0.20245313258257,-5.854799318823E-4,-2.47030794868962,0.069280295155486,-1.34410218243724,-1.5682193696E-6,-0.0011344959082197,-6.6150804443E-6,398347.95105685,3.308E-12,991.28000493643,5.44625681658363,-0.0589100550830775,-6.78824568052791
180.0,-2492271.94053252,3390831.54878126,5294559.58270427,-4184037.23054663,-410251.66080439,5297834.01219674,1093.02318227306,-7590.95396271453,270.190124308624,5.37484943553537,0.526951955883289,-6.82538836415832,6757977.34070854,1.03644525395931,-1.211363788128E-4,-0.202445868896041,-0.0011707238963167,-2.46631584574527,0.122194572973341,-1.30107628427383,-2.5897433372E-6,-0.0011345075693188,-9.9359390526E-6,398237.786832762,3.4323E-12,999.871348351351,5.37484943553537,0.526951955883289,-6.82538836415832
240.0,-2830726.64941237,3106604.14762577,5298518.36587487,-4108835.08624698,-864409.726868456,5301751.56201923,1412.75405323278,-7541.81238345509,-139.662487487023,5.27876573911092,1.11049353646879,-6.83112345532949,6757963.66278491,1.04082052320969,-2.780775088101E-4,-0.202434667472642,-0.0019422744254564,-2.46003131186148,0.174763491620489,-1.25733917145186,-3.7692476845E-6,-0.0011345124437284,-1.32646764019E-5,398020.264743599,3.5742E-12,1009.05635638644,5.27876573911092,1.11049353646879,-6.83112345532949
300.0,-3158685.24397915,2810989.04058964,5277909.488365,-4014636.66226186,-1314571.50458651,5281086.50313287,1725.98997415025,-7457.79395787299,-548.91568681509,5.1584306891924,1.68907475536736,-6.80541288774509,6758059.47617188,1.04519579246293,-5.322084353833E-4,-0.202419019882399,-0.002891646407363,-2.45137463957029,0.226881529199867,-1.21263857867943,-5.1064639077E-6,-0.0011345099435635,-1.66005334892E-5,397696.121998936,3.7333E-12,1018.7149431892,5.1584306891924,1.68907475536736,-6.80541288774509
360.0,-3474729.87380746,2505247.56018704,5232825.22120221,-3901875.00587943,-1758654.88815773,5235931.36435681,2031.29123137421,-7339.27506827618,-955.684978814221,5.01437384667796,2.26007413772824,-6.74835408108678,6758263.14071445,1.04957106170188,-9.064585505197E-4,-0.202398505852167,-0.0040088336705571,-2.44023743015857,0.278435208532751,-1.16671093064184,-6.6010854758E-6,-0.001134499421153,-1.9942743537E-5,397268.00653988,3.9084E-12,1028.70624380129,5.01437384667796,2.26007413772824,-6.74835408108678
420.0,-3777485.43469772,2190675.43794798,5163470.58085859,-3771068.53192576,-2194605.05796028,5166491.48748631,2327.2529844038,-7186.78859054153,-1358.09578188967,4.84722781392842,2.82089832186378,-6.66018005902274,6758571.0618775,1.05394633095227,-0.0014233229026229,-0.20237281067542,-0.0052823585885916,-2.42648177762254,0.329300715754733,-1.11927819435689,-8.252767164E-6,-0.0011344801697988,-2.32905314375E-5,396740.445353623,4.0983E-12,1038.88330226107,4.84722781392842,2.82089832186378,-6.66018005902274
480.0,-4065625.53727947,1868597.41330808,5070162.491816,-3622818.74592213,-2620403.81372883,5073084.1884409,2612.51139681392,-7001.02191538896,-1754.2915617759,4.65772648079334,3.36899181033335,-6.54125933595318,6758977.74956435,1.05832160020265,-0.0021047520717664,-0.2023417384604,-0.0066993286498331,-2.40993949275385,0.379341291876588,-1.07004508713299,-1.00611243258E-5,-0.0011344514246144,-2.66431132077E-5,396119.77930251,4.3013E-12,1049.1067749754,4.65772648079334,3.36899181033335,-6.54125933595318
540.0,-4337878.33367804,1540361.7603276,4953328.46173251,-3457807.60267597,-3034078.77137831,4956137.43072466,2885.74965523954,-6782.81438057704,-2142.44195112657,4.44670304090289,3.90184686167576,-6.39209554155531,6759475.90986738,1.06269686945303,-0.0029720442925555,-0.202305220629578,-0.0082454997010639,-2.39041166284383,0.428404365850198,-1.01869688984379,-1.20257321061E-5,-0.0011344123634425,-2.99996954594E-5,395414.065388451,4.5159E-12,1059.25438821913,4.44670304090289,3.90184686167576,-6.39209554155531
600.0,-4593032.18012245,1207334.74853817,4813504.77057013,-3276794.50745974,-3433712.38785328,4816188.01256286,3145.70386141804,-6533.15410447034,-2520.75083764055,4.21508773638736,4.41701355762569,-6.21332673908226,6760056.56855298,1.06707213870913,-0.0040457403436248,-0.202263319197218,-0.0099053455446796,-2.36766898474829,0.476318421246715,-0.964898263413453,-1.41461245971E-5,-0.0011343621078543,-3.33594748843E-5,394632.947899386,4.7404E-12,1069.22506173048,4.21508773638736,4.41701355762569,-6.21332673908226
