time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31101,4163200.46562,5136049.67203,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.5138738948,-1.22700107555,-6.6205649795,6758662.11723,1.02334780893,5.666859310097427E-17,-0.2024581932313422,-1.0271182499535224E-16,-2.471593905353287,-0.03718896447605677,-1.4289931348888525,0.0,0.0,0.0,398252.763838,3.11591362917E-12,976.47737094,5.5138738948,-1.22700107555,-6.6205649795
60.0,-1789722.6867,3920281.53001,5213135.28819,-4276158.38789,501645.155197,5216446.65292,439.972339969,-7583.89132359,1084.15483209,5.49266887541,-0.644443729673,-6.71986858049,6758329.84333,1.02772307802,-5.606634503378249E-6,-0.20245703423148978,-1.9346410559383415E-4,-2.4720592963860404,0.01612042366569264,-1.3866611796765804,-7.049068603766561E-7,-0.001134477987848274,-3.302852372534542E-6,398351.928857,3.20589767231E-12,983.703900479,5.49266887541,-0.644443729673,-6.71986858049
120.0,-2144775.62615,3662449.6012,5266053.96388,-4239897.32156,45802.7360118,5269354.48897,768.265714715,-7605.00020444,678.755880817,5.44625679052,-0.0589100653892,-6.78824563714,6758100.17324,1.03209834711,-3.813315892108823E-5,-0.20245313257587222,-5.854797417240926E-4,-2.470307948697733,0.06928029515548614,-1.3441021824376438,-1.5682193695747527E-6,-0.0011344959082205722,-6.615080444266568E-6,398347.951494,3.31323420346E-12,991.665829648,5.44625679052,-0.0589100653892,-6.78824563714
180.0,-2492271.94079,3390831.54786,5294559.58441,-4184037.23098,-410251.660909,5297834.01308,1093.02317764,-7590.95396458,270.190133975,5.37484941193,0.526951940239,-6.82538832149,6757977.34532,1.0364736162,-1.2113634872364821E-4,-0.2024458688855352,-0.001170723619925342,-2.4663158457375527,0.12219457297341439,-1.3010762842746364,-2.5897433371880404E-6,-0.0011345075693185744,-9.935939052561712E-6,398237.787807,3.438354291E-12,1000.31060854,5.37484941193,0.526951940239,-6.82538832149
240.0,-2830726.64999,3106604.14647,5298518.36842,-4108835.087,-864409.727127,5301751.56357,1412.75404735,-7541.81238678,-139.662474934,5.27876571808,1.11049351592,-6.83112341376,6757963.66964,1.04084888529,-2.7807745618090593E-4,-0.20243466746013436,-0.0019422740710350322,-2.4600313118668202,0.17476349162007102,-1.2573391714524293,-3.7692476844597157E-6,-0.0011345124437282144,-1.3264676401906132E-5,398020.266457,3.58117992288E-12,1009.54816807,5.27876571808,1.11049351592,-6.83112341376
300.0,-3158685.24501,2810989.03921,5277909.49186,-4014636.6634,-1314571.5051,5281086.50552,1725.98996719,-7457.79396298,-548.915671616,5.15843067079,1.68907473038,-6.80541284758,6758059.4855,1.04522415437,-5.32208354731215E-4,-0.2024190198712959,-0.0028916459838751393,-2.4513746395741123,0.22688152919940394,-1.212638578679881,-5.106463907715847E-6,-0.0011345099435632596,-1.6600533489169586E-5,397696.124645,3.74110827325E-12,1019.25612551,5.15843067079,1.68907473038,-6.80541284758
360.0,-3474729.87539,2505247.55864,5232825.22574,-3901875.00746,-1758654.88903,5235931.36773,2031.2912235,-7339.27507541,-955.68496122,5.01437383089,2.26007410874,-6.74835404256,6758263.15269,1.04959942346,-9.064584369105478E-4,-0.2023985058524626,-0.004008833186946259,-2.440237430159686,0.27843520853324666,-1.1667109306425738,-6.601085475827106E-6,-0.0011344994211529684,-1.9942743536966846E-5,397268.0103,3.91708037201E-12,1029.29143029,5.01437383089,2.26007410874,-6.74835404256
420.0,-3777485.43699,2190675.4362,5163470.58652,-3771068.53401,-2194605.05933,5166491.49198,2327.25297578,-7186.78859989,-1358.09576215,4.84722780069,2.8208982893,-6.66018002228,6758571.07658,1.05397469255,-0.001423322751597779,-0.2023728106963357,-0.005282358053107463,-2.4264817776195184,0.32930071575502307,-1.1192781943573564,-8.252767163976442E-6,-0.0011344801697995635,-2.3290531437403787E-5,396740.4504,4.10771006692E-12,1039.50523665,4.84722780069,2.8208982893,-6.66018002228
480.0,-4065625.54043,1868597.41137,5070162.49865,-3622818.74854,-2620403.81573,5073084.19418,2612.51138757,-7001.02192708,-1754.29154011,4.65772646999,3.36899177456,-6.54125930108,6758977.76703,1.05834996164,-0.002104751879263026,-0.2023417385141413,-0.006699328069624346,-2.40993949275919,0.37934129187713267,-1.070045087132488,-1.0061124325786983E-5,-0.0011344514246142464,-2.664311320769178E-5,396119.785793,4.31142616584E-12,1049.75671662,4.65772646999,3.36899177456,-6.54125930108
540.0,-4337878.33782,1540361.75819,4953328.46978,-3457807.60586,-3034078.77415,4956137.43781,2885.7496455,-6782.81439473,-2142.44192772,4.44670303239,3.901846823,-6.39209550857,6759475.93006,1.06272523073,-0.002972044054817663,-0.20230522073363844,-0.008245499081937259,-2.3904116628473107,0.42840436585028874,-1.018696889844619,-1.2025732106073805E-5,-0.001134412363442219,-2.9999695459375573E-5,395414.073469,4.52658227709E-12,1059.92254922,4.44670303239,3.901846823,-6.39209550857
600.0,-4593032.18541,1207334.74617,4813504.77988,-3276794.51124,-3433712.39155,4816188.02111,3145.70385129,-6533.15412116,-2520.75081266,4.21508772998,4.41701351625,-6.21332670797,6760056.5914,1.06710049981,-0.004045740057085222,-0.20226331937161138,-0.009905344891178504,-2.367668984746518,0.47631842124721674,-0.964898263413571,-1.4146124597064531E-5,-0.001134362107854033,-3.335947488424658E-5,394632.957706,4.75151037365E-12,1069.90102033,4.21508772998,4.41701351625,-6.21332670797
660.0,-4829941.11851,870895.052589,4651334.18673,-3080612.97231,-3817450.78253,4653879.28027,3391.16876915,-6253.17422909,-2887.46437431,3.9639052781,4.912110022,-6.00572435262,6760709.25001,1.0714757689,-0.005345521389111534,-0.20221622474574313,-0.011662132861224658,-2.3414535056176056,0.5228896292502554,-0.908293668414397,-1.642179394093355E-5,-0.0011342997242294386,-3.672163775762219E-5,393787.51206,4.9845194567E-12,1079.61161854,3.9639052781,4.912110022,-6.00572435262
720.0,-5047530.11466,532428.143922,4467563.15179,-2870166.91097,-4183512.29082,4469958.31275,3621.00340771,-5944.1484475,-3240.87904541,3.69427191712,5.38483305525,-5.77019181616,6761422.05955,1.07585103799,-0.006890112274026419,-0.2021642474024674,-0.013498005173058422,-2.3114826627458736,0.5678983472276622,-0.848510249623177,-1.885218938147738E-5,-0.0011342242249250088,-4.0085359460649106E-5,392890.054693,5.22385692702E-12,1088.99191434,3.69427191712,5.38483305525,-5.77019181616
780.0,-5244800.12007,193320.644649,4263038.59133,-2646426.64595,-4530195.77787,4265272.72564,3834.13641254,-5607.48608042,-3579.34937087,3.40739203682,5.83296852101,-5.50776242476,6762182.03524,1.08022630708,-0.008697185985683649,-0.20210780419447752,-0.015394065350705453,-2.277456823660206,0.6110956857896566,-0.7851643614906788,-2.143671626894539E-5,-0.0011341345695115796,-4.344980402669232E-5,391953.939979,5.46765444841E-12,1097.99343569,3.40739203682,5.83296852101,-5.50776242476
840.0,-5420832.81385,-145045.287586,4038704.1604,-2410424.55816,-4855888.59042,4040766.91648,4029.57124197,-5244.7263325,-3901.29573183,3.1045543193,6.25440230056,-5.21959691658,6762975.28282,1.08460157617,-0.01078327602019848,-0.20204739859864806,-0.017330469673883693,-2.239071852014994,0.6522004999647085,-0.7178732380682341,-2.4174735020120254E-5,-0.0011340296661233877,-4.681412370814437E-5,390993.329831,5.71387614541E-12,1106.5776902,3.1045543193,6.25440230056,-5.21959691658
900.0,-5574795.08387,-481297.560593,3795596.07837,-2163250.45272,-5159074.16799,3797477.89555,4206.39109569,-4857.53198453,-4205.21189809,2.78712735036,6.64713112127,-4.90698025336,6763787.24633,1.08897684525,-0.013163692595172534,-0.20198359548031952,-0.019286523087580776,-2.196038465612824,0.6908973697244394,-0.6462735555547374,-2.7065560040001193E-5,-0.0011339083728613177,-5.017745857220708E-5,390022.94861,5.96028180927E-12,1114.71295736,2.78712735036,6.64713112127,-4.90698025336
960.0,-5705943.18826,-814079.699301,3534838.50784,-1906046.63358,-5438339.25146,3536530.6612,4363.76356304,-4447.68241638,-4489.67236807,2.45655465554,7.00927342821,-4.57131771204,6764602.97056,1.09335211434,-0.01585244493466771,-0.20191699068966248,-0.02124077921659345,-2.148110124636627,0.7268363965044108,-0.5700486092861767,-3.0108458605857893E-5,-0.0011337694993095895,-5.353893612198061E-5,389057.825826,6.20440841342E-12,1122.37184493,2.45655465554,7.00927342821,-4.57131771204
