time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.33421604,4163200.23408806,5136049.85325658,-4292653.40999999,955168.470000001,5139356.56999999,109.649662999999,-7527.72648999999,1484.521489,5.51382727336929,-1.22706430181432,-6.62051654995019,6758662.11722884,1.02331933954551,0.0,-0.202458193231342,-2.0E-16,-2.4715939053549,-0.0371889644761349,-1.42899313488854,0.0,-0.0011344542745508,0.0,398254.541169311,3.4018E-12,990.9677734375,5.51382727336929,-1.22706430181432,-6.62051654995019
60.0,-1789722.85353415,3920281.27867071,5213135.53388605,-4276158.45533201,501645.022317214,5216446.72430389,439.970387536463,-7583.89602714214,1084.15691618872,5.49265171597338,-0.644534270227693,-6.71984957261291,6758338.51471127,1.02769460895833,-5.6106817429E-6,-0.202457013903749,-1.935732472071E-4,-2.47205929657798,0.016120423674086,-1.38666117966429,-7.049133021E-7,-0.0011344779883362,-3.3028527039E-6,398353.847580588,3.2015E-12,984.49365234375,5.49265171597338,-0.644534270227693,-6.71984957261291
120.0,-2144776.24212125,3662449.22008597,5266054.3389574,-4239897.51694367,45802.1505763498,5269354.69750762,768.263740963699,-7605.01065324367,678.757987189746,5.4462733465335,-0.0590072922499263,-6.78826463480035,6758118.92441941,1.03206987837114,-3.81490558526E-5,-0.202453047004927,-5.856868315389E-4,-2.47030794948922,0.0692802951960854,-1.34410218239072,-1.5682337123E-6,-0.0011344959092939,-6.615081428E-6,398350.100532045,3.306E-12,992.433959960937,5.4462733465335,-0.0590072922499263,-6.78826463480035
180.0,-2492273.2721675,3390830.81645972,5294560.01970596,-4184037.49560292,-410253.042097783,5297834.2903606,1093.02315219383,-7590.96988301576,270.189937504998,5.37489673862363,0.526870440154061,-6.82544530322301,6758005.94483264,1.03644514778395,-1.211712128695E-4,-0.202445671151534,-0.0011710120921567,-2.46631584767114,0.122194573081485,-1.3010762841751,-2.589767053E-6,-0.0011345075710701,-9.9359410654E-6,398240.140412666,3.4292E-12,1001.06048583984,5.37489673862363,0.526870440154061,-6.82544530322301
240.0,-2830728.86282242,3106602.78203397,5298518.66084465,-4108835.25327401,-864412.191686106,5301751.70710523,1412.7575677059,-7541.83223223414,-139.667029369302,5.27883465247689,1.11044672663848,-6.83120955221754,6758000.30818313,1.04082041719676,-2.78137361478E-4,-0.202434314585917,-0.0019426212095673,-2.46003131551207,0.174763491844318,-1.2573391712887,-3.7692822606E-6,-0.0011345124462374,-1.32646798766E-5,398022.684903379,3.5711E-12,1010.28369140625,5.27883465247689,1.11044672663848,-6.83120955221754
300.0,-3158688.36457455,2810986.75658732,5277909.33556035,-4014636.48711197,-1314575.21805076,5281086.2099609,1725.99795209428,-7457.81526998969,-548.92588856087,5.15850824494329,1.68907383600782,-6.80551243090028,6758101.11479094,1.04519568660958,-5.322978443781E-4,-0.202418478025593,-0.0028920210543929,-2.45137464563143,0.226881529601776,-1.21263857844644,-5.1065108489E-6,-0.0011345099468991,-1.66005389141E-5,397698.384706,3.7313E-12,1019.98229980468,5.15850824494329,1.68907383600782,-6.80551243090028
360.0,-3474733.77487806,2505244.12713917,5232824.26755332,-3901874.2134641,-1758659.85329532,5235930.28034654,2031.30377950372,-7339.29500848526,-955.701082365102,5.01444650417525,2.26012005644165,-6.74844804369716,6758306.03745531,1.04957095602238,-9.065798515516E-4,-0.202397753903747,-0.0040091953883106,-2.44023743940509,0.278435209191047,-1.16671093034142,-6.6011463063E-6,-0.0011344994253703,-1.99427514561E-5,397269.841038155,3.9088E-12,1030.013671875,5.01444650417525,2.26012005644165,-6.74844804369716
420.0,-3777489.85730288,2190670.72011024,5163468.49311623,-3771066.8639801,-2194611.1122662,5166489.27983862,2327.26946194251,-7186.8045783642,-1358.11689611411,4.84728469112896,2.82098186796696,-6.66025042742611,6758611.45544173,1.0539462254352,-0.0014234753975874,-0.202371841544235,-0.0052826553447657,-2.42648179091992,0.329300716765542,-1.11927819399991,-8.25284343E-6,-0.0011344801749376,-2.32905424503E-5,396741.581946819,4.1024E-12,1040.22888183593,4.84728469112896,2.82098186796696,-6.66025042742611
480.0,-4065630.13560884,1868591.38516897,5070159.02015111,-3622815.99944387,-2620410.66155797,5073080.60776536,2612.53065351961,-7001.03216998367,-1754.31584809704,4.65776177879115,3.36909613469289,-6.5412931327227,6759012.49869776,1.05832149484801,-0.0021049311445841,-0.202340558009034,-0.0066994978309231,-2.40993951105965,0.379341293356083,-1.07004508673896,-1.00612175976E-5,-0.001134451430697,-2.66431279689E-5,396119.996457342,4.3107E-12,1050.48681640625,4.65776177879115,3.36909613469289,-6.5412931327227
540.0,-4337882.73499026,1540354.49402798,4953323.48560248,-3457803.65048651,-3034086.04330577,4956132.35692098,2885.77037539998,-6782.81825731049,-2142.46701672185,4.44671708363492,3.90195174073206,-6.39208758463502,6759503.007634,1.06269676426082,-0.0029722406451205,-0.202303844478429,-0.0082454712244008,-2.39041168720869,0.428404367937177,-1.01869688944024,-1.202584398E-5,-0.001134412370472,-2.99997146785E-5,395413.227791309,4.532E-12,1060.66381835937,4.44671708363492,3.90195174073206,-6.39208758463502
600.0,-4593036.04492389,1207326.37796128,4813498.31710754,-3276789.2972057,-3433719.71199269,4816181.47320876,3145.72492255444,-6533.15215064907,-2520.77423989255,4.21508642260463,4.41710028511352,-6.21328052814261,6760075.4365863,1.06707203367362,-0.0040459395533347,-0.202261768069346,-0.0099050475373441,-2.36766901631591,0.476318424105564,-0.964898263034113,-1.41462566979E-5,-0.0011343621158125,-3.33594993257E-5,394631.028995748,4.7648E-12,1070.65759277343,4.21508642260463,4.41710028511352,-6.21328052814261
660.0,-4829944.18082398,870885.726747272,4651326.40791769,-3080606.50141408,-3817457.84579745,4653871.42827612,3391.1895349888,-6253.16793895309,-2887.48414442795,3.96389816353166,4.91216574587631,-6.00565099365687,6760720.74495648,1.07144730308643,-0.0053457043125666,-0.20221451898014,-0.0116615001234839,-2.3414535456287,0.522889633075078,-0.908293668095628,-1.64219479237E-5,-0.0011342997330758,-3.67216682397E-5,393784.585997098,5.0075E-12,1080.38696289062,3.96389816353166,4.91216574587631,-6.00565099365687
720.0,-5047532.22416709,532417.969517277,4467554.31587506,-2870159.20564673,-4183518.89762491,4469949.41593532,3621.02383640992,-5944.13987843585,-3240.89398996844,3.69426945928479,5.38485333197515,-5.77010721154069,6761428.32574201,1.07582257249925,-0.0068902547834713,-0.202162402801248,-0.0134969860286252,-2.31148271250427,0.56789835224245,-0.848510249397178,-1.88523669335E-5,-0.0011342242345904,-4.0085396856E-5,392886.314102386,5.2582E-12,1089.78918457031,3.69426945928479,5.38485333197515,-5.77010721154069
780.0,-5244801.22212498,193309.65533999,4263028.99745294,-2646417.7124467,-4530201.8538154,4265263.08338793,3834.15705608789,-5607.47726356003,-3579.3593340859,3.40740279111228,5.83295797272975,-5.50768377016406,6762186.015829,1.08019784191205,-0.008697261236038,-0.202105827788672,-0.0153926322267405,-2.27745688458706,0.611095692257106,-0.785164361375987,-2.14369191117E-5,-0.001134134579904,-4.34498492607E-5,391949.634237274,5.515E-12,1098.81469726562,3.40740279111228,5.83295797272975,-5.50768377016406
840.0,-5420832.9276098,-145057.150858395,4038694.08705983,-2410414.35639585,-4855894.16980675,4040756.80746113,4029.59305116628,-5244.71878603154,-3901.30153667177,3.1045827440675,6.25437298330329,-5.21953909258402,6762980.21765854,1.08457311132487,-0.0107832560986758,-0.202045286897485,-0.0173286252152049,-2.23907192557852,0.652200508187307,-0.71787323805694,-2.41749649113E-5,-0.0011340296771168,-4.68141777596E-5,390988.734816101,5.7757E-12,1107.42504882812,3.1045827440675,6.25437298330329,-5.21953909258402
900.0,-5574794.25903068,-481310.442541806,3795585.7307327,-2163238.88057826,-5159079.35141202,3797467.52498972,4206.41513635193,-4857.52635656117,-4205.2151189459,2.78717275581337,6.64709937003983,-4.90695306840762,6763796.14133635,1.08894838073768,-0.013163550841361,-0.201981334441167,-0.0192843037192581,-2.19603855333312,0.690897380047464,-0.646273555586467,-2.7065818775E-5,-0.0011339083843006,-5.01775224717E-5,390018.324291402,6.0379E-12,1115.58776855468,2.78717275581337,6.64709937003983,-4.90695306840762
960.0,-5705941.45645983,-814093.801076466,3534827.9828446,-1906033.52929286,-5438344.14813683,3536520.12597646,4363.79070863236,-4447.67834211469,-4489.67497652977,2.45661146975536,7.0092560283458,-4.57132448731204,6764618.15467044,1.09332365015049,-0.0158521583665314,-0.201914557388897,-0.0212382545240886,-2.14811022807532,0.72683640931669,-0.570048609223604,-3.01087480198E-5,-0.0011337695110054,-5.35390109515E-5,389053.37841141,6.2989E-12,1123.27514648437,2.45661146975536,7.0092560283458,-4.57132448731204
1020.0,-5813623.90808054,-1142071.86372997,3257627.7751926,-1639987.87025946,-5692385.32183319,3259122.41890595,4500.97563166435,-4017.06216454717,-4753.34342148279,2.11440831199474,7.33909080251551,-4.21416782848072,6765430.21066501,1.0976989195633,-0.018861721286949,-0.201845541527801,-0.0231684116604643,-2.09512070477014,0.759635936089083,-0.488965225083085,-3.33029716901E-5,-0.0011336118198538,-5.68977578405E-5,388108.885308871,6.5557E-12,1130.46264648437,2.11440831199474,7.33909080251551,-4.21416782848072
1080.0,-5897287.61857739,-1463935.71045552,2965269.4701411,-1366333.36233093,-5920015.95096744,2966559.67989799,4617.31832378165,-3567.66621683965,-4994.9770015994,1.76213799724769,7.63499210202334,-3.83710898397174,6766216.31120065,1.10207418897612,-0.0222034464768794,-0.201774832975854,-0.0250521592746284,-2.03703080974181,0.788889489458547,-0.402919954835919,-3.66476593835E-5,-0.0011334340282243,-6.02528645498E-5,387199.590975188,6.805E-12,1137.12670898437,1.76213799724769,7.63499210202334,-3.83710898397174
1140.0,-5956478.29021304,-1778408.14645973,2659109.01329312,-1086337.68853256,-6120171.22883544,2660188.80118665,4712.2634802617,-3101.57107786345,-5213.43302324368,1.40143382288922,7.89550057429556,-3.44187961767957,6766960.96364358,1.10644945838892,-0.0258870462834859,-0.201702895799384,-0.0268664384921534,-1.97398111842579,0.814178265786963,-0.311991219900802,-4.01419300543E-5,-0.0011332348100249,-6.36034189763E-5,386339.747552409,7.0434E-12,1143.24523925781,1.40143382288922,7.89550057429556,-3.44187961767957
1200.0,-5990843.98807216,-2084248.8546132,2340567.70601518,-801298.878558957,-6291913.71387664,2341432.05926825,4785.35535735866,-2620.94003939704,-5407.67569137233,1.0339797872635,8.1193202627048,-3.03031004250237,6767649.59346265,1.11082472780174,-0.02992068677207,-0.201630066730935,-0.0285878584377073,-1.90634307497056,0.835089972321782,-0.216489936760809,-4.37848507987E-5,-0.0011330127975558,-6.6948495255E-5,385542.867186782,7.2674E-12,1148.79748535156,1.0339797872635,8.1193202627048,-3.03031004250237
1260.0,-6000137.3633088,-2380259.38977532,2011125.62341683,-512539.249045015,-6434437.99207396,2011770.52833944,4836.24055258262,-2128.00899230838,-5576.78177899961,0.661501720942004,8.3053287341491,-2.60432068265807,6768268.88825686,1.11519999721455,-0.0343109433458079,-0.201556508169195,-0.0301928113205992,-1.83475664618078,0.851243784821475,-0.116996707856743,-4.75754356284E-5,-0.0011327665834643,-7.02871535474E-5,384821.484802476,7.4734E-12,1153.7626953125,0.661501720942004,8.3053287341491,-2.60432068265807
1320.0,-5984217.41184778,-2665287.98639657,1672314.70843378,-221399.193452784,-6547074.71509109,1672737.16969804,4864.67023016345,-1625.07574560824,-5719.94574688326,0.28575771235815,8.45258581020572,-2.16591232786919,6768807.06343377,1.11957526662736,-0.0390627640259366,-0.201482160755142,-0.0316575911801387,-1.76013998069248,0.86231944204951,-0.0143710417531475,-5.15126442362E-5,-0.0011324947227896,-7.36184398693E-5,384186.933872262,7.6579E-12,1158.12036132812,0.28575771235815,8.45258581020572,-2.16591232786919
