time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31101,4163200.46562,5136049.67203,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.51382748437,-1.22706558048,-6.62051527043,6758662.11723,1.02334780893,5.666859310097427E-17,-0.2024581932313422,-1.0271182499535224E-16,-2.471593905353287,-0.03718896447605677,-1.4289931348888525,0.0,0.0,0.0,398252.763838,3.11591362917E-12,976.47737094,5.51382748437,-1.22706558048,-6.62051527043
60.0,-1789722.83699,3920281.517,5213135.36143,-4276158.4546,501645.019928,5216446.72621,439.970417602,-7583.89610774,1084.15697226,5.4926525016,-0.644535635282,-6.7198490541,6758338.67342,1.02772307802,-5.610280760655407E-6,-0.2024570134934876,-1.9356712640008136E-4,-2.4720592963860404,0.01612042366569264,-1.3866611796765804,-7.049068603766561E-7,-0.001134477987848274,-3.302852372534542E-6,398352.017552,3.20589255023E-12,983.703908642,5.4926525016,-0.644535635282,-6.7198490541
120.0,-2144776.2348,3662449.45909,5266054.17801,-4239897.51274,45802.1410039,5269354.70327,768.263830662,-7605.01080953,678.75805128,5.44627453044,-0.0590083943411,-6.7882649339,6758119.22613,1.03209834711,-3.8147419223626116E-5,-0.2024530454036574,-5.856754907215809E-4,-2.470307948697733,0.06928029515548614,-1.3441021824376438,-1.5682193695747527E-6,-0.0011344959082205722,-6.615080444266568E-6,398348.23424,3.31321747456E-12,991.665859421,5.44627453044,-0.0590083943411,-6.7882649339
180.0,-2492273.27519,3390831.04927,5294559.8701,-4184037.48377,-410253.062754,5297834.29902,1093.02331829,-7590.97009079,270.18996289,5.37489807257,0.526869883677,-6.82544631271,6758006.35087,1.0364736162,-1.2116750542498243E-4,-0.20244566768921504,-0.0011709972719697553,-2.4663158457375527,0.12219457297341439,-1.3010762842746364,-2.5897433371880404E-6,-0.0011345075693185744,-9.935939052561712E-6,398238.252821,3.43832604467E-12,1000.31066748,5.37489807257,0.526869883677,-6.82544631271
240.0,-2830728.87544,3106603.00228,5298518.51983,-4108835.22912,-864412.225434,5301751.71518,1412.75781134,-7541.83245392,-139.66707901,5.27883586912,1.11044686703,-6.8312110321,6758000.76372,1.04084888529,-2.781307947989677E-4,-0.20243430876530247,-0.001942605137008149,-2.4600313118668202,0.17476349162007102,-1.2573391714524293,-3.7692476844597157E-6,-0.0011345124437282144,-1.3264676401906132E-5,398020.789685,3.58114732597E-12,1009.54825622,5.27883586912,1.11044686703,-6.8312110321
300.0,-3158688.38419,2810986.95942,5277909.19864,-4014636.44633,-1314575.26446,5281086.21227,1725.99825932,-7457.81546352,-548.926032789,5.15850911539,1.68907466208,-6.80551406794,6758101.55846,1.04522415437,-5.322876968213067E-4,-0.20241846956025608,-0.002892006029399876,-2.4513746395741123,0.22688152919940394,-1.212638578679881,-5.106463907715847E-6,-0.0011345099435632596,-1.6600533489169586E-5,397696.49466,3.74108500984E-12,1019.25623465,5.15850911539,1.68907466208,-6.80551406794
360.0,-3474733.79743,2505244.30993,5232824.1296,-3901874.15295,-1758659.90952,5235930.27111,2031.30412504,-7339.29513692,-955.701321629,5.01444688648,2.26012140401,-6.74844952394,6758306.41192,1.04959942346,-9.065654592314258E-4,-0.20239774270724714,-0.0040091833867894324,-2.440237430159686,0.27843520853324666,-1.1667109306425738,-6.601085475827106E-6,-0.0011344994211529684,-1.9942743536966846E-5,397267.968598,3.9170849761E-12,1029.29154466,5.01444688648,2.26012140401,-6.74844952394
420.0,-3777489.87797,2190670.88258,5163468.34944,-3771066.78235,-2194611.17361,5166489.25378,2327.26981525,-7186.80461788,-1358.11721365,4.84728455835,2.82098346594,-6.66025150367,6758611.71689,1.05397469255,-0.0014234561196567346,-0.2023718276972304,-0.005282647706850566,-2.4264817776195184,0.32930071575502307,-1.1192781943573564,-8.252767163976442E-6,-0.0011344801697995635,-2.3290531437403787E-5,396739.73966,4.10776328629E-12,1039.50533525,4.84728455835,2.82098346594,-6.66025150367
480.0,-4065630.14964,1868591.529,5070158.86743,-3622815.89711,-2620410.7224,5073080.561,2612.53098587,-7001.03211436,-1754.31621539,4.6577612202,3.36909767504,-6.54129367141,6759012.62362,1.05834996164,-0.002104906310707631,-0.20234054168951335,-0.006699495083496596,-2.40993949275919,0.37934129187713267,-1.070045087132488,-1.0061124325786983E-5,-0.0011344514246142464,-2.664311320769178E-5,396118.197297,4.31154770188E-12,1049.75677683,4.6577612202,3.36909767504,-6.54129367141
540.0,-4337882.73846,1540354.62211,4953323.32231,-3457803.52939,-3034086.09821,4956132.28745,2885.77066617,-6782.81811798,-2142.46740089,4.44671627952,3.90195295386,-6.39208758234,6759502.99574,1.06272523073,-0.0029722094954152175,-0.20230382588395354,-0.008245473058449793,-2.3904116628473107,0.42840436585028874,-1.018696889844619,-1.2025732106073805E-5,-0.001134412363442219,-2.9999695459375573E-5,395411.48522,4.52678742147E-12,1059.92255102,4.44671627952,3.90195295386,-6.39208758234
