time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.3120664244,4163200.465251461,5136049.672040268,-4292653.410000001,955168.4699999995,5139356.569999999,109.64966299999837,-7527.726490000003,1484.521489,5.528985889000605,-1.2302678486373773,-6.619550558962002,6758662.11722885,1.0233194459853856,1.1333718620180008E-16,-0.20245819323134245,-1.0625361206418758E-16,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,-0.0011344542745508244,6.640738306473715E-19,398252.76383814117,3.1125051777514152E-12,976.2183377126014,5.528985889000605,-1.2302678486373773,-6.619550558962002
60.0,-1789712.6502305893,3920255.31410847,5213136.60277765,-4276130.764833001,501640.1507239459,5216447.9465093445,440.89946350769645,-7584.0430424481965,1084.1893564704544,5.508416008466334,-0.6462016353003585,-6.719713088122588,6758662.09731906,1.027694715234372,-2.3650622484725854E-6,-0.20245604264890918,-1.006078451598359E-4,-2.4720592963923615,0.01612042366582495,-1.386661179676411,-7.049068602884885E-7,-0.001134477987848552,-3.302852372536554E-6,398335.1613190008,3.202793358151162E-12,983.397071364577,5.508416008466334,-0.6462016353003585,-6.719713088122588
120.0,-2144732.036347836,3662345.316519358,5266057.236022164,-4239785.4697591225,45786.44967776277,5269357.675246073,770.1497746091638,-7605.207750885237,678.7771609655232,5.462359540981598,-0.05898922940898675,-6.78881820190014,6758662.074719539,1.0320699844833425,-2.5120015675302477E-5,-0.20244904694044444,-4.002719994956937E-4,-2.4703079486899955,0.06928029515576355,-1.3441021824371808,-1.5682193694862947E-6,-0.001134495908219746,-6.615080444255327E-6,398280.4824443074,3.312437829199636E-12,991.3056588662866,5.462359540981598,-0.05898922940898675,-6.78881820190014
180.0,-2492166.1284609213,3390599.0123572224,5294562.845691343,-4183783.268667925,-410279.47971076897,5297837.078540966,1095.876758372309,-7591.112892800247,270.1591301774134,5.391014433408126,0.5286658629594921,-6.826530191335646,6758662.0498699015,1.0364452537322815,-9.179920628334995E-5,-0.202436413930469,-8.945557430244907E-4,-2.4663158457456267,0.12219457297363527,-1.3010762842737915,-2.5897433370929423E-6,-0.0011345075693188359,-9.935939052550294E-6,398085.3767451572,3.4421151023077506E-12,999.8931986260723,5.391014433408126,0.5286658629594921,-6.826530191335646
240.0,-2830524.9415612817,3106195.86952564,5298517.6071911175,-4108380.909800029,-864442.8918922803,5301750.451032238,1416.5719326335532,-7541.813171633606,-139.77465110455876,5.294694451438632,1.114054974050724,-6.8326564491694235,6758662.023213206,1.0408205229812044,-2.2590571735527242E-4,-0.20241740244408551,-0.0015774140557798422,-2.4600313118618438,0.17476349162083676,-1.257339171451772,-3.769247684377168E-6,-0.0011345124437284078,-1.326467640190879E-5,397748.76411363855,3.5920374213091458E-12,1009.0715704542052,5.294694451438632,1.114054974050724,-6.8326564491694235
300.0,-3158349.2832938344,2810361.153481157,5277899.290945926,-4013925.0165300644,-1314597.1967442196,5281075.752688318,1730.7490887004526,-7457.525661302241,-549.1268666023567,5.1738280474173015,1.6944764569618356,-6.807148683535567,6758661.995223979,1.0451957922300796,-4.507976334606913E-4,-0.20239134494775576,-0.0024412221049799777,-2.451374639570682,0.2268815292002877,-1.2126385786794334,-5.106463907630985E-6,-0.0011345099435635,-1.660053348917089E-5,397271.8765715095,3.761927433293315E-12,1018.7204244333459,5.1738280474173015,1.6944764569618356,-6.807148683535567
360.0,-3474217.104538191,2504360.6380314245,5232799.43690157,-3900850.5454306365,-1758653.6818347252,5235904.782480958,2036.9511258951156,-7338.6290185614125,-956.0016482783257,5.028956720597494,2.267247899630113,-6.7501035064295865,6758661.966399423,1.049571061478955,-7.895745156175309E-4,-0.20235766770600616,-0.0034768113511658536,-2.440237430158893,0.278435208533253,-1.1667109306417667,-6.601085475735118E-6,-0.001134499421152991,-1.9942743537003316E-5,396658.26018679864,3.951072021537178E-12,1028.6985975480675,5.028956720597494,2.267247899630113,-6.7501035064295865
420.0,-3776749.7372502843,2189495.179587381,5163423.007885963,-3769678.837518477,-2194551.165446794,5166442.830596701,2333.7567725117106,-7185.6619628405,-1358.5132723769068,4.860732871056918,2.8297183198713203,-6.661762387620377,6758661.937251983,1.0539463307277828,-0.0012649645775691808,-0.2023159076981125,-0.004673513099887009,-2.4264817776228673,0.32930071575534214,-1.1192781943571282,-8.252767163891883E-6,-0.0011344801697988547,-2.329053143748681E-5,395913.73693876824,4.158433660854094E-12,1038.8588078534376,4.860732871056918,2.8297183198713203,-6.661762387620377
480.0,-4064617.992059384,1867095.1775231052,5070087.52198781,-3621015.270409305,-2620265.5364760286,5073007.809351175,2619.787162894028,-6999.321026231935,-1754.7948334808457,4.669917150491213,3.379280289879686,-6.542510966900522,6758661.908299666,1.0583215999766105,-0.0018992130702323688,-0.20226572561821593,-0.006019209288032653,-2.4099394927543343,0.3793412918773781,-1.0700450871338973,-1.0061124325700758E-5,-0.0011344514246144544,-2.6643113207726744E-5,395046.32695414795,4.3827746818636444E-12,1049.0613777169772,4.669917150491213,3.379280289879686,-6.542510966900522
540.0,-4336548.088348127,1538514.943678448,4953221.666427968,-3455546.5209156033,-3033819.1375695085,4956028.865286623,2893.7122405941304,-6780.457579439218,-2143.0068579284143,4.457375315188165,3.9133819375617054,-6.39287771995039,6758661.880056981,1.0626968692254064,-0.0027139723964177105,-0.2022069143665497,-0.007500390247664579,-2.390411662844495,0.428404365851138,-1.018696889845236,-1.2025732105981924E-5,-0.0011344123634425183,-2.9999695459422932E-5,394066.1321690503,4.622750299917971E-12,1059.1837201671183,4.457375315188165,3.9133819375617054,-6.39287771995039
