time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31112709,4163200.4655738,5136049.67204027,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.52898588897571,-1.23026784863548,-6.61955055897505,6758662.11722884,1.02331944621101,-0.0,-0.202458193231342,-0.0,-2.4715939053549,-0.0371889644761344,-1.42899313488854,0.0,-0.0011344542745508,0.0,398252.763838142,3.1122E-12,976.192653674721,5.52898588897571,-1.23026784863548,-6.61955055897505
60.0,-1789712.64932811,3920255.31452079,5213136.60277727,-4276130.7648331,501640.150725508,5216447.94650896,440.899463505259,-7584.04304242859,1084.18935646669,5.50841600844236,-0.646201635299396,-6.7197130881357,6758662.09728357,1.02769471546425,-2.3650619896E-6,-0.202456042649015,-1.006078454E-4,-2.47205929639209,0.0161204236657014,-1.38666117967647,-7.049068604E-7,-0.0011344779878485,-3.3028523725E-6,398335.161318886,3.2024E-12,983.369143350587,5.50841600844236,-0.646201635299396,-6.7197130881357
120.0,-2144732.03548779,3662345.31702348,5266057.23602157,-4239785.46975949,45786.4496808986,5269357.67524548,770.149774604623,-7605.20775086555,678.777160961835,5.46235954095881,-0.0589892294088966,-6.78881820191343,6758662.07468343,1.0320699847175,-2.5120015302E-5,-0.202449046940662,-4.002720000291E-4,-2.47030794868962,0.069280295155486,-1.34410218243724,-1.5682193696E-6,-0.0011344959082197,-6.6150804443E-6,398280.482444098,3.312E-12,991.275655150042,5.46235954095881,-0.0589892294088966,-6.78881820191343
180.0,-2492166.12768751,3390599.01292605,5294562.84569045,-4183783.26866868,-410279.479706065,5297837.07854007,1095.87675836575,-7591.11289278061,270.159130173778,5.3910144333873,0.528665862958804,-6.82653019134963,6758662.04983281,1.03644525395931,-9.17992059714E-5,-0.202436413930927,-8.945557437834E-4,-2.46631584574527,0.122194572973341,-1.30107628427383,-2.5897433372E-6,-0.0011345075693188,-9.9359390526E-6,398085.376744631,3.4417E-12,999.861373894616,5.3910144333873,0.528665862958804,-6.82653019134963
240.0,-2830524.94084677,3106195.87017659,5298517.60719004,-4108380.90980124,-864442.891886015,5301750.45103115,1416.57193262511,-7541.8131716141,-139.774651108183,5.29469445142012,1.11405497404944,-6.83265644918439,6758662.02317504,1.04082052320969,-2.259057170617E-4,-0.202417402444704,-0.001577414056718,-2.46003131186148,0.174763491620489,-1.25733917145186,-3.7692476845E-6,-0.0011345124437284,-1.32646764019E-5,397748.764112725,3.5916E-12,1009.03826067083,5.29469445142012,1.11405497404944,-6.83265644918439
300.0,-3158349.28263362,2810361.15422213,5277899.29094455,-4013925.01653193,-1314597.1967364,5281075.75268695,1730.74908869032,-7457.52566128301,-549.12686660604,5.17382804740182,1.69447645696028,-6.80714868355186,6758661.99518459,1.04519579246293,-4.507976331985E-4,-0.202391344948604,-0.0024412221061992,-2.45137463957029,0.226881529199867,-1.21263857867943,-5.1064639077E-6,-0.0011345099435635,-1.66005334892E-5,397271.876570026,3.7614E-12,1018.68603125027,5.17382804740182,1.69447645696028,-6.80714868355186
360.0,-3474217.1039731,2504360.63881286,5232799.43690006,-3900850.54543325,-1758653.68182538,5235904.78247945,2036.95112588352,-7338.62901854258,-956.001648282164,5.02895672058525,2.26724789962861,-6.75010350644741,6758661.966359,1.04957106170188,-7.89574515468E-4,-0.202357667706975,-0.0034768113525414,-2.44023743015857,0.278435208532751,-1.16671093064184,-6.6010854758E-6,-0.001134499421153,-1.9942743537E-5,396658.260184709,3.9505E-12,1028.66356474353,5.02895672058525,2.26724789962861,-6.75010350644741
420.0,-3776749.7367511,2189495.18044362,5163423.00788426,-3769678.83752198,-2194551.16543596,5166442.83059501,2333.75677249885,-7185.66196282213,-1358.51327238099,4.86073287104843,2.82971831987039,-6.66176238764002,6758661.93721041,1.05394633095227,-0.0012649645775441,-0.202315907699416,-0.004673513101705,-2.42648177762254,0.329300715754733,-1.11927819435689,-8.252767164E-6,-0.0011344801697988,-2.32905314375E-5,395913.736935911,4.1579E-12,1038.82359462442,4.86073287104843,2.82971831987039,-6.66176238764002
480.0,-4064617.99162882,1867095.17845175,5070087.52198599,-3621015.27041371,-2620265.53646375,5073007.80934936,2619.78716288014,-6999.32102621393,-1754.79483348532,4.66991715048671,3.3792802898799,-6.54251096692228,6758661.90825673,1.05832160020265,-0.0018992130702694,-0.202265725620016,-0.0060192092905759,-2.40993949275385,0.379341291876588,-1.07004508713299,-1.00611243258E-5,-0.0011344514246144,-2.66431132077E-5,395046.326950395,4.3822E-12,1049.02643408421,4.66991715048671,3.3792802898799,-6.54251096692228
540.0,-4336548.08798859,1538514.94467698,4953221.66642601,-3455546.52092101,-3033819.1375558,4956028.86528467,2893.71224057951,-6780.45757942164,-2143.00685793347,4.45737531518798,3.91338193756373,-6.39287771997447,6758661.8800128,1.06269686945303,-0.0027139723965493,-0.202206914368784,-0.0075003902507732,-2.39041166284383,0.428404365850198,-1.01869688984379,-1.20257321061E-5,-0.0011344123634425,-2.99996954594E-5,394066.132164236,4.6222E-12,1059.1494682127,4.45737531518798,3.91338193756373,-6.39287771997447
600.0,-4591327.38959885,1205127.00544407,4813363.39771534,-3274037.44942209,-3433289.94830196,4816044.47725178,3154.256957942,-6530.07414265908,-2521.34581773553,4.22407458869391,4.42953877121535,-6.21353197566533,6758661.85298132,1.06707213870913,-0.0037301944906032,-0.202139402551139,-0.0091022191619387,-2.36766898474829,0.476318421246715,-0.964898263413453,-1.41461245971E-5,-0.0011343621078543,-3.33594748843E-5,392985.183086827,4.8764E-12,1069.09131441938,4.22407458869391,4.42953877121535,-6.21353197566533
660.0,-4827809.91940085,868316.359478108,4651157.53523043,-3077327.61909164,-3816820.52592607,4653700.04761572,3400.20724297941,-6249.31999372123,-2888.05250607713,3.97107954393914,4.92534527336801,-6.00528128531866,6758661.8276445,1.0714474079538,-0.0049680260035558,-0.20206325262009,-0.0108086028756261,-2.34145350562307,0.522889629251059,-0.908293668414527,-1.64217939409E-5,-0.0011342997242303,-3.67216377576E-5,391817.25096093,5.1433E-12,1078.77149815285,3.97107954393914,4.92534527336801,-6.00528128531866
720.0,-5044921.62745804,529474.715964526,4467352.8576643,-2866327.46481431,-4182626.66175543,4469744.99605344,3630.41570505489,-5939.48608871275,-3241.4202356155,3.69954751703537,5.39848620922641,-5.7690681473378,6758661.80445512,1.07582267720419,-0.0064467068403027,-0.20197865342521,-0.0126022687664314,-2.31148266273773,0.567898347227422,-0.84851024962313,-1.88521893815E-5,-0.0011342242249244,-4.00853594607E-5,390577.628212454,5.4213E-12,1088.12740493618,3.69954751703537,5.39848620922641,-5.7690681473378
780.0,-5241665.38719309,189994.735560599,4262798.71413248,-2642014.12828695,-4529005.71277483,4265029.367734,3843.80705170305,-5601.99931420299,-3579.8028210659,3.41072356731228,5.8467475948966,-5.50596609358566,6758661.78382897,1.08019794645171,-0.0081844725892336,-0.201885907070212,-0.0144648472479773,-2.27745682365638,0.61109568578895,-0.785164361490176,-2.14367162689E-5,-0.001134134569512,-4.34498040266E-5,389282.880661963,5.7086E-12,1097.11021187066,3.41072356731228,5.8467475948966,-5.50596609358566
840.0,-5417125.69540673,-148735.701005493,4038441.16400663,-2405426.97744835,-4854344.56879571,4040499.96996657,4039.38318986181,-5238.41609286055,-3901.62230805406,3.10593500073212,6.26802727074275,-5.21717514705975,6758661.76613707,1.08457321569067,-0.0101984613760855,-0.201785410124122,-0.0163769595777381,-2.23907185201206,0.652200499964049,-0.71787323806903,-2.41747350201E-5,-0.001134029666123,-4.68141237082E-5,387950.575513191,6.0029E-12,1105.68094980367,3.10593500073212,6.26802727074275,-5.21717514705975
900.0,-5570473.05297211,-485339.1736047,3795318.66181098,-2157662.82994614,-5157127.21719277,3797196.05366548,4216.22798589533,-4850.41536789071,-4205.3764108795,2.78658547633519,6.66034502561969,-4.90401666365717,6758661.7516991,1.08894848494105,-0.0125046256551861,-0.20167762937654,-0.0183183105653819,-2.19603846560858,0.6908973697244,-0.646273555555516,-2.70655600399E-5,-0.001133908372861,-5.01774585723E-5,386598.989635584,6.3018E-12,1113.80732577019,2.78658547633519,6.66034502561969,-4.90401666365717
960.0,-5700968.0039766,-818454.329780197,3534557.305731,-1899870.90185104,-5435941.86877689,3536244.55819665,4373.51166004377,-4439.7909948322,-4489.64562270262,2.45414871793638,7.02185221849218,-4.5679275741774,6758661.74077752,1.09332375419143,-0.0151176494256612,-0.201563072472463,-0.0202677857941736,-2.14811012464414,0.726836396504885,-0.570048609285883,-3.01084586058E-5,-0.0011337694993105,-5.3538936122E-5,385246.803102096,6.6025E-12,1121.46130508489,2.45414871793638,7.02185221849218,-4.5679275741774
