time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31101,4163200.46562,5136049.67203,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.52898588898,-1.23026784864,-6.61955055898,6758662.11723,1.02334780893,5.666859310097427E-17,-0.2024581932313422,-1.0271182499535224E-16,-2.471593905353287,-0.03718896447605677,-1.4289931348888525,0.0,0.0,0.0,398252.763838,3.11591362917E-12,976.47737094,5.52898588898,-1.23026784864,-6.61955055898
60.0,-1789712.64924,3920255.31414,5213136.60309,-4276130.76483,501640.150725,5216447.94651,440.899463506,-7584.04304243,1084.18935647,5.50841600845,-0.64620163535,-6.7197130881,6758662.09729,1.02772307802,-2.365061984680032E-6,-0.20245604264885522,-1.006078452805379E-4,-2.4720592963860404,0.01612042366569264,-1.3866611796765804,-7.049068603766561E-7,-0.001134477987848274,-3.302852372534542E-6,398335.16132,3.20687245744E-12,983.702829938,5.50841600844,-0.646201635303,-6.71971308814
120.0,-2144732.03543,3662345.3162,5266057.23662,-4239785.46976,45786.4496806,5269357.67525,770.149774605,-7605.20775087,678.777160965,5.46235954096,-0.0589892294583,-6.78881820188,6758662.07469,1.03209834711,-2.5120015281603274E-5,-0.20244904693986218,-4.002719998296473E-4,-2.470307948697733,0.06928029515548614,-1.3441021824376438,-1.5682193695747527E-6,-0.0011344959082205722,-6.615080444266568E-6,398280.482447,3.3172659325E-12,991.661468644,5.46235954096,-0.0589892294117,-6.78881820192
180.0,-2492166.12763,3390599.01169,5294562.84651,-4183783.26867,-410279.479707,5297837.07854,1095.87675837,-7591.11289279,270.159130178,5.39101443338,0.52866586291,-6.82653019132,6758662.04984,1.0364736162,-9.17992059291043E-5,-0.20243641393083167,-8.945557435429799E-4,-2.4663158457375527,0.12219457297341439,-1.3010762842746364,-2.5897433371880404E-6,-0.0011345075693185744,-9.935939052561712E-6,398085.376749,3.44775493306E-12,1000.30060888,5.39101443339,0.528665862956,-6.82653019135
240.0,-2830524.94082,3106195.8685,5298517.60819,-4108380.9098,-864442.891887,5301750.45103,1416.57193263,-7541.81317162,-139.774651103,5.29469445141,1.114054974,-6.83265644916,6758662.02319,1.04084888529,-2.259057169899334E-4,-0.20241740244500747,-0.0015774140564797402,-2.4600313118668202,0.17476349162007102,-1.2573391714524293,-3.7692476844597157E-6,-0.0011345124437282144,-1.3264676401906132E-5,397748.764118,3.59852943394E-12,1009.5300274,5.29469445142,1.11405497405,-6.83265644919
300.0,-3158349.28265,2810361.15211,5277899.29206,-4013925.01653,-1314597.19674,5281075.75269,1730.74908869,-7457.52566129,-549.126866601,5.17382804738,1.69447645691,-6.80714868354,6758661.9952,1.04522415437,-4.507976330962129E-4,-0.20239134494805588,-0.0024412221060028188,-2.4513746395741123,0.22688152919940394,-1.212638578679881,-5.106463907715847E-6,-0.0011345099435632596,-1.6600533489169586E-5,397271.876576,3.76928442953E-12,1019.22714254,5.1738280474,1.69447645696,-6.80714868355
360.0,-3474217.104,2504360.63633,5232799.43807,-3900850.54543,-1758653.68183,5235904.78248,2036.95112588,-7338.62901855,-956.001648276,5.02895672056,2.26724789958,-6.75010350644,6758661.96638,1.04959942346,-7.895745153544952E-4,-0.20235766770661862,-0.0034768113524228294,-2.440237430159686,0.27843520853324666,-1.1667109306425738,-6.601085475827106E-6,-0.0011344994211529684,-1.9942743536966846E-5,396658.260192,3.95927578908E-12,1029.2486468,5.02895672058,2.26724789963,-6.75010350645
420.0,-3776749.73683,2189495.17757,5163423.00905,-3769678.83752,-2194551.16544,5166442.8306,2333.7567725,-7185.66196284,-1358.51327237,4.86073287102,2.82971831983,-6.66176238763,6758661.93723,1.05397469255,-0.0012649645774319436,-0.20231590769880764,-0.004673513101708645,-2.4264817776195184,0.32930071575502307,-1.1192781943573564,-8.252767163976442E-6,-0.0011344801697995635,-2.3290531437403787E-5,395913.736944,4.16743388333E-12,1039.44538279,4.86073287104,2.82971831987,-6.66176238764
480.0,-4064617.99175,1867095.17521,5070087.52308,-3621015.27041,-2620265.53647,5073007.80935,2619.78716288,-6999.32102623,-1754.79483348,4.66991715045,3.37928028984,-6.54251096692,6758661.90828,1.05834996164,-0.0018992130701556101,-0.20226572562039918,-0.00601920929073414,-2.40993949275919,0.37934129187713267,-1.070045087132488,-1.0061124325786983E-5,-0.0011344514246142464,-2.664311320769178E-5,395046.326959,4.39248982065E-12,1049.6761784,4.66991715048,3.37928028988,-6.54251096692
540.0,-4336548.08816,1538514.94111,4953221.66739,-3455546.52092,-3033819.13756,4956028.86529,2893.71224057,-6780.45757944,-2143.00685793,4.45737531514,3.91338193752,-6.39287771997,6758661.88004,1.06272523073,-0.002713972396457141,-0.20220691436887883,-0.007500390251115745,-2.3904116628473107,0.42840436585028874,-1.018696889844619,-1.2025732106073805E-5,-0.001134412363442219,-2.9999695459375573E-5,394066.132173,4.63306983911E-12,1059.81737113,4.45737531518,3.91338193756,-6.39287771997
