time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.48862739,4185811.47756286,5163944.85376219,-4315967.73999999,960356.199999999,5167269.52999999,129.091036999934,-7491.51385500013,1452.51565399991,5.46941408349184,-1.21701227670638,-6.54822705894005,6759053.07578977,1.02331933954551,0.0,-0.202458193231342,-1.0E-16,-2.47159390556422,-0.0371889647578316,-1.42899313520438,0.0,-0.0011222300308759,0.0,434991.318347183,2.193E-13,680.286743164062,5.46941408349184,-1.21701227670638,-6.54822705894005
60.0,-1794950.05296065,3943125.78856612,5239239.79605635,-4298383.75497048,509016.725547931,5242568.01441598,456.873453273712,-7547.42173400805,1056.41305957735,5.45257924198935,-0.645697124724756,-6.65029442684516,6759053.07578975,1.02769460895833,-2.2750061794E-6,-0.202436783828032,-9.84487685196E-5,-2.47206607824363,0.0155466178887672,-1.38711810684692,-6.889681762E-7,-0.0011222532661293,-3.2320060674E-6,433095.695597609,2.097E-13,675.233276367187,5.45257924198935,-0.645697124724756,-6.65029442684516
120.0,-2147547.18523093,3685626.96521056,5290617.76797841,-4261177.84165865,55353.9685751973,5293934.33527935,782.910113090132,-7568.91571402689,655.073376703439,5.41122605044222,-0.0702934371387039,-6.72271293263918,6759053.07578976,1.03206987837114,-2.42825708918E-5,-0.202369870585316,-3.917225418881E-4,-2.47036918236636,0.0681368922645227,-1.34502342270417,-1.5312796172E-6,-0.0011222708984525,-6.4730960665E-6,430907.148544603,2.336E-13,681.212768554687,5.41122605044222,-0.0702934371387039,-6.72271293263918
180.0,-2492684.26106042,3414408.64931455,5317818.15938755,-4204498.84971832,-398561.363029105,5321107.91929482,1105.73160265976,-7555.82484024798,250.289448678895,5.34542737930091,0.506714568945595,-6.76503834979502,6759053.07578977,1.03644514778395,-8.88788480464E-5,-0.202253579343404,-8.755368756219E-4,-2.46648040124619,0.120488900731505,-1.30247694504749,-2.5267489489E-6,-0.0011222824822178,-9.7225565903E-6,428431.767841657,2.631E-13,687.71142578125,5.34542737930091,0.506714568945595,-6.76503834979502
240.0,-2828892.49737323,3130615.38183372,5320688.59130997,-4128583.6023506,-850652.794750099,5323936.49262932,1423.87589009511,-7508.12814381691,-156.122774234479,5.25535668534844,1.08281296502147,-6.77694529983119,6759053.07578977,1.04082041719676,-2.189462580697E-4,-0.202084270209752,-0.0015440559121022,-2.46035043731537,0.172506195541919,-1.25924234324566,-3.6751558662E-6,-0.0011222875139329,-1.29796679603E-5,425678.487876936,2.992E-13,694.664428710937,5.25535668534844,1.08281296502147,-6.77694529983119
300.0,-3154729.04319163,2835438.15525896,5299186.08634122,-4033756.27141946,-1298847.13301984,5302377.25117308,1735.89440574255,-7425.95617001209,-562.331476724362,5.14128947640577,1.65546667848249,-6.75823092102598,6759053.07578975,1.04519568660958,-4.372873205504E-4,-0.201858572963917,-0.0023899189106174,-2.45190316744339,0.224086882820293,-1.21507577828388,-4.9762446327E-6,-0.0011222854328043,-1.62437036877E-5,422659.101192719,3.428E-13,701.982238769531,5.14128947640577,1.65546667848249,-6.75823092102598
360.0,-3468783.07647878,2530109.78695854,5253377.79833675,-3920427.3852626,-1741083.58875551,5256497.58980595,2040.35820270599,-7309.59197714171,-966.496434167882,5.0036045124876,2.2221285704879,-6.70881831891691,6759053.07578975,1.04957095602238,-7.665166166431E-4,-0.201573419623714,-0.0034042743633546,-2.44103502602688,0.275121545439179,-1.16972271525887,-6.4297235175E-6,-0.0011222756213739,-1.95139299424E-5,419388.234300673,3.954E-13,709.558715820312,5.0036045124876,2.2221285704879,-6.70881831891691
420.0,-3769681.88461013,2215900.12426178,5183441.28898943,-3789092.46488669,-2175322.94417954,5186475.37826282,2335.8641804251,-7159.47157516559,-1366.77666753674,4.84278469880814,2.78024903500315,-6.62875974533587,6759053.07578977,1.0539462254352,-0.0012289512389045,-0.201226073388769,-0.0045768215602475,-2.427614234676,0.325490996803045,-1.1229149289347,-8.0352641744E-6,-0.001122257406226,-2.27896050307E-5,415883.284005347,4.581E-13,717.282104492187,4.84278469880814,2.78024903500315,-6.62875974533587
480.0,-4056096.90457647,1894111.0930593,5089664.33987088,-3640330.28534663,-2599556.72836462,5092598.77217131,2621.04135141866,-6976.18377266992,-1761.33827945778,4.65941762361247,3.32728612084415,-6.51823944782055,6759053.07578979,1.05832149484801,-0.0018465001495317,-0.200814153233667,-0.0058958594130871,-2.41148005705154,0.375063823826,-1.07436783250934,-9.7925009626E-6,-0.0011222300587692,-2.60699788847E-5,412164.313847469,5.325E-13,725.045166015625,4.65941762361247,3.32728612084415,-6.51823944782055
540.0,-4326749.69756451,1566071.60277223,4972444.28970022,-3474800.76038683,-3011816.36506654,4975265.54902238,2894.55712842803,-6760.46940100285,-2148.36244979975,4.45419569213639,3.86071616874283,-6.37757612704766,6759053.07578975,1.06269676426082,-0.0026405529322274,-0.200335653496436,-0.00734834229939,-2.39244234606589,0.423693688943502,-1.02377835404097,-1.17010302132E-5,-0.0011221927960906,-2.93542925643E-5,408253.910812623,6.201E-13,732.752563476562,4.45419569213639,3.86071616874283,-6.37757612704766
