time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,0.0222699278965592,0.232418889179826,-0.182200541719794,-8.3819032E-9,5.820766E-10,-7.4505806E-9,6.55973E-11,1.346052E-10,8.50378E-11,-3.4918486E-9,-3.293612E-9,-1.0599486E-9,-2.132728696E-7,1.10454482E-7,0.0,3.2313423E-9,1.0E-16,-4.4357771E-9,4.7578317E-9,-4.795619E-9,0.0,3.08759E-11,0.0,-1.77753545384621,-1.782E-12,-14.8203623389063,-3.4918486E-9,-3.293612E-9,-1.0599486E-9
60.0,0.0173560939729214,0.241297164931893,-0.175657429732382,-1.02445483E-8,-1.501000952E-6,2.12341547E-7,-3.7123868E-9,-2.19406502E-8,2.6500402E-9,-1.9893553E-9,4.7247568E-9,-3.1548346E-9,3.35155054927E-5,1.11041667E-7,5.0061794E-9,3.8280323E-9,-1.2314804E-9,-1.7563648E-9,2.1112327E-9,-3.1530791E-9,-1.0318238E-9,3.2661293E-9,2.0060674E-9,-1.83059997967212,-1.7272E-12,-1.10012757531251,-1.9893553E-9,4.7247568E-9,-3.1548346E-9
120.0,0.0126036121509969,0.248889179434627,-0.168268423527479,1.080334187E-7,-3.0173105188E-6,4.768371582E-7,-1.325589E-10,-2.31075319E-8,6.5608674E-9,-4.422258E-10,-2.8612961E-9,2.6391822E-9,3.37520614266E-5,1.016288529E-7,2.5708918E-9,5.85316E-10,2.5418881E-9,2.3663631E-9,-2.2645227E-9,2.704172E-9,1.2796172E-9,8.984525E-10,3.0960665E-9,-1.86773961322615,-1.8587E-12,-1.12820176312505,-4.422258E-10,-2.8612961E-9,2.6391822E-9
180.0,0.0080327750183642,0.255158862099051,-0.160063696093857,2.440065145E-7,-4.5149936341E-6,5.913898349E-7,2.319211E-10,-2.20106813E-8,1.1041834E-9,6.990817E-10,1.0544048E-9,-2.049783E-10,3.35974618793E-5,1.022160481E-7,-1.1519536E-9,-6.56596E-10,-3.1243781E-9,1.2461978E-9,-7.315057E-10,-4.952504E-9,-3.2510511E-9,2.4822178E-9,2.5565903E-9,-1.88826177769806,-2.0149E-12,-1.16083742843796,6.990817E-10,1.0544048E-9,-2.049783E-10
240.0,0.0036621056497097,0.260076675564051,-0.151077116839588,4.828907549E-7,-5.9901503846E-6,5.578622222E-7,4.8839865E-9,-1.30830813E-8,4.4794888E-9,4.6515529E-9,4.97853E-9,-1.688019E-10,3.35592776537E-5,1.02803233E-7,6.2580697E-9,2.097527E-10,-4.0878978E-9,7.3153741E-9,4.458081E-9,3.2456688E-9,-4.8441338E-9,-2.4860671E-9,-3.320397E-10,-1.89176411688095,-2.1986E-12,-1.19714385578106,4.6515529E-9,4.97853E-9,-1.688019E-10
300.0,-4.919092170894E-4,0.263619936071336,-0.141346347518265,7.4878335E-7,-7.4259005487E-6,4.973262548E-7,7.4480795E-9,-1.79043127E-8,4.3623913E-9,3.5942271E-9,1.5175021E-9,1.0259829E-9,3.3451244235E-5,1.033904189E-7,7.3205504E-9,2.9639172E-9,-1.0893826E-9,7.4433939E-9,-2.8202935E-9,-1.7161161E-9,-3.7553673E-9,-4.5671957E-9,3.7036877E-9,-1.87814269901719,-2.4127E-12,-1.23565181109393,3.5942271E-9,1.5175021E-9,1.0259829E-9
360.0,-0.0044145043939352,0.265773139428347,-0.130912702530622,1.0221265256E-6,-8.8359229267E-6,5.681067705E-7,4.0049599E-9,-1.82844815E-8,-2.1177584E-9,-2.4876057E-9,-4.879008E-10,-1.0830856E-9,3.38107347488E-5,1.039776139E-7,6.6166431E-9,-3.762854E-10,4.3633546E-9,6.0268848E-9,-5.4391797E-9,-4.741127E-9,-2.764825E-10,-4.3786261E-9,3.9299424E-9,-1.84759598312667,-2.6601E-12,-1.27450836437492,-2.4876057E-9,-4.879008E-10,-1.0830856E-9
420.0,-0.0080932192504406,0.266527452040464,-0.119821491651237,1.3271346688E-6,-1.01691111922E-5,4.637986422E-7,4.8949005E-9,-1.44091246E-8,-3.2521257E-9,1.1918546E-9,4.9968452E-9,-4.6641295E-9,3.38386744261E-5,1.04564799E-7,1.12389045E-8,3.388769E-9,1.5602475E-9,1.46760057E-8,3.1969548E-9,-1.0652921E-9,-4.7358256E-9,-2.593774E-9,-3.949693E-10,-1.8006243975251,-2.9435E-12,-1.31210838718789,1.1918546E-9,4.9968452E-9,-4.6641295E-9
480.0,-0.0115173552185297,0.265881587052718,-0.108121057040989,1.6638077796E-6,-1.14501453936E-5,2.412125468E-7,1.3387762E-9,-1.00808393E-8,-2.2189397E-9,-3.6124712E-9,-8.441527E-10,-2.1794486E-9,3.39057296515E-5,1.05151984E-7,2.01495317E-8,3.2336672E-9,-5.869129E-10,1.7051546E-8,-3.8260006E-9,2.5093452E-9,2.5009626E-9,5.87692E-11,-2.11153E-11,-1.7380241396022,-3.266E-12,-1.34643392031194,-3.6124712E-9,-8.441527E-10,-2.1794486E-9
540.0,-0.0146784372627735,0.263841202948242,-0.0958628440275788,2.0111910999E-6,-1.26711092889E-5,6.89178705E-8,1.9631443E-9,-1.71448846E-8,-2.451088E-10,-2.1363959E-9,1.2571677E-9,-2.9523397E-9,3.41814011335E-5,1.057391799E-7,2.29322274E-8,3.4964365E-9,2.29939E-9,2.60658912E-8,1.0564974E-9,4.040976E-9,1.0302132E-9,2.7960906E-9,4.2925643E-9,-1.66087695391616,-3.6305E-12,-1.37632997156197,-2.1363959E-9,1.2571677E-9,-2.9523397E-9
