time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.4663574744,4185811.709981752,5163944.671561651,-4315967.74,960356.1999999998,5167269.529999999,129.09103699999832,-7491.513854999997,1452.5156539999987,5.469414083491855,-1.2170122767063871,-6.548227058940051,6759053.075789562,1.0233194459853856,5.666859310090004E-17,-0.20245819323134254,-4.604323189448128E-17,-2.471593905564226,-0.03718896475784017,-1.428993135204368,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,434989.54081172694,1.6159166507157113E-12,978.0522572877376,5.469414083491855,-1.2170122767063871,-6.548227058940051
60.0,-1794950.0356045624,3943126.029863295,5239239.620398924,-4298383.754970491,509016.72554642963,5242568.014416208,456.87345327461253,-7547.421734026874,1056.4130595804832,5.452579241989231,-0.645697124722836,-6.650294426845274,6759053.0758232735,1.027694715234372,-2.2748253385560767E-6,-0.2024367838140533,-9.844876412076836E-5,-2.4720660780620873,0.015546617880643255,-1.3871181068588256,-6.889618801697994E-7,-0.0011222532656526936,-3.2320057446815924E-6,433093.86499763327,1.7268595275371565E-12,985.1050726243584,5.452579241989231,-0.645697124722836,-6.650294426845274
120.0,-2147547.1726273266,3685627.214099747,5290617.599709991,-4261177.841658559,55353.96857218364,5293934.335279837,782.9101130916994,-7568.915714045659,655.0733767057422,5.411226050441414,-0.07029343713486753,-6.72271293263895,6759053.075823521,1.0320699844833425,-2.4281789163597155E-5,-0.20236987052577576,-3.9172253055844245E-4,-2.4703691815854576,0.06813689222514224,-1.3450234227497082,-1.5312656127557457E-6,-0.0011222708974033353,-6.47309511102507E-6,430905.28080499155,1.8594904120836148E-12,992.8730189417888,5.411226050441414,-0.07029343713486753,-6.72271293263895
180.0,-2492684.2530276547,3414408.904473429,5317817.999323865,-4204498.849718085,-398561.36303361796,5321107.919295422,1105.7316026619326,-7555.8248402663685,250.28944868039562,5.345427379299259,0.5067145689512037,-6.765038349794058,6759053.075823375,1.0364452537322815,-8.887695812600737E-5,-0.2022535792006418,-8.755368660409131E-4,-2.466480399365988,0.12048890062644152,-1.302476945144327,-2.5267258111742224E-6,-0.0011222824805083187,-9.722554638435963E-6,428429.8795798789,2.0164174182940344E-12,1001.3073022223605,5.345427379299259,0.5067145689512037,-6.765038349794058
240.0,-2828892.493711135,3130615.6419104007,5320688.440232866,-4128583.6023501256,-850652.7947560886,5323936.492629889,1423.8758900978182,-7508.1281438348915,-156.12277423374633,5.255356685345754,1.082812965028663,-6.776945299829227,6759053.075823336,1.0408205229812044,-2.1894266524163922E-4,-0.20208426994057316,-0.0015440559267346882,-2.4603504337529793,0.17250619532449915,-1.2592423434059088,-3.6751221561609965E-6,-0.0011222875114846277,-1.2979664594940008E-5,425676.59611281985,2.200311878739229E-12,1010.3226925669845,5.255356685345754,1.082812965028663,-6.776945299829227
300.0,-3154729.043683541,2835438.4188789004,5299185.944994884,-4033756.271418726,-1298847.133027278,5302377.251173588,1735.8944057456954,-7425.956170029428,-562.3314767243204,5.1412894764017105,1.6554666784909697,-6.758230921022537,6759053.0758232195,1.0451957922300796,-4.372813421429706E-4,-0.20185857251969794,-0.002389918988208341,-2.451903161531462,0.22408688243015557,-1.2150757785130935,-4.976198894479931E-6,-0.0011222854295502638,-1.6243698438424487E-5,422657.2230500181,2.413852159669838E-12,1019.8018848102258,5.1412894764017105,1.6554666784909697,-6.758230921022537
360.0,-3468783.0808932907,2530110.0527316895,5253377.667424054,-3920427.385261585,-1741083.5887643504,5256497.589806521,2040.358202709488,-7309.591977158352,-966.4964341684301,5.003604512481629,2.2221285704971,-6.708818318911367,6759053.07582358,1.049571061478955,-7.665074814699653E-4,-0.20157341895051423,-0.003404274561518548,-2.4410350170118864,0.2751215448005522,-1.1697227155552192,-6.4296642766876485E-6,-0.0011222756172597733,-1.951392228543642E-5,419386.38670468755,2.6597030965916433E-12,1029.6061068664617,5.003604512481629,2.2221285704971,-6.708818318911367
420.0,-3769681.892703357,2215900.3907892485,5183441.169167946,-3789092.4648853755,-2175322.944189713,5186475.378263291,2335.8641804288113,-7159.471575181336,-1366.7766675377536,4.8427846988003,2.780249035012622,-6.628759745328037,6759053.075823615,1.0539463307277828,-0.0012289380869857597,-0.20122607242781454,-0.00457682195770769,-2.427614221716642,0.325490995823265,-1.1229149292884726,-8.035189935644585E-6,-0.0011222574012124099,-2.2789594389278494E-5,415881.48338095116,2.9405310411356365E-12,1039.58913673356,4.8427846988003,2.780249035012622,-6.628759745328037
480.0,-4056096.916093835,1894111.358940891,5089664.231749835,-3640330.285344971,-2599556.72837607,5092598.772171569,2621.0413514224783,-6976.183772684783,-1761.3382794591041,4.659417623602756,3.327286120853391,-6.518239447810258,6759053.075823706,1.0583215999766105,-0.0018464820323930852,-0.20081415192165472,-0.005895860113031247,-2.4114800392179236,0.3750638223928352,-1.0743678329022093,-9.792410207756416E-6,-0.0011222300528330122,-2.6069964629157406E-5,412162.57582332945,3.2590351628478026E-12,1049.6107194015108,4.659417623602756,3.327286120853391,-6.518239447810258
540.0,-4326749.712242957,1566071.8666134488,4972444.19383738,-3474800.760384821,-3011816.365079227,4975265.549022457,2894.5571284318034,-6760.469401016867,-2148.3624498012077,4.454195692124639,3.860716168751125,-6.377576127034612,6759053.075823948,1.0626968692254064,-0.0026405288121273455,-0.2003356517663407,-0.007348343431837982,-2.392442322337849,0.42369368692306364,-1.0237783544465069,-1.1700921399139461E-5,-0.0011221927892271749,-2.9354274012150586E-5,408252.2499356737,3.6179653739709687E-12,1059.5461553837595,4.454195692124639,3.860716168751125,-6.377576127034612
600.0,-4580417.848724329,1233132.5821292377,4832286.804913606,-3293242.4498751797,-3410182.2545709996,4834981.960246849,3155.12360624822,-6513.219885188488,-2526.0535653127504,4.227915807160067,4.378044944715185,-6.207224936577686,6759053.075824003,1.0670721384741706,-0.003631837236300453,-0.19978895567913346,-0.008919944364637217,-2.370281747405046,0.4712163790192603,-0.970823718302686,-1.3760280999112051E-5,-0.0011221447741111218,-3.264175418977354E-5,404175.43248612556,4.020100211800708E-12,1069.2908271143858,4.227915807160067,4.378044944715185,-6.207224936577686
660.0,-4815940.661233863,896660.5937161301,4669804.588172555,-3096469.691207981,-3792792.7494011596,4672361.092219523,3401.5038095361874,-6235.475132611078,-2892.6474538190887,3.9814785468373612,4.876819239412578,-6.007778956974816,6759053.075824243,1.0714474077229348,-0.004840424675096456,-0.19917284475028207,-0.010595122392972355,-2.344751306407108,0.5174466431745891,-0.9151616702598597,-1.5970006843628418E-5,-0.0011220851188175622,-3.593162699092573E-5,399959.17111687764,4.468169423614911E-12,1078.7603252908957,3.9814785468373612,4.876819239412578,-6.007778956974816
720.0,-5032224.865543037,558033.9727479112,4485714.707352367,-2885369.357626817,-4157852.9823433626,4488120.730904462,3632.517875028004,-5928.420712920306,-3246.4196893620483,3.7158867913569487,5.354638891085104,-5.779970074853818,6759053.075824369,1.075822676973096,-0.006285457518245187,-0.19848649906039706,-0.0123571990576894,-2.3155798588953855,0.5621748673736839,-0.8564329202651758,-1.832957623147531E-5,-0.0011220128833783845,-3.922310397301769E-5,395632.3786086317,4.9647180223190846E-12,1087.8878064198584,3.7158867913569487,5.354638891085104,-5.779970074853818
780.0,-5228249.989311368,218636.25709564888,4280836.334359571,-2660897.248448725,-4503643.503258881,4283080.726997367,3847.0491336348027,-5593.384305067107,-3585.6939305088986,3.432243752701406,5.809169176850473,-5.524669198001836,6759053.075824521,1.0801979462217968,-0.007985143557937488,-0.1977294927146872,-0.014188438638701449,-2.2824788261059963,0.6051638086912062,-0.7942668614590348,-2.0838424996265898E-5,-0.001121927077685199,-4.2515385993068375E-5,391225.5440045159,5.5119165308110595E-12,1096.620239724185,3.432243752701406,5.809169176850473,-5.524669198001836
840.0,-5403073.5924815135,-120149.12600941342,4056087.516926939,-2424074.118283496,-4828528.680290548,4058159.8608115693,4044.0500553543807,-5231.831391547083,-3908.850249945695,3.131750364745578,6.238153504312908,-5.242885738696773,6759053.075824612,1.0845732154704657,-0.009956627045503747,-0.19690178221661872,-0.016070134068588423,-2.245153409042957,0.646145666583383,-0.7282919267860469,-2.349594653747771E-5,-0.0011218266627286253,-4.58076628005717E-5,386770.4138654251,6.111325822569531E-12,1104.9147187029548,3.131750364745578,6.238153504312908,-5.242885738696773
900.0,-5555836.244334543,-456944.47707122413,3812481.5481790313,-2175981.3546573287,-5130964.819720501,3814372.2087870543,4222.548017435671,-4845.360184117435,-4214.333409491366,2.8157019958155565,6.639426322484077,-4.935766300606213,6759053.075824591,1.0889484847191346,-0.012215887196412237,-0.19600368825326586,-0.017982697646290055,-2.2033199508931585,0.6848200005558988,-0.6581521860009558,-2.6301490813977413E-5,-0.0011217105519174939,-4.9099112653934675E-5,382299.64759453596,6.7636265489671494E-12,1112.73544570408,2.8157019958155565,6.639426322484077,-4.935766300606213
960.0,-5685766.224813573,-790383.4592603691,3551122.842842654,-1917756.31588578,-5409507.958041412,3552823.0163672506,4381.650854150196,-4435.695770590422,-4500.661030914391,2.4854844515789547,7.010926158360433,-4.604592509092579,6759053.075824884,1.0933237539677718,-0.014777640932424055,-0.19503587110912826,-0.019905756105490054,-2.156731084948381,0.7208532236531229,-0.5835318091608641,-2.9254363303697705E-5,-0.0011215776124784995,-5.2388901962278494E-5,377846.45141976146,7.46832476461615E-12,1120.05156910771,2.4854844515789547,7.010926158360433,-4.604592509092579
1020.0,-5792183.917588675,-1119116.7279075414,3273202.327920199,-1650587.343592477,-5662821.279340294,3274704.0850709914,4520.552144801064,-4004.683478275869,-4766.43160950219,2.1425692431856036,7.350708673413314,-4.250777930925204,6759053.075825182,1.0976990232163775,-0.017655250657935335,-0.1939993000744319,-0.021818249586858046,-2.105209852715532,0.7538806599818475,-0.5041885682711718,-3.235382393332481E-5,-0.0011214266669374742,-5.567618495438574E-5,373444.1962371663,8.223448125280742E-12,1126.8358061002393,2.1425692431856036,7.350708673413314,-4.250777930925204
1080.0,-5874505.862478246,-1441817.5300251942,2979992.358917747,-1375708.4669140824,-5889682.111027391,2981288.6848630114,4638.536195333023,-3554.281456335688,-5010.332314318393,1.788508103773884,7.656959623032134,-3.875864037187674,6759053.0758251455,1.1020742924649671,-0.020860637844841424,-0.19289521736194848,-0.023698534057326408,-2.0486926941774355,0.78351236333733,-0.41999626778749444,-3.5599085982059345E-5,-0.0011212564946829731,-5.8960103376568446E-5,369126.02507862484,9.025251001520866E-12,1133.063677839632,1.788508103773884,7.656959623032134,-3.875864037187674
1140.0,-5932248.435323712,-1757187.248226188,2672841.176158007,-1094393.8181337202,-6088988.451294843,2673926.006366631,4734.982668169574,-3086.552486634076,-5231.146516583734,1.4249267457389745,7.928007591948612,-3.4815151725695017,6759053.075825376,1.1064495617135248,-0.024404203185615404,-0.19172509718136937,-0.025524486722663626,-1.9872787740574054,0.8093439247420496,-0.330993558008389,-3.898931496372112E-5,-0.0011210658336128507,-6.223978622122317E-5,364924.45644561975,9.867951382876641E-12,1138.7131596413287,1.4249267457389745,7.928007591948612,-3.4815151725695017
1200.0,-5965031.124248329,-2063960.862442983,2353166.9192815344,-807951.7822164786,-6259764.982495639,2354035.171037849,4809.3708147475,-2603.655040551338,-5427.760985729928,1.053517861417834,8.162336370179663,-3.0695125051777814,6759053.07582537,1.110824830962067,-0.028294754030214603,-0.19049060075170038,-0.027273613977580727,-1.9212794755112144,0.8309731630045879,-0.23743295417463461,-4.2523627491639465E-5,-0.001120853381864369,-6.551434948779908E-5,360870.9901258344,1.0743526465208935E-11,1143.7645603933431,1.053517861417834,8.162336370179663,-3.0695125051777814
1260.0,-5972579.372444578,-2360912.3020656244,2022451.2217024236,-517718.90543990734,-6401168.525936159,2023098.8210849492,4861.283265710384,-2107.8336075650336,-5599.172691487059,0.6760333809277316,8.358596827364831,-2.641746943366578,6759053.075825455,1.115200100210593,-0.0325394397734928,-0.1891935281491831,-0.02892316144087647,-1.851257739173379,0.8480227085946114,-0.13981973158186708,-4.62010901309945E-5,-0.001120617799628573,-6.878289597789658E-5,356995.7223644317,1.1641595888161661E-11,1148.2004604184003,0.6760333809277316,8.358596827364831,-2.641746943366578
1320.0,-5954726.959222097,-2646859.66051792,1682232.4104983963,-225053.59098407417,-6512492.895374517,1682656.3146335992,4890.4093348936685,-1601.4083300773189,-5744.495149959572,0.2942760126406121,8.515618138866989,-2.2002110197386933,6759053.075825593,1.1195753694590873,-0.03714369579930834,-0.18783576798843435,-0.030450225619748614,-1.778043978365943,0.8601670059901648,-0.0389274207029817,-5.0020718243420345E-5,-0.0011203577110490356,-7.204451512619055E-5,353326.97735855,1.254941921684468E-11,1152.005507240912,0.2942760126406121,8.515618138866989,-2.2002110197386933
1380.0,-5911417.893039679,-2920670.2439312586,1334098.3409257801,68670.38807605655,-6593173.10885876,1334296.5553501472,4896.547795127492,-1086.7639878409746,-5862.964252090255,-0.08990989604900404,8.632418214879241,-1.7469897571745954,6759053.07582562,1.123950638707566,-0.042111196514555777,-0.186419246015371,-0.031831866744155474,-1.7027160852279224,0.8671604346729751,0.06422258908058216,-5.398147482889313E-5,-0.0011200717062052803,-7.529828286880621E-5,349890.96198785363,1.3452050985188325E-11,1155.16654125846,-0.08990989604900404,8.632418214879241,-1.7469897571745954
1440.0,-5842707.792616304,-3181265.4254602366,979678.898408384,362070.52548962866,-6642788.921402816,979650.4893962538,4879.6090865150145,-566.338384260493,-5953.943514267237,-0.4746481276198736,8.70821318430739,-1.284250547279482,6759053.075825819,1.1283259079560126,-0.04744381793012875,-0.18494587375095425,-0.03304522230333432,-1.6265375360426046,0.8688617456965656,0.16842333450710162,-5.808226937006797E-5,-0.0011197583431809474,-7.854326155075464E-5,346711.4504496965,1.4332691869035292E-11,1157.6734417441257,-0.4746481276198736,8.70821318430739,-1.284250547279482
1500.0,-5748764.734978426,-3427625.276943129,620638.2043982835,653762.333111014,-6661067.644401987,620383.3061389992,4839.616921215405,-42.61019565231072,-6016.928693130203,-0.8580409306241393,8.742425788520466,-0.8142320876917165,6759053.075825897,1.1327011772044275,-0.05314161015909013,-0.18341749836109777,-0.03406762080311256,-1.5508591716966282,0.8652496962597973,0.2723808815326215,-6.232195668440455E-5,-0.0011194161502166477,-8.17784998740002E-5,343809.5050450311,1.517321318604306E-11,1159.519657076576,-0.8580409306241393,8.742425788520466,-0.8142320876917165
1560.0,-5629869.552427895,-3658792.9500637706,258666.56588713932,942366.1695549749,-6647886.221612742,258186.3824228504,4776.7092528649955,481.91364692918137,-6051.551709908482,-1.238179848859339,8.73469254631425,-0.3392324409489694,6759053.075825732,1.1370764464528427,-0.05920278011718994,-0.18183585493996574,-0.03487669524558906,-1.4770025540828187,0.8564261953542748,0.3748313506362527,-6.669933578957127E-5,-0.001119043627947022,-8.500303288764058E-5,341203.2387527216,1.5954838900983507E-11,1160.702387214768,-1.238179848859339,8.73469254631425,-0.3392324409489694
1620.0,-5486415.563886444,-3873878.7799267797,-104527.78849663783,1226514.1072666084,-6603272.5359414695,-105230.98663179463,4691.138583573445,1004.710965636358,-6057.5838338680505,-1.6131569578476792,8.68486956065888,0.13840370629292406,6759053.075825935,1.1414517157012258,-0.06562368461969215,-0.18020252237859294,-0.03545049580695701,-1.4061496951797268,0.8426061719613124,0.4746515723362507,-7.121314878774361E-5,-0.0011186392517214905,-8.82158820216431E-5,338907.62444518105,1.665895447969495E-11,1161.2225250385727,-1.6131569578476792,8.68486956065888,0.13840370629292406
1680.0,-5318907.7298603775,-4072064.085025053,-467227.1399971844,1504856.797583565,-6527405.926172295,-468150.0244651345,4583.271586889617,1523.2576484650817,-6034.938079642655,-1.9810764125628244,8.59303684996954,0.6162984893299032,6759053.075825982,1.1458269849495775,-0.0723988339800871,-0.17851888394674217,-0.03576760116730488,-1.3392615260759109,0.8240966122025087,0.5709410102498682,-7.586207977454961E-5,-0.0011182014740080517,-9.141605516550738E-5,336934.35465457506,1.726799266714015E-11,1161.084432919892,-1.9810764125628244,8.59303684996954,0.6162984893299032
1740.0,-5127961.224332151,-4252604.6389684575,-827712.8305054838,1776070.2922503762,-6420616.898073933,-828851.029176331,4453.588031176209,2035.0411749045977,-5983.670779333634,-2.340066201172736,8.459501101628298,1.0920549077622579,6759053.075825708,1.1502022541979289,-0.07952090612984354,-0.17678609364916872,-0.03580722790883145,-1.27703712052325,0.8012694414035423,0.6630629416399668,-8.064475377853629E-5,-0.0011177287268789903,-9.460254679314348E-5,335291.75472418714,1.776633139187786E-11,1160.295628540457,-2.340066201172736,8.459501101628298,1.0920549077622579
1800.0,-4914299.421176521,-4414833.791037847,-1184273.882115604,2038862.779105085,-6283386.019996876,-1185621.998368104,4302.678994385251,2537.574257302656,-5903.982297208084,-2.688289991897478,8.284796763125136,1.563271341774878,6759053.075825774,1.154577523446217,-0.08698077119753746,-0.1750050493219226,-0.035549337375206276,-1.2199130041963935,0.7745334188054561,0.750645568777849,-8.555973573710356E-5,-0.0011172194245772159,-9.777433813516705E-5,333984.750995614,1.8141130738802786E-11,1158.8664528803201,-2.688289991897478,8.284796763125136,1.563271341774878
1860.0,-4678751.29717474,-4558165.21462926,-1535215.6332772914,2291981.1893256,-6116341.99905212,-1536767.270518928,4131.244368188009,3028.408496158151,-5796.2168625256945,-3.0239589541568614,8.069685406171038,2.027556408309047,6759053.075825877,1.1589527926945367,-0.0947675264062624,-0.17317637331245053,-0.034974739349038,-1.1680925441803378,0.7443091672021439,0.8335530711161246,-9.060552951495968E-5,-0.0011166719661616215,-1.009303973997293E-4,333014.8944377243,1.838303624422901E-11,1156.8097879021884,-3.0239589541568614,8.069685406171038,2.027556408309047
1920.0,-4422248.258289343,-4682095.264950713,-1878868.3381395654,2534217.6337159863,-5920258.940174604,-1880616.1294442725,3940.08965667013,3505.147944325528,-5660.861504372262,-3.3453434312129176,7.815153321126435,2.4825440134138614,6759053.075825811,1.163328061942793,-0.10286854107978428,-0.1713004014474307,-0.03406519187957763,-1.1215919132988987,0.7110096741696517,0.9118401082107563,-9.578057697119041E-5,-0.0011160847382297656,-1.0406968004289128E-4,332380.43885239394,1.8486685382859065E-11,1154.1408803210145,-3.3453434312129176,7.815153321126435,2.4825440134138614
1980.0,-4145820.400524634,-4786204.929879755,-2213595.6749745044,2764415.6260491204,-5696052.796736507,-2215531.317703043,3730.122082238369,3965.4624732565158,-5498.544081228699,-3.650784339672475,7.52240732266203,2.9259084496943415,6759053.075825955,1.1677033311910492,-0.11126951148208257,-0.1693771808249493,-0.03280349657202322,-1.0802905362847377,0.6750268867812618,0.9857018709712008,-1.0108325708111259E-4,-0.0011154561177155792,-1.071911290894467E-4,332076.47153592325,1.8450972171952888E-11,1150.8773114985001,-3.650784339672475,7.52240732266203,2.9259084496943415
2040.0,-3850592.2213435,-4870161.360692216,-2537803.109410449,2981476.0524644237,-5444777.027807621,-2539917.4046459477,3502.346018861834,4407.100833994907,-5310.030407229724,-3.9387041716125064,7.192868772230971,3.3553793829607077,6759053.075825964,1.1720786004407024,-0.11995452516124469,-0.16740647679458542,-0.031173588633940548,-1.043977759225694,0.636723836196795,1.0554279443913022,-1.0651188511907398E-4,-0.0011147844747596977,-1.1029367550496487E-4,332095.0930791554,1.8279048898432956E-11,1147.0391336934226,-3.9387041716125064,7.192868772230971,3.3553793829607077
2100.0,-3537777.802154612,-4933718.97240386,-2849946.0586012877,3184362.8473496046,-5167617.483574654,-2852228.955200793,3257.857780156022,4827.903306730953,-5096.220486496341,-4.20761747778354,6.8281658481494505,3.7687565701037604,6759053.075825942,1.176453869688895,-0.1289061344187422,-0.16538778928865824,-0.029160620972744418,-1.0123915213526542,0.5964311500461603,1.1213642072169268,-1.120647119083849E-4,-0.0011140681756494012,-1.1337623861973899E-4,332425.6418939625,1.797807053734219E-11,1142.6491719486376,-4.20761747778354,6.8281658481494505,3.7687565701037604
