time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46529,4185811.71036,5163944.67155,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.46941408349,-1.21701227671,-6.54822705894,6759053.07579,1.02334780893,-5.666859310097427E-17,-0.2024581932313422,1.310461215457521E-16,-2.4715939055627265,-0.03718896475792745,-1.428993135204757,0.0,0.0,0.0,434989.540812,1.61790350067E-12,978.31253865,5.46941408349,-1.21701227671,-6.54822705894
60.0,-1794950.03461,3943126.0299,5239239.62072,-4298383.75497,509016.725548,5242568.01442,456.873453274,-7547.42173401,1056.41305958,5.45257924199,-0.645697124725,-6.65029442685,6759053.07579,1.02772307802,-2.274825105926694E-6,-0.2024367838149694,-9.8448764171575E-5,-2.472066078054835,0.015546617880565078,-1.3871181068590448,-6.88961880254841E-7,-0.0011222532656531587,-3.2320057446939498E-6,433093.864999,1.72931058094E-12,985.41174162,5.45257924199,-0.645697124725,-6.65029442685
120.0,-2147547.17171,3685627.21378,5290617.60031,-4261177.84166,55353.9685752,5293934.33528,782.91011309,-7568.91571403,655.073376704,5.41122605044,-0.0702934371387,-6.72271293264,6759053.07579,1.03209834711,-2.4281788758670046E-5,-0.2023698705268951,-3.9172253067392787E-4,-2.470369181584864,0.06813689222499557,-1.3450234227497326,-1.5312656128409507E-6,-0.0011222708974038494,-6.4730951110337344E-6,430905.280808,1.86248837629E-12,993.229374722,5.41122605044,-0.0702934371387,-6.72271293264
180.0,-2492684.25219,3414408.9038,5317818.00015,-4204498.84972,-398561.363029,5321107.91929,1105.73160266,-7555.82484025,250.289448679,5.3454273793,0.506714568946,-6.7650383498,6759053.07579,1.0364736162,-8.887695772665563E-5,-0.20225357920043746,-8.755368662179724E-4,-2.4664803993587814,0.12048890062615737,-1.3024769451449836,-2.5267258112605753E-6,-0.0011222824805083233,-9.722554638440801E-6,428429.879583,2.0200445447E-12,1001.71491968,5.3454273793,0.506714568946,-6.7650383498
240.0,-2828892.49297,3130615.64088,5320688.44124,-4128583.60235,-850652.79475,5323936.49263,1423.8758901,-7508.12814382,-156.122774234,5.25535668535,1.08281296502,-6.77694529983,6759053.07579,1.04084888529,-2.1894266482639824E-4,-0.2020842699409695,-0.0015440559269378673,-2.4603504337490145,0.17250619532426847,-1.259242343405524,-3.675122156247492E-6,-0.0011222875114844692,-1.2979664594949715E-5,425676.596117,2.20464493186E-12,1010.78109632,5.25535668535,1.08281296502,-6.77694529983
300.0,-3154729.04304,2835438.4175,5299185.94612,-4033756.27142,-1298847.13302,5302377.25117,1735.89440574,-7425.95617001,-562.331476724,5.14128947641,1.65546667848,-6.75823092103,6759053.07579,1.04522415437,-4.3728134164715114E-4,-0.20185857252119624,-0.0023899189884437175,-2.4519031615395583,0.22408688243029176,-1.2150757785135635,-4.9761988945608064E-6,-0.0011222854295510178,-1.6243698438425026E-5,422657.223054,2.41895697489E-12,1020.30840998,5.14128947641,1.65546667848,-6.75823092103
360.0,-3468783.08035,2530110.05102,5253377.66861,-3920427.38526,-1741083.58876,5256497.58981,2040.35820271,-7309.59197714,-966.496434168,5.00360451249,2.22212857049,-6.70881831892,6759053.07579,1.04959942346,-7.665074809754931E-4,-0.201573418950744,-0.0034042745618368653,-2.4410350170044475,0.27512154480070855,-1.1697227155552932,-6.42966427677077E-6,-0.0011222756172593485,-1.95139222854052E-5,419386.386708,2.66562931551E-12,1030.15596761,5.00360451249,2.22212857049,-6.70881831892
420.0,-3769681.89227,2215900.38876,5183441.17035,-3789092.46489,-2175322.94418,5186475.37826,2335.86418043,-7159.47157517,-1366.77666754,4.84278469881,2.780249035,-6.62875974534,6759053.07579,1.05397469255,-0.001228938086691405,-0.20122607242942728,-0.004576821958537531,-2.4276142217114116,0.3254909958218095,-1.1229149292874123,-8.03518993572434E-6,-0.0011222574012125666,-2.278959438926665E-5,415881.483384,2.94730746813E-12,1040.17567346,4.84278469881,2.780249035,-6.62875974534
480.0,-4056096.91578,1894111.35661,5089664.23286,-3640330.28535,-2599556.72836,5092598.77217,2621.04135142,-6976.18377267,-1761.33827946,4.65941762361,3.32728612084,-6.51823944782,6759053.07579,1.05834996164,-0.001846482032063875,-0.20081415192322993,-0.005895860114353945,-2.411480039213922,0.375063822391897,-1.0743678329019812,-9.792410207838999E-6,-0.0011222300528334487,-2.6069964629226212E-5,412162.575825,3.26666590153E-12,1050.22576068,4.65941762361,3.32728612084,-6.51823944782
540.0,-4326749.71204,1566071.86402,4972444.19482,-3474800.76039,-3011816.36507,4975265.54902,2894.55712843,-6760.469401,-2148.3624498,4.45419569214,3.86071616874,-6.37757612705,6759053.07579,1.06272523073,-0.002640528811733083,-0.20033565176784346,-0.007348343433513572,-2.3924423223302385,0.4236936869225612,-1.0237783544441803,-1.1700921399226704E-5,-0.0011221927892266323,-2.935427401220674E-5,408252.249936,3.62642665043E-12,1060.18042342,4.45419569214,3.86071616874,-6.37757612705
