time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46541304,4185811.71030584,5163944.67156165,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.46941405992553,-1.21701142732197,-6.54822723084761,6759053.07578957,1.02331944621101,-0.0,-0.202458193231342,-0.0,-2.47159390556423,-0.0371889647578404,-1.42899313520437,0.0,-0.0011222300308759,0.0,434989.540811728,1.6157E-12,978.026450176724,5.46941408349186,-1.21701227670639,-6.54822705894005
60.0,-1794950.03339062,3943126.03114409,5239239.62011155,-4298383.75503546,509016.727114552,5242568.01412883,456.873450721421,-7547.42168114928,1056.41305038887,5.45257917972524,-0.645696211541442,-6.65029456031543,6759052.98172357,1.02769471546425,-2.8605E-12,-0.202436059872993,-7.9409E-11,-2.47204519440808,0.0156059020283289,-1.38719418368879,0.0,-0.0011222300308759,0.0,433093.864933353,1.7266E-12,985.077038092728,5.45257924222352,-0.645697126730044,-6.65029442666597
120.0,-2147547.16643779,3685627.21821292,5290617.59865627,-4261177.84201409,55353.9749971387,5293934.33422615,782.910105527949,-7568.91560436398,655.07336079644,5.41122594495052,-0.0702924561832352,-6.72271302219164,6759052.88070104,1.0320699847175,-1.05202E-11,-0.202367189724863,-1.367259E-10,-2.4702868220478,0.0683734663492738,-1.34532626635134,0.0,-0.0011222300308759,0.0,430905.280256374,1.8592E-12,992.842921443938,5.41122605219603,-0.070293445310811,-6.72271293291984
180.0,-2492684.24004039,3414408.91348875,5317817.99718307,-4204498.85074536,-398561.348218961,5321107.91715486,1105.73158735561,-7555.82466958078,250.28942885678,5.3454272259401,0.506715622247306,-6.76503838978073,6759052.77139901,1.03644525395931,-2.14064E-11,-0.202248028918784,-1.685178E-10,-2.46629730751523,0.12102070149968,-1.30315482430808,0.0,-0.0011222300308759,0.0,428429.8776667,2.0161E-12,1001.27539082396,5.34542738511398,0.506714550543821,-6.7650383527787
240.0,-2828892.47086681,3130615.6581857,5320688.43686271,-4128583.60460284,-850652.767758172,5323936.48926046,1423.87586403165,-7508.12790764766,-156.122794820525,5.25535647922766,1.08281409603707,-6.77694528427745,6759052.65233875,1.04082052320969,-3.36526E-11,-0.202075238188542,-1.705799E-10,-2.46002784010144,0.173452091771071,-1.26044066321393,0.0,-0.0011222300308759,0.0,425676.59146017,2.2E-12,1010.28929651426,5.25535669901869,1.08281293288879,-6.77694530947411
300.0,-3154729.00776871,2835438.44502801,5299185.94045292,-4033756.27564055,-1298847.0897725,5302377.24663326,1735.89436559768,-7425.95586349428,-562.331494550402,5.14128921223144,1.65546789348372,-6.7582308434485,6759052.5218823,1.04519579246293,-4.50458E-11,-0.201845708497721,-1.378339E-10,-2.45140153205805,0.225567630798527,-1.21693635378426,0.0,-0.0011222300308759,0.0,422657.213748729,2.4135E-12,1019.76739899773,5.14128950294873,1.6554666301752,-6.75823094305836
360.0,-3468783.02854811,2530110.0916019,5253377.66199102,-3920427.39240532,-1741083.52487646,5256497.58437661,2040.3581448238,-7309.59159502352,-966.496445300437,5.00360418439791,2.22212987672469,-6.708818172114,6759052.37823173,1.04957106170188,-5.29539E-11,-0.201556575938879,-6.42544E-11,-2.44031230013045,0.277260684707756,-1.1723826141693,0.0,-0.0011222300308759,0.0,419386.370266598,2.6593E-12,1029.57096937468,5.00360455804686,2.22212850514419,-6.70881836085025
420.0,-3769681.82028734,2215900.4456306,5183441.16337421,-3789092.47613419,-2175322.8549637,5186475.37247491,2335.86410077644,-7159.47111172938,-1366.77666758317,4.84278430019265,2.78025044076018,-6.62875952116587,6759052.21942823,1.05394633095227,-5.42422E-11,-0.201205235829429,5.71872E-11,-2.42662344889344,0.328415660266569,-1.12650470862727,0.0,-0.0011222300308759,0.0,415881.456688625,2.9401E-12,1039.55380293107,4.84278477051314,2.78024895389071,-6.62875981641083
480.0,-4056096.81976865,1894111.43331799,5089664.2264044,-3640330.30213621,-2599556.60874833,5092598.76683465,2621.0412455503,-6976.18322166878,-1761.33826350267,4.65941714691204,3.327287635487,-6.51823913695826,6759052.04334982,1.05832160020265,-4.51994E-11,-0.200789355927417,2.345175E-10,-2.41016608239322,0.378905419131066,-1.07900895141219,0.0,-0.0011222300308759,0.0,412162.535072579,3.2586E-12,1049.5756376679,4.65941772937992,3.32728602792466,-6.51823955888929
540.0,-4326749.58791716,1566071.96447844,4972444.19006147,-3474800.7844373,-3011816.20959379,4975265.54525934,2894.55699139923,-6760.46875559477,-2148.36241232597,4.45419512862158,3.86071780274387,-6.37757571871571,6759051.84770779,1.06269686945303,-2.14638E-11,-0.200306888688605,4.767849E-10,-2.39073755366846,0.428588383753805,-1.02957949034328,0.0,-0.0011222300308759,0.0,408252.190571422,3.6175E-12,1059.51174818067,4.45419584041079,3.86071607124573,-6.37757629038349
600.0,-4580417.69202147,1233132.70788964,4832286.8041797,-3293242.48322063,-3410182.0573419,4834981.95953139,3155.12343254983,-6513.2191378571,-2526.05350010431,4.22791514670772,4.37804670963019,-6.20722441827261,6759051.63004291,1.06707213870913,2.2069E-11,-0.199756082485116,7.939868E-10,-2.36810028788341,0.477305292218586,-0.977875673880646,0.0,-0.0011222300308759,0.0,404175.349131057,4.0196E-12,1069.25747892433,4.22791600660313,4.37804485370492,-6.20722516562125
660.0,-4815940.46749382,896660.752177694,4669804.59234949,-3096469.73622767,-3792792.5040708,4672361.09642216,3401.50359301008,-6235.47427514244,-2892.64735385217,3.98147777765253,4.87682114781761,-6.00777831412476,6759051.38772489,1.0714474079538,9.12952E-11,-0.199135491705207,1.1970149E-9,-2.34198150063523,0.524875583926551,-0.923530494777508,0.0,-0.0011222300308759,0.0,399959.057492047,4.4677E-12,1078.72837695899,3.98147880589553,4.87681917037372,-6.00777926593233
720.0,-5032224.62975208,558034.169318905,4485714.7187577,-2885369.41709405,-4157852.68203726,4488120.74234465,3632.51760875031,-5928.41973630657,-3246.41954666945,3.71588589978991,5.35464095637989,-5.77996929057961,6759051.11795761,1.07582267720419,1.930169E-10,-0.198443985654,1.6975232E-9,-2.31207459618586,0.571093444366587,-0.866150869914795,0.0,-0.0011222300308759,0.0,395632.227445823,4.9642E-12,1087.85755431297,3.71588711783315,5.35463886443712,-5.77997047828783
780.0,-5228249.70609934,218636.497749196,4280836.35582044,-2660897.32557805,-4503643.14053766,4283080.74850446,3847.04880980204,-5593.38319947783,-3585.69373603501,3.43224272305626,5.80917141300075,-5.52466825286975,6759050.81779478,1.08019794645171,3.349575E-10,-0.197680756175927,2.3077323E-9,-2.27804338383753,0.615723617558486,-0.805320872515965,0.0,-0.0011222300308759,0.0,391225.346950302,5.5114E-12,1096.59193788695,3.43224415320174,5.80916921845504,-5.52466971026467
840.0,-5403073.25608504,-120148.834679781,4056087.55185009,-2424074.21678716,-4828528.24709964,4058159.89579491,4044.04966515685,-5231.83014630542,-3908.8499933882,3.13174917916345,6.2381559255018,-5.24288461056516,6759050.48416729,1.08457321569067,5.258332E-10,-0.196845323921715,3.0401465E-9,-2.23953068907121,0.658497225379113,-0.740609474166217,0.0,-0.0011222300308759,0.0,386770.161376305,6.1108E-12,1104.88857294535,3.13175084405968,6.23815364591534,-5.24288637326846
