time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.33421604,4163200.23408806,5136049.85325658,-4292653.40999999,955168.470000001,5139356.56999999,109.649662999999,-7527.72648999999,1484.521489,5.52898656935719,-1.23026788740987,-6.61954989994584,6758662.11722884,1.02331933954551,0.0,-1.0E-16,-1.0E-16,-2.45673399369087,-0.195157863578589,-1.55662191625545,0.0,-0.0011344542745508,0.0,398254.541169311,3.4018E-12,990.9677734375,5.52898656935719,-1.23026788740987,-6.61954989994584
60.0,-1789712.66688805,3920255.07286162,5213136.77866216,-4276130.76360611,501640.150638724,5216447.94770976,440.899504425956,-7584.04304560365,1084.18939672292,5.50841669093324,-0.646201702281512,-6.7197124061559,6758662.11722884,1.02769460895833,-6.0E-16,2.8900729509E-6,-9.0E-16,-2.46403808350273,-0.142273855138577,-1.5131454542542,0.0,-0.0011344542745508,0.0,398336.992349341,3.2024E-12,984.492431640625,5.50841669093324,-0.646201702281512,-6.7197124061559
120.0,-2144732.04662911,3662345.06425606,5266057.40817675,-4239785.46485069,45786.4492663356,5269357.6801007,770.149856360689,-7605.20775889383,678.777242699508,5.46236021841804,-0.0589893241270064,-6.78881750197501,6758662.11722884,1.03206987837114,0.0,1.18821901662E-5,2.0E-16,-2.46898393749582,-0.0891285719195159,-1.47032473601906,0.0,-0.0011344542745508,0.0,398282.351312239,3.31E-12,992.429565429687,5.46236021841804,-0.0589893241270064,-6.78881750197501
180.0,-2492166.13162727,3390598.74813147,5294563.01581359,-4183783.25764149,-410279.480789288,5297837.08956814,1095.87688042975,-7591.11290731491,270.159254331848,5.39101509822691,0.528665740843039,-6.82652947798945,6758662.11722886,1.03644514778395,-1.4E-15,2.74378411954E-5,-1.2E-15,-2.47163344785323,-0.035822288788167,-1.42790970548241,0.0,-0.0011344542745508,0.0,398087.267115156,3.4386E-12,1001.05029296875,5.39101509822691,0.528665740843039,-6.82652947798945
240.0,-2830524.93703088,3106195.59239748,5298517.77706242,-4108380.89026462,-864442.894077518,5301750.47079897,1416.57209400251,-7541.81319429646,-139.774483847831,5.29469509567264,1.11405482451908,-6.83265572642935,6758662.11722887,1.04082041719676,-2.3E-15,4.99883423253E-5,-2.5E-15,-2.47201970720766,0.01754812940707,-1.38565662496518,0.0,-0.0011344542745508,0.0,397750.659501287,3.5884E-12,1010.26550292968,5.29469509567264,1.11405482451908,-6.83265572642935
300.0,-3158349.27065467,2810360.86253665,5277899.46242047,-4013924.98616905,-1314597.20057466,5281075.78379538,1730.74928789974,-7457.52569377284,-549.126655787515,5.17382866282781,1.69447627941295,-6.80714795491089,6758662.11722887,1.04519568660958,-1.8E-15,7.99328296731E-5,4.0E-16,-2.47014753600731,0.0708871708738339,-1.34332428943728,0.0,-0.0011344542745508,0.0,397273.760669376,3.7594E-12,1019.95324707031,5.17382866282781,1.69447627941295,-6.80714795491089
360.0,-3474217.08356266,2504360.33240191,5232799.61189785,-3900850.5020311,-1758653.68795,5235904.8275507,2036.95136094464,-7338.62906255867,-956.001393645517,5.02895729882099,2.26724769265308,-6.75010277495459,6758662.11722887,1.04957095602238,1.1E-15,1.176363958992E-4,1.4E-15,-2.46599356037771,0.124098662252704,-1.30067025372995,0.0,-0.0011344542745508,0.0,396660.117186663,3.9509E-12,1029.97082519531,5.02895729882099,2.26724769265308,-6.75010277495459
420.0,-3776749.70791158,2189494.85846895,5163423.18837886,-3769678.7790014,-2194551.17459277,5166442.89226163,2333.75704093038,-7185.66202019733,-1358.5129738363,4.86073340379134,2.82971808104519,-6.66176165594908,6758662.11722888,1.0539462254352,5.0E-16,1.634283793621E-4,3.0E-16,-2.45950583704048,0.177083733268996,-1.25744705315704,0.0,-0.0011344542745508,0.0,395915.551843895,4.162E-12,1040.1689453125,4.86073340379134,2.82971808104519,-6.66176165594908
480.0,-4064617.9545509,1867094.84019338,5070087.7100027,-3621015.19485924,-2620265.5495136,5073007.89024474,2619.78746170981,-6999.32109896087,-1754.79449109399,4.6699176297139,3.37928001560932,-6.54251023745084,6758662.11722888,1.05832149484801,1.6E-15,2.176008139045E-4,3.0E-16,-2.45060304250777,0.229738697373168,-1.21339840239373,0.0,-0.0011344542745508,0.0,395048.085877314,4.3915E-12,1050.40612792968,4.6699176297139,3.37928001560932,-6.54251023745084
540.0,-4336548.0431051,1538514.58951189,4953221.86403477,-3455546.42660967,-3033819.15548751,4956028.96803418,2893.71256636816,-6780.4576698069,-2143.00647189948,4.45737573340149,3.91338162296558,-6.39287699509346,6758662.11722889,1.06269676426082,2.9E-15,2.804070468551E-4,-5.0E-16,-2.43917326977574,0.281952784368425,-1.16825537618663,0.0,-0.0011344542745508,0.0,394067.822610331,4.6383E-12,1060.55859375,4.45737573340149,3.91338162296558,-6.39287699509346
600.0,-4591327.33761619,1205126.63283167,4813363.60702509,-3274037.33485035,-3433289.97224997,4816044.60446426,3154.2573068229,-6530.07425328215,-2521.34538840933,4.22407493918386,4.42953841007291,-6.21353125792592,6758662.11722891,1.06707203367362,5.0E-15,3.52060532127E-4,2.7E-15,-2.42507251434679,0.333605660525269,-1.12173261217407,0.0,-0.0011344542745508,0.0,392986.794192726,4.901E-12,1070.52355957031,4.22407493918386,4.42953841007291,-6.21353125792592
660.0,-4827809.86129834,868315.969072557,4651157.7583823,-3077327.48299943,-3816820.55719275,4653700.20187409,3400.20761071366,-6249.32012759414,-2888.05203397398,3.97107982105513,4.92534485815703,-6.00528057770764,6758662.11722891,1.07144730308643,3.2E-15,4.327338045605E-4,3.5E-15,-2.40812299170759,0.384564672847026,-1.07352463756112,0.0,-0.0011344542745508,0.0,391818.773730785,5.1781E-12,1080.21948242187,3.97107982105513,4.92534485815703,-6.00528057770764
720.0,-5044921.5645584,529474.307459848,4467353.0968233,-2866327.3062053,-4182626.70183816,4469745.17990405,3630.41608710308,-5939.48624933572,-3241.41972144967,3.69954771645439,5.39848573122383,-5.76906745354875,6758662.1172289,1.07582257249925,4.9E-15,5.225576408846E-4,2.0E-15,-2.3881115222722,0.434681759523263,-1.02330251806596,0.0,-0.0011344542745508,0.0,390579.055703139,5.4681E-12,1089.58361816406,3.69954771645439,5.39848573122383,-5.76906745354875
780.0,-5241665.32116471,189994.308807832,4262798.97147608,-2642013.94644407,-4529005.76339733,4265029.58367305,3843.80744331259,-5601.99950563092,-3579.80226580137,3.41072368629177,5.84674704437569,-5.50596541829298,6758662.1172289,1.08019784191205,5.1E-15,6.216204119302E-4,1.1E-15,-2.36478836266356,0.483789982400096,-0.970711173942743,0.0,-0.0011344542745508,0.0,389284.208133901,5.7689E-12,1098.56665039062,3.41072368629177,5.84674704437569,-5.50596541829298
840.0,-5417125.62830584,-148736.146015456,4038441.44170972,-2405426.77194357,-4854344.63194299,4040500.22042337,4039.38358616868,-5238.41631975526,-3901.6217129713,3.10593503833537,6.26802663725432,-5.2171744961809,6758662.11722892,1.08457311132487,5.4E-15,7.29967629781E-4,-3.0E-16,-2.33786707275359,0.531699666175086,-0.915367922159364,0.0,-0.0011344542745508,0.0,387951.800539694,6.0783E-12,1107.12976074218,3.10593503833537,6.26802663725432,-5.2171744961809
900.0,-5570472.98726842,-485339.636895992,3795318.96202597,-2157662.60064375,-5157127.29514866,3797196.34098097,4216.22838203828,-4850.41563555372,-4205.3757776573,2.78658543361774,6.66034429835607,-4.90401604458789,6758662.11722891,1.08894838073768,2.9E-15,8.476016928124E-4,-2.5E-15,-2.3070263056264,0.57819418306565,-0.856863105181771,0.0,-0.0011344542745508,0.0,386600.112167763,6.3938E-12,1115.24084472656,2.78658543361774,6.66034429835607,-4.90401604458789
