time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.33421604,4163200.23408806,5136049.85325658,-4292653.40999999,955168.470000001,5139356.56999999,109.649662999999,-7527.72648999999,1484.521489,5.52898656943576,-1.23026788742735,-6.61954990003991,6758662.11713295,1.02331933954551,0.0,-1.0E-16,-1.0E-16,-2.45673399369087,-0.195157863578589,-1.55662191625545,0.0,-0.0011344542745502,0.0,398254.541169311,3.4018E-12,990.9677734375,5.52898656943576,-1.23026788742735,-6.61954990003991
60.0,-1789712.66688799,3920255.07286147,5213136.77866199,-4276130.76360596,501640.150638696,5216447.9477096,440.89950443067,-7584.04304560446,1084.18939671721,5.50841669101188,-0.646201702290723,-6.71971240625185,6758662.11713295,1.02769460895833,2.0E-16,2.890072992E-6,5.0E-16,-2.46403808350273,-0.142273855138605,-1.51314545425423,0.0,-0.0011344542745502,0.0,398336.992349115,3.2024E-12,984.492431640625,5.50841669101188,-0.646201702290723,-6.71971240625185
120.0,-2144732.04662889,3662345.06425552,5266057.40817608,-4239785.46485012,45786.4492662478,5269357.68010003,770.149856370132,-7605.20775889493,678.777242687981,5.46236021849707,-0.0589893241277552,-6.78881750207328,6758662.11713295,1.03206987837114,0.0,1.18821902548E-5,2.0E-15,-2.46898393749582,-0.0891285719195745,-1.47032473601911,0.0,-0.0011344542745502,0.0,398282.351311357,3.31E-12,992.429565429687,5.46236021849707,-0.0589893241277552,-6.78881750207328
180.0,-2492166.13162674,3390598.74813029,5294563.01581204,-4183783.25764021,-410279.480789438,5297837.08956659,1095.87688044395,-7591.11290731578,270.159254314343,5.39101509830666,0.528665740851215,-6.82652947809053,6758662.11713293,1.03644514778395,-4.0E-16,2.74378413513E-5,2.4E-15,-2.47163344785322,-0.0358222887882547,-1.42790970548248,0.0,-0.0011344542745502,0.0,398087.267113154,3.4386E-12,1001.05029296875,5.39101509830666,0.528665740851215,-6.82652947809053
240.0,-2830524.93702988,3106195.59239542,5298517.77705964,-4108380.89026234,-864442.894077697,5301750.47079619,1416.57209402152,-7541.81319429654,-139.774483871494,5.29469509575327,1.11405482453689,-6.8326557265336,6758662.11713293,1.04082041719676,3.0E-16,4.9988342573E-5,2.2E-15,-2.47201970720766,0.0175481294069533,-1.38565662496528,0.0,-0.0011344542745502,0.0,397750.65949774,3.5884E-12,1010.26550292968,5.29469509575327,1.11405482453689,-6.8326557265336
300.0,-3158349.270653,2810360.8625335,5277899.46241607,-4013924.98616549,-1314597.20057481,5281075.78379098,1730.74928792362,-7457.52569377154,-549.126655817536,5.17382866290943,1.69447627944137,-6.80714795501864,6758662.11713292,1.04519568660958,2.0E-16,7.99328300486E-5,3.7E-15,-2.47014753600732,0.0708871708736869,-1.3433242894374,0.0,-0.0011344542745502,0.0,397273.760663849,3.7594E-12,1019.95324707031,5.17382866290943,1.69447627944137,-6.80714795501864
360.0,-3474217.08356008,2504360.33239744,5232799.61189145,-3900850.50202594,-1758653.68795,5235904.82754429,2036.95136097345,-7338.62906255532,-956.001393682112,5.0289572989035,2.26724769269328,-6.75010277506601,6758662.11713291,1.04957095602238,5.0E-16,1.176363964492E-4,4.0E-15,-2.46599356037773,0.124098662252526,-1.3006702537301,0.0,-0.0011344542745502,0.0,396660.117178728,3.9509E-12,1029.97082519531,5.0289572989035,2.26724769269328,-6.75010277506601
420.0,-3776749.70790785,2189494.85846297,5163423.18837005,-3769678.77899435,-2194551.1745925,5166442.89225282,2333.75704096416,-7185.66202019119,-1358.51297387969,4.86073340387451,2.82971808109854,-6.66176165606416,6758662.11713291,1.0539462254352,1.0E-16,1.634283801384E-4,3.1E-15,-2.45950583704051,0.177083733268789,-1.25744705315722,0.0,-0.0011344542745502,0.0,395915.551833144,4.162E-12,1040.1689453125,4.86073340387451,2.82971808109854,-6.66176165606416
480.0,-4064617.9545457,1867094.84018571,5070087.70999107,-3621015.19485001,-2620265.54951284,5073007.89023311,2619.78746174859,-6999.32109895111,-1754.79449114439,4.66991762979729,3.37928001567731,-6.54251023756935,6758662.11713289,1.05832149484801,1.4E-15,2.176008149674E-4,3.5E-15,-2.45060304250781,0.229738697372934,-1.21339840239394,0.0,-0.0011344542745502,0.0,395048.085863346,4.3915E-12,1050.40612792968,4.66991762979729,3.37928001567731,-6.54251023756935
540.0,-4336548.0430981,1538514.58950239,4953221.86401991,-3455546.42659797,-3033819.15548605,4956028.9680193,2893.71256641194,-6780.45766979256,-2143.00647195708,4.45737573348444,3.91338162304976,-6.39287699521488,6758662.11713288,1.06269676426082,1.9E-15,2.804070482729E-4,2.9E-15,-2.43917326977581,0.281952784368164,-1.16825537618686,0.0,-0.0011344542745502,0.0,394067.822592779,4.6383E-12,1060.55859375,4.45737573348444,3.91338162304976,-6.39287699521488
