time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46529,4185811.71036,5163944.67155,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.45462515459,-1.21381527151,-6.54922145035,6759053.07579,1.02334780893,3.400115586061947E-16,-0.2024581932313422,-1.522968439585956E-16,-2.4715939055627265,-0.03718896475792745,-1.428993135204757,0.0,-0.0011222300308754611,0.0,434989.540812,1.61790350067E-12,978.31253865,5.45462515459,-1.21381527151,-6.54922145035
60.0,-1794959.85112,3943151.69665,5239238.32523,-4298410.7939,509021.634346,5242566.73979,455.965807636,-7547.27269534,1056.37890176,5.43715588465,-0.643958163351,-6.65045641967,6758724.59407,1.02772307802,-3.157465692280057E-6,-0.20243702489904428,-9.141341389821042E-5,-2.4720451944049366,0.015605902028365605,-1.3871941836894333,0.0,-0.0011222300308754611,0.0,433110.277264,1.72881623337E-12,985.412390529,5.43715588465,-0.643958163351,-6.65045641967
120.0,-2147589.7858,3685729.36806,5290614.34635,-4261287.36393,55369.9958766,5293931.16597,781.064619229,-7568.71040676,655.051480551,5.39543347046,-0.0701806985371,-6.7221651568,6758494.0491,1.03209834711,-1.2685353343976165E-5,-0.20237116393106258,-1.8242778638893323E-4,-2.470286822045643,0.06837346634939342,-1.3453262663509098,0.0,-0.0011222300308754611,0.0,430971.345423,1.86035432583E-12,993.232081735,5.39543347046,-0.0701806985371,-6.7221651568
180.0,-2492787.67522,3414636.82589,5317814.67041,-4204747.62449,-398533.846461,5321104.78217,1102.93445338,-7555.66461109,250.318018668,5.32954561202,0.505084334498,-6.76393081359,6758365.9615,1.0364736162,-2.8624011676384142E-5,-0.20225721705302926,-2.721932733690983E-4,-2.466297307513463,0.12102070149978093,-1.303154824308686,0.0,-0.0011222300308754611,0.0,428579.184403,2.01483793015E-12,1001.72129127,5.32954561202,0.505084334498,-6.76393081359
240.0,-2829089.64682,3131016.08488,5320688.92713,-4129028.71776,-850619.67599,5323937.32378,1420.13033014,-7508.11967923,-156.015166398,5.23967276001,1.07937911129,-6.77544773988,6758343.1128,1.04084888529,-5.095587944978353E-5,-0.20209199268780637,-3.598662283003255E-4,-2.4600278400927786,0.1734520917711023,-1.2604406632134308,0.0,-0.0011222300308754611,0.0,425942.698981,2.19456744276E-12,1010.79299559,5.23967276001,1.07937911129,-6.77544773988
300.0,-3155057.47631,2836054.70228,5299195.54005,-4034454.10369,-1298820.77458,5302387.38735,1731.22091008,-7426.20804585,-562.126826852,5.12608935895,1.65022707983,-6.75652440859,6758426.48002,1.04522415437,-7.960487657609375E-5,-0.20187251811905338,-4.4461507579599994E-4,-2.4514015320610127,0.22556763079816464,-1.216936353784656,0.0,-0.0011222300308754611,0.0,423073.265387,2.40175867372E-12,1020.32804492,5.12608935895,1.65022707983,-6.75652440859
360.0,-3469284.52542,2530981.25269,5253402.41555,-3921432.57162,-1741082.83622,5256523.11924,2034.79417231,-7310.21113381,-966.187723165,4.98916513129,2.21513967859,-6.70708647528,6758615.19718,1.04959942346,-1.1443616666028442E-4,-0.20159605601949535,-5.256261117823448E-4,-2.4403123001245675,0.2772606847084223,-1.1723826141690332,0.0,-0.0011222300308754611,0.0,419984.703916,2.6385166383E-12,1030.18600465,4.98916513129,2.21513967859,-6.70708647528
420.0,-3770401.6745,2217060.65514,5183487.21023,-3790456.9089,-2175372.92368,5186522.48226,2329.46316971,-7160.55986063,-1366.36774943,4.82936635718,2.771623566,-6.6271799378,6758906.54526,1.05397469255,-1.5525630280724056E-4,-0.2012601202007741,-6.021091891004469E-4,-2.4266234488921494,0.32841566026697583,-1.1265047086280184,0.0,-0.0011222300308754611,0.0,416693.217666,2.90684781308E-12,1040.21936132,4.82936635718,2.771623566,-6.6271799378
480.0,-4057083.2322,1895589.35918,5089737.16535,-3642102.22194,-2599688.44216,5092673.08912,2613.87185941,-6977.83469348,-1760.84325007,4.64725709136,3.31718845684,-6.51697434357,6759295.97154,1.05834996164,-2.0181376711455345E-4,-0.20086249047841734,-6.733032495507217E-4,-2.410166082398258,0.37890541913027004,-1.0790089514129753,0.0,-0.0011222300308754611,0.0,413217.297142,3.20869107574E-12,1050.28704451,4.64725709136,3.31718845684,-6.51697434357
540.0,-4328052.80223,1567890.39732,4972548.49669,-3477023.90521,-3012066.10183,4975371.59112,2886.70100257,-6762.7652136,-2147.80452859,4.4435002456,3.84935565051,-6.37676597345,6759777.1392,1.06272523073,-2.537999117557988E-4,-0.20040122652975312,-7.384816658169201E-4,-2.390737553674849,0.4285883837533455,-1.0295794903432756,0.0,-0.0011222300308754611,0.0,409577.590886,3.54593779225E-12,1060.26403408,4.4435002456,3.84935565051,-6.37676597345
600.0,-4582089.08512,1235308.31197,4832425.32859,-3295955.25459,-3410590.83827,4835122.61061,3146.67412307,-6516.22914646,-2525.46354462,4.21885845334,4.36566732117,-6.20698091353,6760342.00774,1.06710049981,-3.108503078893159E-4,-0.19987468062259584,-7.969573597680775E-4,-2.368100287875824,0.47730529221887513,-0.9778756738811295,0.0,-0.0011222300308754611,0.0,405796.74282,3.92041552644E-12,1070.04584541,4.21885845334,4.36566732117,-6.20698091353
660.0,-4818031.59039,899203.966023,4669978.16093,-3099704.72166,-3793404.6577,4672537.20623,3392.56350923,-6239.25081036,-2892.06178917,3.97419462323,4.86369662095,-6.00817790922,6760980.94409,1.0714757689,-3.725465059747765E-4,-0.19928150909078624,-8.480876666893944E-4,-2.3419815006332434,0.5248755839273189,-0.9235304947778583,0.0,-0.0011222300308754611,0.0,401899.197478,4.33382226801E-12,1079.54858806,3.97419462323,4.86369662095,-6.00817790922
720.0,-5034786.2323,560949.247872,4485921.85902,-2889152.80719,-4158715.37028,4488330.86064,3623.19623686,-5932.99893362,-3245.87832173,3.71047208034,5.34105862407,-5.78105088156,6761682.86424,1.07585103799,-4.384182086756402E-4,-0.19862068243441175,-8.912789186058634E-4,-2.3120745961882356,0.5710934443666792,-0.8661508699147504,0.0,-0.0011222300308754611,0.0,397910.974827,4.78761066949E-12,1088.70625298,3.71047208034,5.34105862407,-5.78105088156
