time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46529,4185811.71036,5163944.67155,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.4545805924,-1.21387690587,-6.54917367881,6759053.07579,1.02334780893,3.400115586061947E-16,-0.2024581932313422,-1.522968439585956E-16,-2.4715939055627265,-0.03718896475792745,-1.428993135204757,0.0,-0.0011222300308754611,0.0,434989.540812,1.61790350067E-12,978.31253865,5.4545805924,-1.21387690587,-6.54917367881
60.0,-1794959.995,3943151.68474,5239238.39593,-4298410.85823,509021.505129,5242566.81055,455.963947784,-7547.277266,1056.38097529,5.43713967901,-0.644046034699,-6.65043704798,6758732.97751,1.02772307802,-3.1609296916476663E-6,-0.20243700517158777,-9.151237635195809E-5,-2.4720451944049366,0.015605902028365605,-1.3871941836894333,0.0,-0.0011222300308754611,0.0,433110.36285,1.72881367497E-12,985.412396301,5.43713967901,-0.644046034699,-6.65043704798
120.0,-2147590.36924,3685729.23477,5290614.55489,-4261287.5497,55369.4270284,5293931.37468,781.062756694,-7568.720558,655.053636426,5.3954497039,-0.0702752894441,-6.72218254637,6758512.19113,1.03209834711,-1.2698878259416457E-5,-0.20237108092320333,-1.826157874108504E-4,-2.470286822045643,0.06837346634939342,-1.3453262663509098,0.0,-0.0011222300308754611,0.0,430971.61982,1.86034555995E-12,993.232103962,5.3954497039,-0.0702752894441,-6.72218254637
180.0,-2492788.95698,3414636.35485,5317814.95413,-4204747.87407,-398535.188975,5321105.06613,1102.93448784,-7555.68010147,250.317999148,5.32959162743,0.505004416431,-6.76398526806,6758393.69429,1.0364736162,-2.8653465406385578E-5,-0.20225702517327662,-2.7245601502350866E-4,-2.466297307513463,0.12102070149978093,-1.303154824308686,0.0,-0.0011222300308754611,0.0,428579.639683,2.01482231712E-12,1001.72133791,5.32959162743,0.505004416431,-6.76398526806
240.0,-2829091.79024,3131014.99849,5320689.09255,-4129028.8681,-850622.074286,5323937.4894,1420.13381638,-7508.13904949,-156.019382293,5.23973997798,1.07933227937,-6.77553117717,6758378.76207,1.04084888529,-5.1006058140507924E-5,-0.20209164991735856,-3.6018404770787616E-4,-2.4600278400927786,0.1734520917711023,-1.2604406632134308,0.0,-0.0011222300308754611,0.0,425943.219444,2.19454826138E-12,1010.79306985,5.23973997798,1.07933227937,-6.77553117717
300.0,-3155060.5095,2836052.71889,5299195.29148,-4034453.91655,-1298824.39384,5302387.13877,1731.22876194,-7426.22892945,-562.136560113,5.12616544442,1.65022457956,-6.75662200329,6758467.1602,1.04522415437,-7.967904183915697E-5,-0.20187199101042066,-4.449608290760557E-4,-2.4514015320610127,0.22556763079816464,-1.216936353784656,0.0,-0.0011222300308754611,0.0,423073.649779,2.40174365249E-12,1020.32814364,5.12616544442,1.65022457956,-6.75662200329
360.0,-3469288.32867,2530978.14177,5253401.40741,-3921431.77707,-1741087.68497,5256522.11067,2034.80652474,-7310.23077225,-966.20328109,4.98923698697,2.21518309641,-6.7071799005,6758657.31447,1.04959942346,-1.145354120544186E-4,-0.20159532321508364,-5.259628050757069E-4,-2.4403123001245675,0.2772606847084223,-1.1723826141690332,0.0,-0.0011222300308754611,0.0,419984.702632,2.63851790434E-12,1030.18611758,4.98923698697,2.21518309641,-6.7071799005
420.0,-3770405.9974,2217056.2776,5183485.1118,-3790455.25153,-2175378.84812,5186520.38276,2329.47942711,-7160.57570068,-1366.38833588,4.82942320887,2.77170464635,-6.62725143589,6758946.4179,1.05397469255,-1.5537876602738748E-4,-0.201259173895471,-6.023883959937984E-4,-2.4266234488921494,0.32841566026697583,-1.1265047086280184,0.0,-0.0011222300308754611,0.0,416692.578332,2.90688109817E-12,1040.21947177,4.82942320887,2.77170464635,-6.62725143589
480.0,-4057087.73609,1895583.68395,5089733.72341,-3642099.49891,-2599695.15525,5092669.64531,2613.89091259,-6977.84492386,-1760.86712055,4.6472929065,3.31729125603,-6.51701065144,6759330.45503,1.05834996164,-2.0195377615829407E-4,-0.20086133559405134,-6.734652904912395E-4,-2.410166082398258,0.37890541913027004,-1.0790089514129753,0.0,-0.0011222300308754611,0.0,413215.810465,3.20877412676E-12,1050.28713158,4.6472929065,3.31729125603,-6.51701065144
540.0,-4328057.11781,1567883.49106,4972543.58245,-3477019.98762,-3012073.23947,4975366.67409,2886.72155555,-6762.76911501,-2147.82935287,4.44351490071,3.8494604676,-6.37676117449,6759804.14421,1.06272523073,-2.53947213759048E-4,-0.20039987782657365,-7.384582325446719E-4,-2.390737553674849,0.4285883837533455,-1.0295794903432756,0.0,-0.0011222300308754611,0.0,409575.128698,3.54608809434E-12,1060.26407597,4.44351490071,3.8494604676,-6.37676117449
