time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.48862739,4185811.47756286,5163944.85376219,-4315967.73999999,960356.199999999,5167269.52999999,129.091036999934,-7491.51385500013,1452.51565399991,5.45458043946008,-1.21387477003138,-6.5491751645923,6759052.98367584,1.02331933954551,0.0,-0.202458193231342,-1.0E-16,-2.47159390556422,-0.0371889647578316,-1.42899313520438,0.0,-0.0011222299538715,0.0,434991.318347183,1.782E-12,992.872619628906,5.45458046544858,-1.21387570674601,-6.54917497501085
60.0,-1794960.01041126,3943151.44593611,5239238.56905637,-4298410.85886894,509021.508960514,5242566.80833202,455.963920769385,-7547.27713672763,1056.38090896559,5.43713894752435,-0.644043829967075,-6.65043776710945,6758732.64082536,1.02769460895833,-3.1611329683E-6,-0.202437001159218,-9.1518200508E-5,-2.47204519445283,0.0156058984055728,-1.38719418655662,0.0,-0.0011222299538715,0.0,433112.19241202,1.7267E-12,986.205932617187,5.43713900990476,-0.644044745116784,-6.65043763346672
120.0,-2147590.37145803,3685728.99747931,5290614.71556103,-4261287.55356034,55369.4425302037,5293931.36767522,781.062672066927,-7568.72029993205,655.053551410831,5.39544854806418,-0.0702732521725392,-6.72218245265024,6758511.61758406,1.03206987837114,-1.26996672482E-5,-0.202371074091663,-1.826265945253E-4,-2.4702868224414,0.0683734591138516,-1.3453262721125,0.0,-0.0011222299538715,0.0,430973.484587115,1.8565E-12,994.004028320312,5.39544865489206,-0.0702742397372569,-6.72218236351807
180.0,-2492788.94195612,3414636.12754568,5317815.10189145,-4204747.88524444,-398535.154549034,5321105.05465779,1102.93432666619,-7555.67973306358,250.31794230373,5.32959027276885,0.505006021909926,-6.76398444909309,6758392.91195577,1.03644514778395,-2.86551410524E-5,-0.202257016621566,-2.724701763717E-4,-2.46629730856899,0.121020690681024,-1.30315483303668,0.0,-0.0011222299538715,0.0,428581.523723308,2.0097E-12,1002.47467041015,5.32959043100264,0.50500495379919,-6.76398441220694
240.0,-2829091.75552938,3131014.78946261,5320689.22956278,-4129028.89138683,-850622.015199994,5323937.4763396,1420.13357417162,-7508.13860169363,-156.019373332134,5.23973867153857,1.07933330821385,-6.77552984616437,6758377.81312923,1.04082041719676,-5.10087946101E-5,-0.202091640586547,-3.601994684662E-4,-2.46002784214147,0.173452077418912,-1.26044067503454,0.0,-0.0011222299538715,0.0,425945.107521707,2.1885E-12,1011.53186035156,5.23973888955932,1.07933215128099,-6.775529871205
300.0,-3155060.45424581,2836052.53525484,5299195.42175048,-4034453.95658702,-1298824.30638884,5302387.12882087,1731.22844833352,-7426.22843745039,-562.136463007145,5.1261644015082,1.65022503831522,-6.75662044642686,6758466.09205368,1.04519568660958,-7.9682865276E-5,-0.201871981652165,-4.449753315474E-4,-2.45140153543319,0.225567612984536,-1.2169363688748,0.0,-0.0011222299538715,0.0,423075.526942406,2.3956E-12,1021.05725097656,5.12616468920803,1.65022378454486,-6.75662054524041
360.0,-3469288.25322349,2530977.98881967,5253401.53581894,-3921431.83757352,-1741087.56745287,5256522.10935279,2034.80616014061,-7310.23026632144,-966.203091207037,4.98923634455774,2.21518313839452,-6.70717841055288,6758656.16970952,1.04957095602238,-1.145402057284E-4,-0.201595314392165,-5.25974504765E-4,-2.4403123052206,0.277260663528002,-1.17238263276539,0.0,-0.0011222299538715,0.0,419986.553689998,2.633E-12,1030.91076660156,4.98923671338799,2.21518178048747,-6.70717859732665
420.0,-3770405.90266668,2217056.15869524,5183485.24303309,-3790455.33481109,-2175378.70030787,5186520.39535786,2329.47903700932,-7160.57519839882,-1366.38806471394,4.82942299641796,2.77170453239304,-6.62725024807604,6758945.22506707,1.0539462254352,-1.553842996241E-4,-0.201259166008904,-6.023960062521E-4,-2.42662345611852,0.328415635844805,-1.1265047310276,0.0,-0.0011222299538715,0.0,416694.387356251,2.9032E-12,1040.94494628906,4.82942345939643,2.77170306425349,-6.62725053946456
480.0,-4057087.62269184,1895583.60087099,5089733.86116958,-3642099.60574513,-2599694.97746944,5092669.67607147,2613.89052083569,-6977.84442547316,-1760.86679075475,4.64729304106026,3.31729129099357,-6.51700989631521,6759329.2217213,1.05832149484801,-2.019597527227E-4,-0.200861328947833,-6.734683073953E-4,-2.41016609222267,0.378905391623039,-1.0790089779852,0.0,-0.0011222299538715,0.0,413217.560431592,3.2081E-12,1051.0185546875,4.64729361273636,3.31728970824116,-6.51701031151356
540.0,-4328056.98529806,1567883.44475802,4972543.72895525,-3477020.11758639,-3012073.03150369,4975366.72572922,2886.72117807678,-6762.76860295648,-2147.8289912107,4.44351520713953,3.84946092888187,-6.37676085791546,6759802.85370253,1.06269676426082,-2.539533254133E-4,-0.200399872696979,-7.384569762823E-4,-2.39073756663119,0.428588353352688,-1.02957952153461,0.0,-0.0011222299538715,0.0,409576.801356837,3.5502E-12,1061.00622558593,4.4435159035215,3.84945922936969,-6.37676141868089
