time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.4663574744,4185811.709981752,5163944.671561651,-4315967.74,960356.1999999998,5167269.529999999,129.09103699999832,-7491.513854999997,1452.5156539999987,5.454580568876505,-1.213876056449473,-6.549173850691243,6759053.075789562,1.0233194459853856,5.666859310090004E-17,-0.20245819323134254,-4.604323189448128E-17,-2.471593905564226,-0.03718896475784017,-1.428993135204368,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,434989.54081172694,1.6159166507157113E-12,978.0522572877376,5.454580592443033,-1.2138769058678107,-6.549173678777671
60.0,-1794959.9946975901,3943151.6855719336,5239238.395326599,-4298410.858298127,509021.506692984,5242566.810260668,455.9639452389449,-7547.277213204988,1056.3809661131033,5.43713961691547,-0.6440451217384805,-6.650437181386853,6758732.883568262,1.027694715234372,-3.1609327157897264E-6,-0.20243700540477372,-9.151245548741149E-5,-2.472045194408246,0.015605902028426027,-1.3871941836888853,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,433110.3627839239,1.7263631923200767E-12,985.1057249698054,5.437139679282803,-0.6440460366963481,-6.650437047772133
120.0,-2147590.3648433844,3685729.2386940806,5290614.553238408,-4261287.550057401,55369.433441473026,5293931.373623647,781.0627491603767,-7568.720448476813,655.0536205428524,5.395449598817956,-0.07027430958334867,-6.722182635806367,6758511.996332217,1.0320699844833425,-1.2698888875279914E-5,-0.20237108187709277,-1.8261592426151312E-4,-2.4702868220479717,0.06837346634951039,-1.3453262663514858,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,430971.61926857353,1.857350408312899E-12,992.8757390156047,5.395449705693021,-0.07027529758413964,-6.722182546634826
180.0,-2492788.9456184055,3414636.363958804,5317814.9511615895,-4204747.875096108,-398535.17418676,5321105.063995218,1102.934472605478,-7555.679931110397,250.31797935884043,5.329591474903316,0.5050054670419557,-6.7639853079436225,6758393.390519391,1.0364452537322815,-2.865348665913787E-5,-0.20225702736066362,-2.724561848434425E-4,-2.4662973075153496,0.12102070149999372,-1.3031548243083342,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,428579.637767277,2.0112028700892894E-12,1001.3137002102578,5.329591633259126,0.505004398107644,-6.763985271029025
240.0,-2829091.7688926263,3131015.015114859,5320689.088183418,-4129028.8703412088,-850622.0473417317,5323937.486040738,1420.1337904684078,-7508.138813908927,-156.0194028458891,5.2397397734245255,1.0793334052185979,-6.775531161722456,6758378.3397921445,1.0408205229812044,-5.1006091226559075E-5,-0.20209165387130967,-3.601842217332021E-4,-2.460027840101518,0.17345209177142892,-1.2604406632143343,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,425943.2147904557,2.1902315075277347E-12,1010.3346305209607,5.239739991613946,1.0793322473908182,-6.775531186782455
300.0,-3155060.474966438,2836052.74561928,5299195.28581934,-4034453.9207434733,-1298824.3506888973,5302387.1342382375,1731.228722085498,-7426.228623989872,-562.1365779326111,5.126165182977299,1.6502257858482443,-6.7566219263886325,6758466.60835959,1.0451957922300796,-7.96790858137881E-5,-0.20187199728416855,-4.449609737472467E-4,-2.451401532058155,0.22556763079897746,-1.21693635378477,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,423073.6404834907,2.3966687298848777E-12,1019.82156273995,5.1261654708100775,1.650224531498696,-6.756622025247854
360.0,-3469288.277558814,2530978.181450972,5253401.400801744,-3921431.7841610806,-1741087.6212682053,5256522.105249009,2034.8064673775339,-7310.230391916514,-966.2032922961446,4.989236663418186,2.2151843891271796,-6.707179755522383,6758656.620323286,1.049571061478955,-1.1453546324920541E-4,-0.20159533238021768,-5.259628811763196E-4,-2.440312300130583,0.2772606847082967,-1.1723826141699925,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,419984.6862143144,2.632641342333837E-12,1029.6361750150622,4.989237032195115,2.2151830314166547,-6.707179942269154
420.0,-3770405.9261403307,2217056.3333922,5183485.104817947,-3790455.2626914494,-2175378.759216453,5186520.376963992,2329.479348350869,-7160.575240089227,-1366.3883361724684,4.829422817460199,2.7717060323401608,-6.627251215542401,6758945.566908023,1.0539463307277828,-1.553788177027772E-4,-0.20125918653362926,-6.023883578136183E-4,-2.4266234488935607,0.3284156602672077,-1.1265047086281983,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,416692.5516886217,2.9001813032730125E-12,1039.6328196188374,4.829423279964536,2.7717045657043133,-6.627251506632521
480.0,-4057087.640896911,1895583.7593408613,5089733.716922229,-3642099.5155381593,-2599695.0361652346,5092669.639945715,2613.8908081821996,-6977.844377184645,-1760.8671051793958,4.647292440812213,3.3172927430462797,-6.517010347588232,6759329.430737235,1.0583215999766105,-2.019538181362033E-4,-0.20086135229906824,-6.734650848825175E-4,-2.410166082393471,0.37890541913182324,-1.079008951413574,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,413215.7698152116,3.2012549471417646E-12,1049.6719320662048,4.64729301126089,3.317291163692344,-6.517010761895149
540.0,-4328056.994648639,1567883.5898784837,4972543.57760947,-3477020.0114005534,-3012073.0848444737,4975366.670250346,2886.7214208198693,-6762.768475936745,-2147.8293165637137,4.443514353479702,3.8494620643519144,-6.3767607779746855,6759802.928119222,1.0626968692254064,-2.5394723164191E-4,-0.20039989919572093,-7.384577984409519E-4,-2.390737553668885,0.4285883837546494,-1.0295794903450843,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,409575.0695248495,3.537781558377523E-12,1059.629596193019,4.443515047433978,3.8494603707646866,-6.37676133678523
600.0,-4582092.7163281655,1235300.4317950138,4832418.956893961,-3295950.12092024,-3410597.832904125,4835116.235972435,3146.69487473493,-6516.226438353187,-2525.4868278998433,4.218856754768935,4.3657571255792025,-6.206937069734353,6760359.391958887,1.0670721384741706,-3.1098953832853264E-4,-0.19987318493567413,-7.966760611106554E-4,-2.3681002878841557,0.47730529221938167,-0.9778756738827268,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,405793.19874156266,3.911616045862348E-12,1069.4020400591148,4.218857588997631,4.365755319045789,-6.206937796682793
660.0,-4818034.391552661,899195.1643948898,4669970.491426843,-3099698.351414801,-3793411.3447361887,4672529.532546153,3392.5839111182513,-6239.243567429171,-2892.081522260814,3.9741863981934293,4.863756358936502,-6.008105648132781,6760990.634727564,1.0714474077229348,-3.726571373205593E-4,-0.19927986622709357,-8.474814188168378E-4,-2.3419815006359914,0.5248755839273315,-0.9235304947795272,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,401894.71140712284,4.324482688190404E-12,1078.9057316628991,3.9741873904751066,4.863754444100614,-6.008106569056855
720.0,-5034788.036599624,560939.642485465,4485913.147209848,-2889145.2267943346,-4158721.5362668363,4488322.1433616495,3623.2162136187185,-5932.98916304654,-3245.8932451796027,3.7104678330869088,5.341083026362143,-5.780965655907679,6761686.83931624,1.075822676973096,-4.3847510565078236E-4,-0.19861890911400734,-8.902933587421472E-4,-2.3120745961866445,0.5710934443673489,-0.8661508699167281,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,397905.7236272862,4.777859354299493E-12,1088.0747076033413,3.7104690019329873,5.341081011810399,-5.780966798602199
780.0,-5231331.521984432,221911.31851995256,4281063.704748489,-2665239.815357919,-4504810.728300749,4283311.522540409,3837.480257715065,-5598.773542402335,-3585.247797607261,3.4287628202247054,5.7954149556077645,-5.526349992882628,6762436.52382001,1.0801979462217968,-5.079204270852293E-4,-0.19788959864322753,-9.245936148225634E-4,-2.2780433838384093,0.615723617559181,-0.8053208725177817,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,393853.6445260944,5.272819488648738E-12,1096.856790467807,3.428764184504758,5.795412854476327,-5.526351386721799
840.0,-5406719.820325074,-116512.20453087802,4056337.762882965,-2428995.9075989174,-4830044.003210683,4058413.9961082423,4034.331128662639,-5238.044457177813,-3908.5249988303976,3.130229838250493,6.2244950002073285,-5.245226598758456,6763226.6148701925,1.0845732154704657,-5.804255864262973E-4,-0.19709154749690075,-9.499285902696556E-4,-2.2395306890722204,0.6584972253796945,-0.740609474167974,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,389766.8872820654,5.809842348206706E-12,1105.209866223834,3.1302314167036953,6.224492830781127,-5.245228274158078
900.0,-5560090.050285642,-452958.6782398592,3812746.256732291,-2181487.845877536,-5132877.327171393,3814641.2770013814,4212.796306180576,-4852.382849168057,-4214.166829828977,2.816123410037838,6.626142698437692,-4.938699803250561,6764042.645667403,1.0889484847191346,-6.553824120441728E-4,-0.19622470314445992,-9.659099504368447E-4,-2.196173409612028,0.6991080320292795,-0.6715848301085134,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,385674.5652370478,6.388602690840696E-12,1113.0988266210834,2.8161252206604286,6.626140484699161,-4.938701790945743
960.0,-5690666.284370632,-786066.758611765,3551391.4850072456,-1923846.0085087924,-5411865.395877901,3553096.489161691,4371.981393441242,-4443.497862518472,-4500.685650485392,2.4877928461284267,6.998267420823992,-4.608011360220802,6764869.073508077,1.0933237539677718,-7.321460589253009E-4,-0.19528935305380443,-9.722137271722938E-4,-2.1476264376971796,0.7372098731360949,-0.5978375145808231,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,381606.1771604357,7.007751488231348E-12,1120.4933547091662,2.4877949054355457,6.998265192895113,-4.608013690343589
1020.0,-5797764.08405143,-1114491.5847337153,3273462.643120681,-1657251.9529231987,-5665669.156413781,3274969.6971513173,4511.075742044791,-4013.2210214713164,-4766.672456810947,2.1466799625084243,7.338883014676008,-4.254540658383489,6765689.69196375,1.0976990232163775,-8.100390551199253E-4,-0.1942861275693897,-9.685785175704299E-4,-2.0935978557393606,0.7724163273709495,-0.5190151007713463,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,377591.2849916747,7.664700362930032E-12,1127.3664871822223,2.1466822846796925,7.338880809087743,-4.254543359337776
1080.0,-5880794.721927853,-1436910.3657266793,2980230.861490175,-1382933.2262322335,-5893062.952637727,2981532.940686278,4629.35789946915,-3563.499491142057,-5010.805113013436,1.794315391941851,7.646123653457795,-3.879803591102015,6766488.099043324,1.1020742924649671,-8.88355373383242E-4,-0.1932160001900618,-9.548035093631054E-4,-2.033896939957247,0.8043040940336778,-0.4348696089350727,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,373659.1869174904,8.355424415303314E-12,1133.6937832742537,1.7943179878731377,7.646121513175605,-3.8798066882500435
1140.0,-5939269.048190217,-1752027.9505900475,2673043.7532185437,-1102157.8565491524,-6092941.237192894,2674134.778282704,4726.20078665611,-3096.3883641113075,-5231.856464713737,1.4323132528601223,7.918260356498175,-3.4854496686487852,6767248.17719631,1.1064495617135248,-9.663645445979026E-4,-0.19208028513649794,-9.307470848615705E-4,-1.9684941526999837,0.8324218222327848,-0.3453169937497679,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,369838.5886065191,9.074300376068237E-12,1139.4529077926209,1.4323161291584756,7.918258330632979,-3.485453182843894
1200.0,-5972800.958051054,-2058582.3507503823,2353319.4816088076,-816228.5442714245,-6264324.790869083,2354194.35048504,4801.076504745161,-2614.04195216216,-5428.702219691275,1.0623641263704315,8.153717517411408,-3.0732571340487387,6767954.544391667,1.110824830962067,-0.0010433158731440024,-0.19088063225579066,-8.963266419858377E-4,-1.8975879558911621,0.8563060762491734,-0.2505034948146101,4.658681209898652E-20,-0.0011222300308759384,4.0657581468206416E-20,366157.2758501592,9.813998737937879E-12,1144.6234492727476,1.0623672843440555,8.153715660553281,-3.073261080071703
