time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46541304,4185811.71030584,5163944.67156165,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.45458059859689,-1.21387605795306,-6.54917389319418,6759053.07578957,1.02331944621101,-0.0,-0.202458193231342,-0.0,-2.47159390556423,-0.0371889647578404,-1.42899313520437,0.0,-0.0011222300308759,0.0,434989.540811728,1.6157E-12,978.026450176724,5.45458062216322,-1.21387690733748,-6.54917372128662
60.0,-1794959.99376134,3943151.6859414,5239238.39524942,-4298410.85824583,509021.506696086,5242566.81018345,455.963946960919,-7547.27721306048,1056.38096354334,5.43713964464054,-0.644045117393976,-6.65043722414064,6758732.88269342,1.02769471546425,-3.1609335933E-6,-0.202437005406389,-9.1512487489E-5,-2.47204519440808,0.0156059020283289,-1.38719418368879,0.0,-0.0011222300308759,0.0,433110.362691512,1.7261E-12,985.077690351122,5.43713970700409,-0.644046032275005,-6.65043709053746
120.0,-2147590.36385442,3685729.23903427,5290614.55293023,-4261287.54985335,55369.4334657412,5293931.37331531,781.06275247371,-7568.72044785768,655.053615408832,5.39544962425546,-0.0702742996735265,-6.72218267830815,6758511.99435284,1.0320699847175,-1.26988932352E-5,-0.202371081881652,-1.826159947694E-4,-2.4702868220478,0.0683734663492738,-1.34532626635134,0.0,-0.0011222300308759,0.0,430971.618900537,1.8571E-12,992.845641164651,5.39544973112045,-0.0702752875816325,-6.7221825891466
180.0,-2492788.94454249,3414636.3641828,5317814.95046934,-4204747.87464909,-398535.174102942,5321105.06330262,1102.93447736308,-7555.67992968844,250.317971692016,5.32959149782081,0.505005482140677,-6.76398534973264,6758393.38718876,1.03644525395931,-2.86534974899E-5,-0.202257027367312,-2.724562998623E-4,-2.46629730751523,0.12102070149968,-1.30315482430808,0.0,-0.0011222300308759,0.0,428579.63694298,2.0109E-12,1001.28178799633,5.32959165615872,0.505004413314898,-6.76398531282493
240.0,-2829091.76761232,3131015.01519695,5320689.08695673,-4129028.86956933,-850622.047141012,5323937.48481344,1420.13379651084,-7508.13881138008,-156.019412987568,5.23973979365737,1.07933342508156,-6.77553120239889,6758378.33488454,1.04082052320969,-5.10061119153E-5,-0.202091653876786,-3.601843867002E-4,-2.46002784010144,0.173452091771071,-1.26044066321393,0.0,-0.0011222300308759,0.0,425943.213333404,2.1899E-12,1010.30123295685,5.23974001181956,1.07933226737745,-6.77553122746109
300.0,-3155060.47337787,2836052.74554018,5299195.28391213,-4034453.91957463,-1298824.35029645,5302387.1323301,1731.22872924522,-7426.22862007702,-562.136590468647,5.12616520043133,1.6502258100227,-6.75662196562212,6758466.60167474,1.04519579246293,-7.96791200673E-5,-0.201871997282704,-4.449611934809E-4,-2.45140153205805,0.225567630798527,-1.21693635378426,0.0,-0.0011222300308759,0.0,423073.638222536,2.3963E-12,1019.78707443084,5.12616548822618,1.65022455581046,-6.7566220644774
360.0,-3469288.27559581,2530978.1811495,5253401.39807329,-3921431.78253334,-1741087.62059343,5256522.10251926,2034.80647548314,-7310.23038637058,-966.203307127874,4.9892366780698,2.21518441715455,-6.70717979305729,6758656.61168926,1.04957106170188,-1.145355152367E-4,-0.201595332363697,-5.25963159863E-4,-2.44031230013045,0.277260684707756,-1.1723826141693,0.0,-0.0011222300308759,0.0,419984.682984623,2.6323E-12,1029.60103369208,4.98923704679697,2.2151830595927,-6.7071799797928
420.0,-3770405.92365896,2217056.33290547,5183485.10113379,-3790455.2605532,-2175378.75815462,5186520.37327813,2329.47935723142,-7160.57523268923,-1366.38835318773,4.82942282935287,2.77170606377905,-6.62725125119909,6758945.55618469,1.05394633095227,-1.553788919668E-4,-0.201259186491459,-6.023886989249E-4,-2.42662344889344,0.328415660266569,-1.12650470862727,0.0,-0.0011222300308759,0.0,416692.547332716,2.8998E-12,1039.59748026343,4.8294232917948,2.77170459730027,-6.62725154226988
480.0,-4057087.63777961,1895583.7586828,5089733.71215504,-3642099.51284786,-2599695.03459918,5092669.63517637,2613.89081767119,-6977.84436773608,-1760.86712425718,4.6472924500494,3.31729277749533,-6.51701038126028,6759329.41781892,1.05832160020265,-2.01953919361E-4,-0.200861352218241,-6.734654912515E-4,-2.41016608239322,0.378905419131066,-1.07900895141219,0.0,-0.0011222300308759,0.0,413215.764184007,3.2008E-12,1049.63684268448,4.64729302042262,3.31729119830328,-6.5170107955396
540.0,-4328056.99077253,1567883.58907518,4972543.57163922,-3477020.00812655,-3012073.08264607,4975366.66427746,2886.72143075865,-6762.76846426873,-2147.82933757849,4.44351436021518,3.84946210147146,-6.37676080962193,6759802.91293664,1.06269686945303,-2.539473648255E-4,-0.200399899060593,-7.38458271876E-4,-2.39073755366846,0.428588383753805,-1.02957949034328,0.0,-0.0011222300308759,0.0,409575.062478427,3.5373E-12,1059.59517896117,4.44351505408097,3.84946040804695,-6.37676136839708
