time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.3120664244,4163200.465251461,5136049.672040268,-4292653.410000001,955168.4699999995,5139356.569999999,109.64966299999837,-7527.726490000003,1484.521489,5.528986569357204,-1.230267887409868,-6.619549899945847,6758662.11722885,1.0233194459853856,1.1333718620180008E-16,-0.20245819323134245,-1.0625361206418758E-16,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,398252.76383814117,3.1125051777514152E-12,976.2183377126014,5.528986569357204,-1.230267887409868,-6.619549899945847
60.0,-1789712.6496693231,3920255.313014938,5213136.603979294,-4276130.763605977,501640.15063717,5216447.947710037,440.89950442692015,-7584.043045623148,1084.1893967259218,5.508416690933063,-0.6462017022795102,-6.719712406156255,6758662.117263558,1.027694715234372,1.0587065769677664E-14,-0.1343880466851088,-4.621338232795806E-16,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,398335.16146815225,3.2027933494634593E-12,983.3970713722676,5.508416690933063,-0.6462017022795102,-6.719712406156255
120.0,-2144732.034179484,3662345.312100285,5266057.2408811925,-4239785.46485045,45786.44926321737,5269357.680101298,770.1498563623215,-7605.207758913191,678.7772427016229,5.462360218417053,-0.05898932412298177,-6.788817501974943,6758662.117263754,1.0320699844833425,2.0194932759223425E-14,-0.06631179809461224,-2.7538544671668305E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,398280.4831682919,3.312437785884772E-12,991.3056589075245,5.462360218417053,-0.05898932412298177,-6.788817501974943
180.0,-2492166.1237640986,3390599.002331461,5294562.856727812,-4183783.2576410873,-410279.48079395323,5297837.089568896,1095.876880431999,-7591.112907333936,270.1592543331094,5.3910150982249325,0.5286657408489094,-6.826529477988574,6758662.117263805,1.0364452537322815,2.2704096459168766E-14,0.0017710140296914147,-2.4459639369978574E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,398085.37867539906,3.4421149831319345E-12,999.8931987452185,5.3910150982249325,0.5286657408489094,-6.826529477988574
240.0,-2830524.933552639,3106195.8515889547,5298517.62697371,-4108380.890263944,-864442.8940837071,5301750.470799711,1416.5720940053022,-7541.813194315001,-139.7744838473685,5.2946950956695495,1.1140548245265907,-6.832655726427426,6758662.117263699,1.0408205229812044,2.2203108825848793E-14,0.06986082100409019,-2.4554189898260098E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,397748.76810527267,3.592037165894134E-12,1009.0715707172562,5.2946950956695495,1.1140548245265907,-6.832655726427426
300.0,-3158349.2713430426,2810361.1253333627,5277899.32207716,-4013924.986168083,-1314597.2005823464,5281075.783796071,1730.7492879029699,-7457.525693790667,-549.1266557877701,5.173828662823245,1.694476279421763,-6.8071479549074185,6758662.117263534,1.0451957922300796,2.3089975033589237E-14,0.13795802196469803,-2.5885151016114146E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,397271.88371581887,3.7619269577527545E-12,1018.720424929598,5.173828662823245,1.694476279421763,-6.8071479549074185
360.0,-3474217.088184347,2504360.5974030187,5232799.482005453,-3900850.502029811,-1758653.6879591248,5235904.827551302,2036.9513609482026,-7338.629062575655,-956.0013936463747,5.028957298814672,2.2672476926627403,-6.750102774949119,6758662.117263451,1.049571061478955,2.3478322996866124E-14,0.2060629820041743,-1.7686719769680246E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,396658.2718183805,3.951071213678441E-12,1028.698598390408,5.028957298814672,2.2672476926627403,-6.750102774949119
420.0,-3776749.7162207305,2189495.12426598,5163423.069596519,-3769678.778999817,-2194551.1746032713,5166442.892262069,2333.757040934114,-7185.66202021345,-1358.512973837627,4.860733403783158,2.829718081055151,-6.6617616559412225,6758662.117263528,1.0539463307277828,1.4992905054609744E-14,0.27417603046086897,-7.139650219514879E-15,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,395913.75463680236,4.1584323751530145E-12,1038.858809178122,4.860733403783158,2.829718081055151,-6.6617616559412225
480.0,-4064617.966290806,1867095.105377847,5070087.602939864,-3621015.1948572937,-2620265.549525399,5073007.890244936,2619.787461713582,-6999.321098976094,-1754.7944910956342,4.669917629703795,3.379280015619046,-6.54251023744045,6758662.117263541,1.0583215999766105,8.309117419371862E-15,0.34229745936862943,-1.5203916980127236E-14,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,395046.35253835376,4.382772734383866E-12,1049.0613796841412,4.669917629703795,3.379280015619046,-6.54251023744045
540.0,-4336548.058010609,1538514.8526825637,4953221.769248266,-3455546.4266073867,-3033819.1555005293,4956028.968034219,2893.7125663718657,-6780.45766982112,-2143.0064719012585,4.457375733389263,3.913381622974215,-6.3928769950802,6758662.117263681,1.0626968692254064,1.047322728843031E-14,0.4104275220747709,-1.469581459113559E-14,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,8.131516293641283E-20,1.3552527156068805E-20,394066.1676898198,4.622747463448048E-12,1059.183722962798,4.457375733389263,3.913381622974215,-6.3928769950802
