time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.3120664244,4163200.465251461,5136049.672040268,-4292653.410000001,955168.4699999995,5139356.569999999,109.64966299999837,-7527.726490000003,1484.521489,5.528986569357204,-1.230267887409868,-6.619549899945847,6758662.11722885,1.0233194459853856,1.1333718620180008E-16,-0.20245819323134245,-1.0625361206418758E-16,-2.4715939053549034,-0.03718896447613391,-1.4289931348885438,-2.541098841762901E-21,-0.0011344542745508244,6.640738306473715E-19,398252.76383814117,3.1125051777514152E-12,976.2183377126014,5.528986569357204,-1.230267887409868,-6.619549899945847
60.0,-1789712.6496693231,3920255.313014938,5213136.603979294,-4276130.763605977,501640.15063717,5216447.947710037,440.89950442692015,-7584.043045623148,1084.1893967259218,5.508416690933063,-0.6462017022795102,-6.719712406156255,6758662.117263558,1.027694715234372,-2.364808448180004E-6,-0.20245604260068706,-1.0060057576102117E-4,-2.4720592963923615,0.01612042366582495,-1.386661179676411,-7.049068602884885E-7,-0.001134477987848552,-3.302852372536554E-6,398335.16146815225,3.2027933494634593E-12,983.3970713722676,5.508416690933063,-0.6462017022795102,-6.719712406156255
120.0,-2144732.034179484,3662345.312100285,5266057.2408811925,-4239785.46485045,45786.44926321737,5269357.680101298,770.1498563623215,-7605.207758913191,678.7772427016229,5.462360218417053,-0.05898932412298177,-6.788817501974943,6758662.117263754,1.0320699844833425,-2.5118996869358944E-5,-0.20244904674290035,-4.0025750252177127E-4,-2.4703079486899955,0.06928029515576355,-1.3441021824371808,-1.5682193694862947E-6,-0.001134495908219746,-6.615080444255327E-6,398280.4831682919,3.312437785884772E-12,991.3056589075245,5.462360218417053,-0.05898932412298177,-6.788817501974943
180.0,-2492166.1237640986,3390599.002331461,5294562.856727812,-4183783.2576410873,-410279.48079395323,5297837.089568896,1095.876880431999,-7591.112907333936,270.1592543331094,5.3910150982249325,0.5286657408489094,-6.826529477988574,6758662.117263805,1.0364452537322815,-9.179690947654712E-5,-0.2024364134796095,-8.945341278621645E-4,-2.4663158457456267,0.12219457297363527,-1.3010762842737915,-2.5897433370929423E-6,-0.0011345075693188359,-9.935939052550294E-6,398085.37867539906,3.4421149831319345E-12,999.8931987452185,5.3910150982249325,0.5286657408489094,-6.826529477988574
240.0,-2830524.933552639,3106195.8515889547,5298517.62697371,-4108380.890263944,-864442.8940837071,5301750.470799711,1416.5720940053022,-7541.813194315001,-139.7744838473685,5.2946950956695495,1.1140548245265907,-6.832655726427426,6758662.117263699,1.0408205229812044,-2.2590163250111635E-4,-0.20241740163893795,-0.0015773854988107342,-2.4600313118618438,0.17476349162083676,-1.257339171451772,-3.769247684377168E-6,-0.0011345124437284078,-1.326467640190879E-5,397748.76810527267,3.592037165894134E-12,1009.0715707172562,5.2946950956695495,1.1140548245265907,-6.832655726427426
300.0,-3158349.2713430426,2810361.1253333627,5277899.32207716,-4013924.986168083,-1314597.2005823464,5281075.783796071,1730.7492879029699,-7457.525693790667,-549.1266557877701,5.173828662823245,1.694476279421763,-6.8071479549074185,6758662.117263534,1.0451957922300796,-4.50791258307782E-4,-0.20239134369685724,-0.0024411868485425085,-2.451374639570682,0.2268815292002877,-1.2126385786794334,-5.106463907630985E-6,-0.0011345099435635,-1.660053348917089E-5,397271.88371581887,3.7619269577527545E-12,1018.720424929598,5.173828662823245,1.694476279421763,-6.8071479549074185
360.0,-3474217.088184347,2504360.5974030187,5232799.482005453,-3900850.502029811,-1758653.6879591248,5235904.827551302,2036.9513609482026,-7338.629062575655,-956.0013936463747,5.028957298814672,2.2672476926627403,-6.750102774949119,6758662.117263451,1.049571061478955,-7.895653603506366E-4,-0.20235766593429697,-0.0034767697021103497,-2.440237430158893,0.278435208533253,-1.1667109306417667,-6.601085475735118E-6,-0.001134499421152991,-1.9942743537003316E-5,396658.2718183805,3.951071213678441E-12,1028.698598390408,5.028957298814672,2.2672476926627403,-6.750102774949119
420.0,-3776749.7162207305,2189495.12426598,5163423.069596519,-3769678.778999817,-2194551.1746032713,5166442.892262069,2333.757040934114,-7185.66202021345,-1358.512973837627,4.860733403783158,2.829718081055151,-6.6617616559412225,6758662.117263528,1.0539463307277828,-0.0012649521694656602,-0.2023159053541337,-0.004673465427678956,-2.4264817776228673,0.32930071575534214,-1.1192781943571282,-8.252767163891883E-6,-0.0011344801697988547,-2.329053143748681E-5,395913.75463680236,4.1584323751530145E-12,1038.858809178122,4.860733403783158,2.829718081055151,-6.6617616559412225
480.0,-4064617.966290806,1867095.105377847,5070087.602939864,-3621015.1948572937,-2620265.549525399,5073007.890244936,2619.787461713582,-6999.321098976094,-1754.7944910956342,4.669917629703795,3.379280015619046,-6.54251023744045,6758662.117263541,1.0583215999766105,-0.001899196958013265,-0.20226572268144488,-0.006019156022459259,-2.4099394927543343,0.3793412918773781,-1.0700450871338973,-1.0061124325700758E-5,-0.0011344514246144544,-2.6643113207726744E-5,395046.35253835376,4.382772734383866E-12,1049.0613796841412,4.669917629703795,3.379280015619046,-6.54251023744045
540.0,-4336548.058010609,1538514.8526825637,4953221.769248266,-3455546.4266073867,-3033819.1555005293,4956028.968034219,2893.7125663718657,-6780.45766982112,-2143.0064719012585,4.457375733389263,3.913381622974215,-6.3928769950802,6758662.117263681,1.0626968692254064,-0.0027139521545046855,-0.2022069108547717,-0.007500331876111431,-2.390411662844495,0.428404365851138,-1.018696889845236,-1.2025732105981924E-5,-0.0011344123634425183,-2.9999695459422932E-5,394066.1676898198,4.622747463448048E-12,1059.183722962798,4.457375733389263,3.913381622974215,-6.3928769950802
