time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.33421605,4163200.23408807,5136049.85325658,-4292653.41,955168.470000001,5139356.57,109.64966300148,-7527.72649000027,1484.52148900137,5.52898656935719,-1.23026788740986,-6.61954989994584,6758662.11722982,1.02331933954551,0.196897354857469,1.48180599450461,0.197659401373356,-1.37314475876759,-0.867737478486566,3.05977258920153,-1.97989570827E-5,-9.597485664189E-4,0.0,398287.115472891,3.4018E-12,990.9677734375,5.52898656935719,-1.23026788740986,-6.61954989994584
60.0,-1789712.66688801,3920255.07286153,5213136.77866225,-4276130.76360603,501640.150638707,5216447.94770985,440.899504427431,-7584.04304560393,1084.18939672429,5.50841669093311,-0.646201702281487,-6.719712406156,6758662.11722981,1.02769460895833,0.222661814258011,1.49262511782824,0.223517173664353,-1.44136330271033,-0.877176584826647,-3.13591784693659,-1.97989570827E-5,-9.416286993853E-4,-4.9255690467E-6,398357.017701142,3.2024E-12,984.492431640625,5.50841669093311,-0.646201702281487,-6.719712406156
120.0,-2144732.04662905,3662345.06425589,5266057.40817693,-4239785.46485052,45786.4492663021,5269357.68010088,770.149856362154,-7605.2077588941,678.777242700872,5.46236021841777,-0.058989324126963,-6.78881750197518,6758662.11722981,1.03206987837114,0.25649229770668,1.50443191717561,0.257458298717372,-1.50999319238097,-0.882941138312357,-3.0484407235342,-1.97989570827E-5,-9.260397828385E-4,-9.7733391674E-6,398286.426972884,3.31E-12,992.429565429687,5.46236021841777,-0.058989324126963,-6.78881750197518
180.0,-2492166.13162718,3390598.74813122,5294563.01581385,-4183783.25764123,-410279.480789338,5297837.0895684,1095.87688043119,-7591.11290731518,270.1592543332,5.39101509822649,0.528665740843096,-6.82652947798967,6758662.11722984,1.03644514778395,0.304873003837374,1.51703223885524,0.305986316897771,-1.57844263597595,-0.885137290831114,-2.96148231364014,-1.97989570827E-5,-9.131985242829E-4,-1.44846220059E-5,398079.274173534,3.4386E-12,1001.05029296875,5.39101509822649,0.528665740843096,-6.82652947798967
240.0,-2830524.93703077,3106195.59239715,5298517.77706277,-4108380.89026428,-864442.894077582,5301750.47079932,1416.57209400392,-7541.81319429672,-139.774483846494,5.29469509567205,1.11405482451913,-6.8326557264296,6758662.11722987,1.04082041719676,0.383003344847914,1.53016695794487,0.384319269166167,-1.6461623237971,-0.883880621299437,-2.87549998248079,-1.97989570827E-5,-9.03285833845E-4,-1.90030251728E-5,397733.849092701,3.5884E-12,1010.26550292968,5.29469509567205,1.11405482451913,-6.8326557264296
300.0,-3158349.27065452,2810360.86253624,5277899.46242089,-4013924.98616862,-1314597.20057474,5281075.7837958,1730.74928790111,-7457.5256937731,-549.126655786194,5.17382866282707,1.69447627941298,-6.80714795491118,6758662.11722986,1.04519568660958,0.535543935662627,1.5433825285217,0.53713539697116,-1.71266206501994,-0.879288180559327,-2.79089097076397,-1.97989570827E-5,-8.964433772459E-4,-2.32756374293E-5,397253.412922238,3.7594E-12,1019.95324707031,5.17382866282707,1.69447627941298,-6.80714795491118
360.0,-3474217.08356248,2504360.33240143,5232799.61189834,-3900850.50203059,-1758653.68795009,5235904.82755119,2036.95136094596,-7338.62906255893,-956.001393644212,5.0289572988201,2.26724769265309,-6.75010277495491,6758662.11722984,1.04957095602238,0.942362995934365,1.55524603757907,0.944319273810851,-1.77752009220422,-0.871471443822096,-2.70798327246172,-1.97989570827E-5,-8.927707330596E-4,-2.72541766306E-5,396641.36562969,3.9509E-12,1029.97082519531,5.0289572988201,2.26724769265309,-6.75010277495491
420.0,-3776749.70791139,2189494.85846839,5163423.18837942,-3769678.77900081,-2194551.17459288,5166442.89226219,2333.75704093164,-7185.66202019759,-1358.51297383502,4.8607334037903,2.82971808104518,-6.66176165594942,6758662.11722984,1.0539462254352,2.02966423525903,1.55854921922217,2.03208944051032,-1.84038542411905,-0.860530825075692,-2.62703348972666,-1.97989570827E-5,-8.923233057801E-4,-3.08960548678E-5,395895.088251038,4.162E-12,1040.1689453125,4.8607334037903,2.82971808104518,-6.66176165594942
480.0,-4064617.95455067,1867094.84019274,5070087.71000333,-3621015.19485857,-2620265.54951372,5073007.89024537,2619.78746171101,-6999.32109896113,-1754.79449109273,4.66991762971271,3.37928001560925,-6.54251023745121,6758662.11722982,1.05832149484801,2.7081917254783,1.54883612370385,2.71120304949997,-1.9009747009534,-0.846552134119255,-2.54823021339412,-1.97989570827E-5,-8.951111125411E-4,-3.41653161329E-5,395030.641323597,4.3915E-12,1050.40612792968,4.66991762971271,3.37928001560925,-6.54251023745121
540.0,-4336548.04310486,1538514.58951118,4953221.86403547,-3455546.42660893,-3033819.15548765,4956028.96803487,2893.71256636928,-6780.45766980717,-2143.00647189824,4.45737573340016,3.91338162296542,-6.39287699509382,6758662.11722981,1.06269676426082,2.93008452941593,1.53583619862631,2.93381028879162,-1.95906539167932,-0.829605066918309,-2.47170099002425,-1.97989570827E-5,-9.010985144961E-4,-3.70334066668E-5,394059.702145742,4.6383E-12,1060.55859375,4.45737573340016,3.91338162296542,-6.39287699509382
600.0,-4591327.33761593,1205126.63283089,4813363.60702585,-3274037.33484955,-3433289.97225013,4816044.60446501,3154.25730682394,-6530.07425328243,-2521.34538840811,4.22407493918241,4.42953841007267,-6.21353125792628,6758662.11722981,1.06707203367362,3.03022771788338,1.52250816012804,3.03480521896632,-2.01448725402006,-0.809743572709246,-2.39752095581604,-1.97989570827E-5,-9.102049089018E-4,-3.94797465631E-5,392989.7494385,4.901E-12,1070.52355957031,4.22407493918241,4.42953841007267,-6.21353125792628
660.0,-4827809.86129808,868315.969071724,4651157.75838314,-3077327.48299857,-3816820.55719292,4653700.20187493,3400.20761071461,-6249.32012759444,-2888.05203397277,3.97107982105355,4.92534485815665,-6.00528057770799,6758662.11722982,1.07144730308643,3.08703363370828,1.50953462483951,3.0926068836769,-2.06711356182436,-0.787007770046147,-2.32572158521843,-1.97989570827E-5,-9.223063410573E-4,-4.14920823404E-5,391827.634741179,5.1781E-12,1080.21948242187,3.97107982105355,4.92534485815665,-6.00528057770799
720.0,-5044921.56455813,529474.307458965,4467353.0968242,-2866327.30620439,-4182626.70183835,4469745.17990494,3630.41608710393,-5939.48624933605,-3241.41972144849,3.6995477164527,5.3984857312233,-5.76906745354909,6758662.11722981,1.07582257249925,3.12392731563378,1.49723388465255,3.13064460861601,-2.11685309558211,-0.761426996509821,-2.25629852444132,-1.97989570827E-5,-9.372379429429E-4,-4.30666128372E-5,390589.996172759,5.4681E-12,1089.58361816406,3.6995477164527,5.3984857312233,-5.76906745354909
780.0,-5241665.32116445,189994.308806901,4262798.97147704,-2642013.94644313,-4529005.76339754,4265029.58367401,3843.80744331334,-5601.99950563128,-3579.80226580021,3.41072368628999,5.846747044375,-5.50596541829331,6758662.1172298,1.08019784191205,-3.13311753981624,1.4858266604234,-3.12510613048631,-2.16364337954496,-0.733023562630038,-2.18921799663552,-1.97989570827E-5,-9.547970635513E-4,-4.42078935425E-5,389296.844622607,5.7689E-12,1098.56665039062,3.41072368628999,5.846747044375,-5.50596541829331
840.0,-5417125.62830558,-148736.146016441,4038441.44171074,-2405426.77194258,-4854344.63194323,4040500.22042439,4039.38358616932,-5238.41631975566,-3901.62171297017,3.10593503833352,6.26802663725345,-5.21717449618125,6758662.1172298,1.08457311132487,-3.11345079297748,1.47549169531905,-3.10399598253491,-2.20744524200355,-0.701816820150164,-2.12442167708719,-1.97989570827E-5,-9.747469289102E-4,-4.49285359817E-5,387963.481300883,6.0783E-12,1107.12976074218,3.10593503833352,6.26802663725345,-5.21717449618125
900.0,-5570472.98726818,-485339.636897017,3795318.96202706,-2157662.60064273,-5157127.29514892,3797196.34098206,4216.2283820388,-4850.41563555417,-4205.37577765619,2.78658543361583,6.66034429835499,-4.90401604458825,6758662.1172298,1.08894838073768,-3.09799577782074,1.46638092907814,-3.08695166110254,-2.2482385117463,-0.667827226682321,-2.06183020468217,-1.97989570827E-5,-9.968206600403E-4,-4.52487278976E-5,386611.30852087,6.3938E-12,1115.24084472656,2.78658543361583,6.66034429835499,-4.90401604458825
960.0,-5700967.94258045,-818454.811245904,3534557.63056348,-1899870.64890283,-5435941.96416304,3536244.88459791,4373.51205128858,-4439.79130921397,-4489.64495351173,2.45414859808007,7.02185138672442,-4.56792699598553,6758662.11722981,1.09332365015049,-3.08544332180186,1.45862404887395,-3.07266994785382,-2.28601853739886,-0.631080174172434,-2.00134562569817,-1.97989570827E-5,-0.0010207254847003,-4.51956059526E-5,385256.591437082,6.7121E-12,1122.87268066406,2.45414859808007,7.02185138672442,-4.56792699598553
1020.0,-5807964.75871303,-1146741.89376201,3257366.02191449,-1633247.22808599,-5689487.72599555,3258855.30789261,4510.49517421382,-4008.44394012673,-4753.09926035098,2.11016166424396,7.3508398986551,-4.21045351969878,6758662.11722979,1.0976989195633,-3.07498005942981,1.45232967211068,-3.06034594736859,-2.32079319644456,-0.591609432988864,-1.94285308792561,-1.97989570827E-5,-0.0010461470017326,-4.48025152195E-5,383915.472811385,7.0298E-12,1130.00073242187,2.11016166424396,7.3508398986551,-4.21045351969878
1080.0,-5890914.71479886,-1468888.07664787,2965029.62706434,-1359030.21298284,-5916580.68979238,2966314.02071612,4626.53228704339,-3558.37217567503,-4994.50459422085,1.75621817018927,7.64575092852297,-3.833244126512,6758662.11722979,1.10207418897612,-3.06607001771165,1.44758537388561,-3.04945456942814,-2.35258010828328,-0.549460137287052,-1.88622205578321,-1.97989570827E-5,-0.0010727533914197,-4.41081889916E-5,382612.577290348,7.3429E-12,1136.60229492187,1.75621817018927,7.64575092852297,-3.833244126512
1140.0,-5949368.99932619,-1783612.76826859,2658904.92522849,-1078493.30726906,-6116159.59655313,2659978.45373708,4721.07504834278,-3091.66352777447,-5212.72864768934,1.39396074566022,7.90518247477739,-3.43804224265474,6758662.11722981,1.10644945838892,-3.05834094270008,1.44445734859874,-3.03963670670341,-2.38140384452461,-0.504691295427984,-1.83130723643373,-1.97989570827E-5,-0.0011001995066546,-4.31558789741E-5,381362.917326334,7.6471E-12,1142.65649414062,1.39396074566022,7.90518247477739,-3.43804224265474
1200.0,-5982981.18836927,-2089672.67887428,2340413.11430863,-792940.132317241,-6287290.86420461,2341270.78448689,4793.67495799482,-2610.48474187501,-5406.74636939627,1.0250735174472,8.12789654440821,-3.0266782831849,6758662.1172298,1.11082472780174,-3.05152069451316,1.44299002051644,-3.03063543498084,-2.40729301224406,-0.457377850091394,-1.77794932045064,-1.97989570827E-5,-0.0011281308225977,-4.19924605291E-5,380194.967625397,7.9378E-12,1148.142578125,1.0250735174472,8.12789654440821,-3.0266782831849
1260.0,-5991509.29264263,-2385866.72273105,2011033.52846714,-503698.166693226,-6429173.0424675,2011671.35038417,4843.98561293802,-2117.0717618468,-5575.64493381641,0.651274268515437,8.31282551191483,-2.60106125820555,6758662.11722982,1.11519999721455,-3.0453990989909,1.4432057395382,-3.0222576251095,-2.43027715488979,-0.407612337430695,-1.72597556572566,-1.97989570827E-5,-0.0011561872616832,-4.06675313139E-5,379113.802273269,8.2104E-12,1153.04113769531,0.651274268515437,8.31282551191483,-2.60106125820555
1320.0,-5974817.36049393,-2671040.71682334,1672296.77300613,-212112.564553188,-6541140.65463567,1672711.77894626,4871.76448597487,-1613.71933672274,-5718.62819429183,0.274306387482386,8.45907769191743,-2.16316994869451,6758662.11722984,1.11957526662736,-3.03980315056104,1.44510462578684,-3.0143488636492,-2.45038346302536,-0.355506205971834,-1.67520019821848,-1.97989570827E-5,-0.0011840069418438,-3.92325153248E-5,378137.13197787,8.4599E-12,1157.33276367187,0.274306387482386,8.45907769191743,-2.16316994869451
1380.0,-5932876.62587567,-2944091.85720568,1325777.60828453,80460.1180883177,-6622667.40621843,1325967.86694269,4876.87421621916,-1102.77031761807,-5835.0205946947,-0.104069352976453,8.56594208806514,-1.71504369194223,6758662.11722985,1.12395053604017,-3.03457896101673,1.44866459612591,-3.00677508077953,-2.46763331232292,-0.30119085761778,-1.62542456914444,-1.97989570827E-5,-0.0012112299151769,-3.77397788956E-5,377270.032488774,8.6818E-12,1160.99865722656,-0.104069352976453,8.56594208806514,-1.71504369194223
1440.0,-5865766.19235209,-3203972.95508512,973087.615810202,372658.259633665,-6673368.74335947,973052.241650227,4859.28340212033,-586.604695273007,-5924.27051757332,-0.482083148433891,8.63289228480157,-1.25877281965125,6758662.11722988,1.12832580545299,-3.029576184493,1.45384159301144,-2.99940662104131,-2.48203865280209,-0.244818468907531,-1.57643699243755,-1.97989570827E-5,-0.0012375019698174,-3.62417612595E-5,376528.405951905,8.8718E-12,1164.02111816406,-0.482083148433891,8.63289228480157,-1.25877281965125
1500.0,-5773673.2462934,-3449696.41580367,615867.680893266,663121.541665112,-6693003.74703074,615606.838618438,4819.06689047255,-67.6284305439506,-5985.95304930521,-0.8579646038137,8.65958945282588,-0.79648879460925,6758662.11722988,1.13270107486579,-3.02463118771894,1.46057003058015,-2.99210103259779,-2.49359826700115,-0.18656264410197,-1.52801218428663,-1.97989570827E-5,-0.0012624785587762,-3.47901202461E-5,375921.968944083,9.0262E-12,1166.38513183593,-0.8579646038137,8.65958945282588,-0.79648879460925
1560.0,-5656892.79457463,-3680337.94506538,255780.32733092,950497.319820409,-6681476.35218942,255295.23143931,4756.40555737137,451.737868218218,-6019.7721456149,-1.22995122006694,8.64588444371054,-0.330354094470652,6758662.11722991,1.1370763442786,-3.0195441215566,1.4687634688184,-2.98467973878479,-2.50229390187956,-0.126618945624477,-1.47991023385965,-1.97989570827E-5,-0.0012858288967471,-3.34348936887E-5,375458.300624371,9.1418E-12,1168.07775878906,-1.22995122006694,8.64588444371054,-0.330354094470652
1620.0,-5515826.92431864,-3895039.96800286,-105498.059496743,1233446.9662423,-6638835.88436261,-106205.150076057,4671.58557970691,969.070365639001,-6025.56218379864,-1.59629688216533,8.59181895408186,0.137448106466061,6758662.11722987,1.14145161369142,-3.01404118875369,1.47831551936284,-2.97688989554392,-2.50808626586388,-0.0652053439960177,-1.4318750480615,-1.97989570827E-5,-0.0013072402316352,-3.22236789833E-5,375142.288781353,9.2164E-12,1169.08959960937,-1.59629688216533,8.59181895408186,0.137448106466061
1680.0,-5350983.58449322,-4093014.74799981,-466285.084013787,1510652.15305865,-6565276.90947368,-467210.876183916,4564.99719846155,1481.95346135608,-6003.28889111449,-1.95528030341509,8.49762574499268,0.604724404552086,6758662.1172299,1.14582688310422,-3.00770293384943,1.48910096871228,-2.96833226997026,-2.510910874356,-0.0025626299433367,-1.38363223257455,-1.97989570827E-5,-0.0013264222554581,-3.12008365671E-5,374976.967145097,9.2487E-12,1169.41369628906,-1.95528030341509,8.49762574499268,0.604724404552086
