time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1428622.31101,4163200.46562,5136049.67203,-4292653.41,955168.47,5139356.57,109.649663,-7527.72649,1484.521489,5.52898656936,-1.23026788741,-6.61954989995,6758662.11723,1.02334780893,0.1968973196502916,1.4818059951311864,0.19765936602562767,-1.3731447580259566,-0.8677374816280835,3.05977258822303,-1.979895708393292E-5,-9.59748566470664E-4,0.0,398252.763838,3.11591362917E-12,976.47737094,5.52898656936,-1.23026788741,-6.61954989995
60.0,-1789712.64868,3920255.31305,5213136.6043,-4276130.76361,501640.150639,5216447.94771,440.899504426,-7584.0430456,1084.18939672,5.50841669093,-0.646201702282,-6.71971240616,6758662.11723,1.02772307802,0.2226617745219273,1.4926251185302921,0.22351713398847944,-1.441363302398977,-0.8771765879775576,-3.1359178475785443,-1.979895708393292E-5,-9.416286994364271E-4,-4.925568339925668E-6,398335.16147,3.20687244874E-12,983.702829946,5.50841669093,-0.646201702282,-6.71971240616
120.0,-2144732.03326,3662345.31178,5266057.24147,-4239785.46485,45786.4492664,5269357.6801,770.149856361,-7605.20775889,678.777242699,5.46236021842,-0.058989324127,-6.78881750198,6758662.11723,1.03209834711,0.25649225226169553,1.5044319179620993,0.2574582535303817,-1.5099931925081107,-0.8829411414055213,-3.0484407238253786,-1.979895708393292E-5,-9.260397828881138E-4,-9.773337761625915E-6,398280.483171,3.31726588913E-12,991.661468685,5.46236021842,-0.058989324127,-6.78881750198
180.0,-2492166.12293,3390599.00166,5294562.85755,-4183783.25764,-410279.480789,5297837.08957,1095.87688043,-7591.11290731,270.159254332,5.39101509823,0.528665740843,-6.82652947799,6758662.11723,1.0364736162,0.30487295069458914,1.5170322397473217,0.3059862642046259,-1.5784426365287567,-0.8851372938005031,-2.961482313601422,-1.979895708393292E-5,-9.131985243337728E-4,-1.4484619921533792E-5,398085.378679,3.44775481373E-12,1000.300609,5.39101509823,0.528665740843,-6.82652947799
240.0,-2830524.93281,3106195.85057,5298517.62797,-4108380.89026,-864442.894077,5301750.4708,1416.572094,-7541.8131943,-139.774483848,5.29469509567,1.11405482452,-6.83265572643,6758662.11723,1.04084888529,0.38300328048577165,1.530166958990092,0.384319205434184,-1.6461623247357053,-0.8838806240822116,-2.8754999821475815,-1.979895708393292E-5,-9.032858338960712E-4,-1.9003022442541272E-5,397748.768109,3.59852917815E-12,1009.53002767,5.29469509567,1.11405482452,-6.83265572643
300.0,-3158349.2707,2810361.12396,5277899.32319,-4013924.98617,-1314597.20057,5281075.7838,1730.7492879,-7457.52569377,-549.126655788,5.17382866283,1.69447627941,-6.80714795491,6758662.11723,1.04522415437,0.5355438542884967,1.5433825298320438,0.5371353163957394,-1.712662066287001,-0.8792881831025069,-2.790890970188976,-1.979895708393292E-5,-8.964433772974925E-4,-2.327563409771745E-5,397271.88372,3.76928395326E-12,1019.22714303,5.17382866283,1.69447627941,-6.80714795491
360.0,-3474217.08765,2504360.5957,5232799.48317,-3900850.50203,-1758653.68795,5235904.82755,2036.95136094,-7338.62906256,-956.001393646,5.02895729882,2.26724769265,-6.75010277495,6758662.11723,1.04959942346,0.9423629078241564,1.5552460394426393,0.9443191866487497,-1.7775200937225386,-0.8714714460756944,-2.707983271727253,-1.979895708393292E-5,-8.927707331134307E-4,-2.7254172753220888E-5,396658.271822,3.95927497991E-12,1029.24864764,5.02895729882,2.26724769265,-6.75010277495
420.0,-3776749.71579,2189495.12225,5163423.07076,-3769678.779,-2194551.17459,5166442.89226,2333.75704093,-7185.6620202,-1358.51297384,4.86073340379,2.82971808105,-6.66176165595,6758662.11723,1.05397469255,2.0296643063115543,1.5585492210191598,2.03208951265626,-1.8403854258222192,-0.860530827003449,-2.627033488908765,-1.979895708393292E-5,-8.923233058348798E-4,-3.089605051041862E-5,395913.75464,4.16743259548E-12,1039.44538411,4.86073340379,2.82971808105,-6.66176165595
480.0,-4064617.96598,1867095.10307,5070087.60404,-3621015.19486,-2620265.54951,5073007.89024,2619.78746171,-6999.32109896,-1754.79449109,4.66991762971,3.37928001561,-6.54251023745,6758662.11723,1.05834996164,2.7081917930721326,1.548836124410134,2.7112031182947978,-1.9009747027375867,-0.8465521356948311,-2.548230212570251,-1.979895708393292E-5,-8.951111125975669E-4,-3.4165311369976876E-5,395046.35254,4.39248786983E-12,1049.67618037,4.66991762971,3.37928001561,-6.54251023745
540.0,-4336548.05782,1538514.85011,4953221.77021,-3455546.42661,-3033819.15549,4956028.96803,2893.71256637,-6780.45766981,-2143.0064719,4.4573757334,3.91338162297,-6.39287699509,6758662.11723,1.06272523073,2.930084564617323,1.535836198910736,2.9338103252721943,-1.9590653934880293,-0.829605068122807,-2.471700989279052,-1.979895708393292E-5,-9.010985145530925E-4,-3.703340158005036E-5,394066.16769,4.63306699777E-12,1059.81737392,4.4573757334,3.91338162297,-6.39287699509
