time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.48862739,4185811.47756286,5163944.85376219,-4315967.73999999,960356.199999999,5167269.52999999,129.091036999934,-7491.51385500013,1452.51565399991,5.46941408349186,-1.21701227670639,-6.54822705894007,6759053.07578975,1.02331933954551,0.19689735485747,1.48180599450461,0.197659401373358,-1.37314475827125,-0.86773747862804,3.05977258849908,-1.9585614615E-5,-9.475261846072E-4,0.0,435023.891975937,1.782E-12,992.872619628906,5.46941408349186,-1.21701227670639,-6.54822705894007
60.0,-1794950.05296065,3943125.78856612,5239239.79605635,-4298383.75497048,509016.725547931,5242568.01441598,456.873453273713,-7547.42173400805,1056.41305957734,5.45257924198937,-0.645697124724758,-6.65029442684518,6759053.07578973,1.02769460895833,0.222722943971901,1.49263472819717,0.223578073492409,-1.44048694640206,-0.877080121548134,-3.13704097079112,-1.9585614615E-5,-9.296916630247E-4,-4.8401607777E-6,433115.87313641,1.7272E-12,986.205200195312,5.45257924198937,-0.645697124724758,-6.65029442684518
120.0,-2147547.18523093,3685626.96521056,5290617.76797841,-4261177.84165865,55353.9685751973,5293934.33527935,782.910113090134,-7568.91571402689,655.073376703436,5.41122605044224,-0.0702934371387033,-6.7227129326392,6759053.07578975,1.03206987837114,0.25681242700296,1.50447375426985,0.257777139226893,-1.50822765466261,-0.882842380067207,-3.05069306132271,-1.9585614615E-5,-9.143394342456E-4,-9.6084120328E-6,430911.681513475,1.8587E-12,994.001220703125,5.41122605044224,-0.0702934371387033,-6.7227129326392
180.0,-2492684.26106042,3414408.64931455,5317818.15938755,-4204498.84971832,-398561.363029105,5321107.91929482,1105.73160265977,-7555.82484024798,250.289448678891,5.34542737930093,0.506714568945596,-6.76503834979504,6759053.07578975,1.03644514778395,0.305885514411814,1.51713264466566,0.306995146941385,-1.57580172400148,-0.885127887865175,-2.96484548743038,-1.9585614615E-5,-9.016929711346E-4,-1.42480051469E-5,428423.881970259,2.0149E-12,1002.46813964843,5.34542737930093,0.506714568945596,-6.76503834979504
240.0,-2828892.49737323,3130615.38183372,5320688.59130997,-4128583.6023506,-850652.794750099,5323936.49262932,1423.87589009512,-7508.12814381691,-156.122774234484,5.25535668534846,1.08281296502147,-6.77694529983122,6759053.07578975,1.04082041719676,0.385836768493131,1.53035169788828,0.38714486278272,-1.64268574986792,-0.884048246981416,-2.87993157112256,-1.9585614615E-5,-8.919428975743E-4,-1.87041321308E-5,425661.788629329,2.1986E-12,1011.51983642578,5.25535668534846,1.08281296502147,-6.77694529983122
300.0,-3154729.04319163,2835438.15525896,5299186.08634122,-4033756.27141946,-1298847.13301984,5302377.25117308,1735.89440574255,-7425.95617001209,-562.331476724368,5.14128947640578,1.6554666784825,-6.758230921026,6759053.07578974,1.04519568660958,0.544019651242898,1.54365995568536,0.545597041692514,-1.70841320739167,-0.879715191390237,-2.79632641805203,-1.9585614615E-5,-8.852432891944E-4,-2.29250548986E-5,422639.041661672,2.4127E-12,1021.03753662109,5.14128947640578,1.6554666784825,-6.758230921026
360.0,-3468783.07647878,2530109.78695854,5253377.79833675,-3920427.3852626,-1741083.58875551,5256497.58980595,2040.358202706,-7309.59197714171,-966.496434167889,5.00360451248762,2.2221285704879,-6.70881831891693,6759053.07578973,1.04957095602238,0.974001161050803,1.55549558922424,0.975934802471692,-1.77258259696544,-0.872233665815706,-2.71433892883151,-1.9585614615E-5,-8.817084633584E-4,-2.68632182795E-5,419368.929530792,2.6601E-12,1030.88061523437,5.00360451248762,2.2221285704879,-6.70881831891693
420.0,-3769681.88461013,2215900.12426178,5183441.28898942,-3789092.46488669,-2175322.94417954,5186475.37826282,2335.86418042511,-7159.47157516558,-1366.77666753675,4.84278469880816,2.78024903500316,-6.62875974533589,6759053.07578974,1.0539462254352,2.08092701549466,1.55810120333732,2.08331856569817,-1.83485905839241,-0.861696449959575,-2.63421038334968,-1.9585614615E-5,-8.814104209928E-4,-3.04763037353E-5,415862.944916343,2.9435E-12,1040.90124511718,4.84278469880816,2.78024903500316,-6.62875974533589
480.0,-4056096.90457647,1894111.0930593,5089664.33987088,-3640330.28534663,-2599556.72836462,5092598.77217131,2621.04135141867,-6976.18377266991,-1761.33827945779,4.65941762361249,3.32728612084416,-6.51823944782057,6759053.07578977,1.05832149484801,2.72263842216356,1.5478279154198,2.72560259776456,-1.89497084359631,-0.848180698336036,-2.55611817249969,-1.9585614615E-5,-8.84377077038E-4,-3.37281799666E-5,412141.010399527,3.266E-12,1050.95715332031,4.65941762361249,3.32728612084416,-6.51823944782057
540.0,-4326749.69756451,1566071.60277223,4972444.28970021,-3474800.76038683,-3011816.36506654,4975265.54902237,2894.55712842804,-6760.46940100285,-2148.36244979976,4.45419569213641,3.86071616874285,-6.37757612704768,6759053.07578973,1.06269676426082,2.93416586185245,1.53446048053985,2.93782858673456,-1.95270247758528,-0.831746490475482,-2.48018280932376,-1.9585614615E-5,-8.90591375987E-4,-3.65897095869E-5,408245.009205563,3.6305E-12,1060.92248535156,4.45419569213641,3.86071616874285,-6.37757612704768
600.0,-4580417.83115437,1233132.32171001,4832286.88801512,-3293242.44987753,-3410182.25455717,4834981.96024697,3155.12360624466,-6513.21988517542,-2526.05356531136,4.22791580717381,4.37804494470854,-6.20722493659359,6759053.07578972,1.06707203367362,3.03081580744715,1.52075701337412,3.03531217489437,-2.00788640741477,-0.812437249496574,-2.4064763805435,-1.9585614615E-5,-8.999913382447E-4,-3.90393776573E-5,404179.462525087,4.0402E-12,1070.69116210937,4.22791580717381,4.37804494470854,-6.20722493659359
660.0,-4815940.64104647,896660.338080295,4669804.658067,-3096469.69121065,-3792792.74938626,4672361.0922199,3401.50380953293,-6235.4751325988,-2892.64745381796,3.9814785468529,4.87681923940826,-6.00777895699357,6759053.07578973,1.07144730308643,3.08596229384417,1.50737579721436,3.09143436525072,-2.06039458512746,-0.79028171993976,-2.33503095397675,-1.9585614615E-5,-9.124710274725E-4,-4.10637174976E-5,399971.032421958,4.498E-12,1080.177734375,3.9814785468529,4.87681923940826,-6.00777895699357
720.0,-5032224.84301553,558033.723222627,4485714.76365379,-2885369.35762982,-4157852.98232741,4488120.73090507,3632.51787502519,-5928.42071290884,-3246.41968936135,3.71588679137418,5.35463889108384,-5.7799700748754,6759053.07578974,1.07582257249925,3.12185201990105,1.49463428143616,3.12844648532366,-2.11013093048275,-0.765297106267732,-2.26584595980733,-1.9585614615E-5,-9.278823749916E-4,-4.26575207663E-5,395644.312507246,5.0068E-12,1089.31494140625,3.71588679137418,5.35463889108384,-5.7799700748754
780.0,-5228249.96471964,218636.014987864,4280836.37674413,-2660897.24845206,-4503643.50324198,4283080.72699815,3847.04913363255,-5593.38430505629,-3585.69393050879,3.43224375272009,5.80916917685302,-5.52466919802599,6759053.07578971,1.08019784191205,-3.13591508605182,1.48275745858661,-3.12804935741108,-2.15702512189887,-0.73749295306672,-2.19889406449151,-1.9585614615E-5,-9.460377508924E-4,-4.38238310788E-5,391239.371566104,5.569E-12,1098.04919433593,3.43224375272009,5.80916917685302,-5.52466919802599
840.0,-5403073.56610133,-120149.359440601,4056087.54513498,-2424074.11828712,-4828528.68027276,4058159.86081252,4044.05005535288,-5231.83139153667,-3908.85024994641,3.13175036476533,6.23815350431992,-5.24288573872322,6759053.07578971,1.08457311132487,-3.11683692323634,1.47193043426627,-3.10755141128238,-2.20102776378897,-0.70687537974987,-2.13412546032897,-1.9585614615E-5,-9.667131378673E-4,-4.45737320453E-5,386783.36853393,6.1865E-12,1106.337890625,3.13175036476533,6.23815350431992,-5.24288573872322
900.0,-5555836.21643855,-456944.700614717,3812481.56201669,-2175981.35466125,-5130964.8197019,3814372.20878814,4222.54801743493,-4845.36018410731,-4214.33340949304,2.81570199583596,6.63942632249614,-4.93576630063449,6759053.07578971,1.08894838073768,-3.10190605960605,1.46231279486381,-3.09105516546228,-2.24210671474617,-0.673451347367204,-2.07147076139143,-1.9585614615E-5,-9.896517463668E-4,-4.49259503668E-5,382312.202711834,6.86E-12,1114.14501953125,2.81570199583596,6.63942632249614,-4.93576630063449
960.0,-5685766.19566931,-790383.671759211,3551122.84218329,-1917756.31588993,-5409507.95802194,3552823.01636839,4381.6508541503,-4435.69577058025,-4500.6610309171,2.4854844515996,7.01092615837827,-4.60459250912234,6759053.07578972,1.09332365015049,-3.08985059830208,1.45404279993823,-3.07729422176344,-2.2802442316746,-0.637232715589939,-2.01084282909186,-1.9585614615E-5,-0.0010145679097408,-4.49063016256E-5,377856.445031534,7.589E-12,1121.44067382812,2.4854844515996,7.01092615837827,-4.60459250912234
1020.0,-5792183.88745711,-1119116.92826509,3273202.31270561,-1650587.34359683,-5662821.27931989,3274704.08507219,4520.55214480204,-4004.68347826534,-4766.43160950609,2.142569243206,7.35070867343741,-4.25077793095601,6759053.07578973,1.0976989195633,-3.07988019396751,1.4472383153093,-3.06548627428977,-2.31543456325116,-0.598239930210523,-1.95213787433089,-1.9585614615E-5,-0.0010411511146338,-4.4547010169E-5,373447.342355096,8.3717E-12,1128.19860839843,2.142569243206,7.35070867343741,-4.25077793095601
1080.0,-5874505.83161228,-1441817.71721154,2979992.32915881,-1375708.46691858,-5889682.11100618,2981288.68486422,4638.53619533496,-3554.28145632444,-5010.33231432359,1.78850810379332,7.6569596230627,-3.87586403721867,6759053.07578973,1.10207418897612,-3.07147532342067,1.4419966181058,-3.05512229839725,-2.34768167550845,-0.556505255786629,-1.89523613392851,-1.9585614615E-5,-0.0010690700521625,-4.3885934969E-5,369123.039741439,9.204E-12,1134.39477539062,1.78850810379332,7.6569596230627,-3.87586403721867
1140.0,-5932248.4039663,-1757187.42128327,2672841.13193515,-1094393.81813834,-6088988.45127266,2673926.00636778,4734.98266817238,-3086.55248662178,-5231.14651659028,1.42492674575694,7.92800759198617,-3.48151517260018,6759053.07578971,1.10644945838892,-3.06427743640666,1.43839384159337,-3.04585657239054,-2.37699687709184,-0.512075528465488,-1.84000233237875,-1.9585614615E-5,-0.0010979766149396,-4.29657309463E-5,364915.068191987,1.00797E-11,1140.0087890625,1.42492674575694,7.92800759198617,-3.48151517260018
1200.0,-5965031.09263159,-2063961.0204902,2353166.86074483,-807951.78222116,-6259764.9824726,2354035.17103883,4809.37081475112,-2603.65504053764,-5427.7609857378,1.05351786143355,8.16233637022415,-3.06951250520709,6759053.07578971,1.11082472780174,-3.05802760882954,1.43648436940832,-3.03744515310782,-2.4033962030922,-0.465014448072796,-1.78628604446371,-1.9585614615E-5,-0.0011275098085788,-4.18329706729E-5,360863.758501577,1.09902E-11,1145.02197265625,1.05351786143355,8.16233637022415,-3.06951250520709
1260.0,-5972579.34078806,-2360912.44430451,2022451.14907147,-517718.905444595,-6401168.5259121,2023098.8210857,4861.28326571475,-2107.83360754954,-5599.17269149623,0.676033380940563,8.3585968274164,-2.64174694339379,6759053.07578971,1.11519999721455,-3.05253008542797,1.43630031540889,-3.0297091924097,-2.42689749507424,-0.4154044564799,-1.73392198916492,-1.9585614615E-5,-0.0011572995884372,-4.05372455327E-5,356989.88879117,1.19243E-11,1149.41845703125,0.676033380940563,8.3585968274164,-2.64174694339379
1320.0,-5954726.92773196,-2646859.78623667,1682232.32406168,-225053.590988733,-6512492.89534937,1682656.31463409,4890.40933489856,-1601.40833005961,-5744.49514996993,0.294276012649861,8.51561813892541,-2.20021101976292,6759053.0757897,1.11957526662736,-3.04762915740624,1.43785115463322,-3.02251154163984,-2.44751717120727,-0.363348263254139,-1.6827302206195,-1.9585614615E-5,-0.0011869706678687,-3.91302593078E-5,353325.379358563,1.28683E-11,1153.18420410156,0.294276012649861,8.51561813892541,-2.20021101976292
1380.0,-5911417.86190764,-2920670.35250865,1334098.24103967,68670.3880714445,-6593173.10883245,1334296.55535028,4896.54779513275,-1086.7639878207,-5862.96425210167,-0.0899098960440005,8.63241821494413,-1.74698975719487,6759053.07578972,1.12395053604017,-3.04319321981269,1.44112354143162,-3.01574049203301,-2.46526671209308,-0.308970082983619,-1.63251614018529,-1.9585614615E-5,-0.0012161463688241,-3.76649216844E-5,349887.877812378,1.3806E-11,1156.30737304687,-0.0899098960440005,8.63241821494413,-1.74698975719487
1440.0,-5842707.76201866,-3181265.51636918,979678.785495972,362070.525485077,-6642788.92137517,979650.489395994,4879.60908652043,-566.338384237287,-5953.9435142794,-0.474648127619749,8.70821318437834,-1.28425054729494,6759053.07578971,1.12832580545299,-3.03910230856863,1.44608133928695,-3.00929695582009,-2.48014889797842,-0.2524166452375,-1.58307023273968,-1.9585614615E-5,-0.001244452596053,-3.61944451012E-5,346706.096759477,1.47194E-11,1158.779296875,-0.474648127619749,8.70821318437834,-1.28425054729494
1500.0,-5748764.70507538,-3427625.34975377,620638.078947695,653762.333106524,-6661067.64437286,620383.306138302,4839.61692122074,-42.6101956258431,-6016.92869314292,-0.858040930629494,8.74242578859681,-0.814232087701472,6759053.07578972,1.13270107486579,-3.03523634807653,1.45266588296315,-3.00308232541222,-2.49215382735271,-0.193858031573207,-1.53416742555626,-1.9585614615E-5,-0.0012715220107011,-3.47714462027E-5,343802.040213793,1.5589E-11,1160.59423828125,-0.858040930629494,8.74242578859681,-0.814232087701472
1560.0,-5629869.52336298,-3658793.00444601,258666.428449587,942366.169550534,-6647886.22158201,258186.382421698,4776.70925286993,481.913646959191,-6051.55170992155,-1.23817984887068,8.73469254639504,-0.339232440952161,6759053.0757897,1.1370763442786,-3.03146115509044,1.46079649221296,-2.99698406425765,-2.50125473230755,-0.133488387558789,-1.48556597466649,-1.9585614615E-5,-0.0012969984576241,-3.34470531505E-5,341194.809433872,1.63948E-11,1161.75048828125,-1.23817984887068,8.73469254639504,-0.339232440952161
1620.0,-5486415.53578598,-3873878.81565195,-104527.937309176,1226514.10726219,-6603272.53590882,-105230.986633408,4691.13858357771,1004.71096567017,-6057.58383388099,-1.61315695786555,8.68486956074344,0.138403706297078,6759053.07578971,1.14145161369142,-3.02760759995341,1.47037125392889,-2.99085443961446,-2.50740358934615,-0.0715265539612835,-1.43700579800367,-1.9585614615E-5,-0.0013205416648886,-3.22700220933E-5,338900.033050452,1.71169E-11,1162.24951171875,-1.61315695786555,8.68486956074344,0.138403706297078
1680.0,-5318907.70283333,-4072064.1019676,-467227.299514595,1504856.79757914,-6527405.92613757,-468150.024467193,4583.27158689285,1523.25764850287,-6034.93807965509,-1.98107641258762,8.59303685005665,0.61629848934214,6759053.07578968,1.14582688310422,-3.02343458781034,1.48126808294448,-2.98447306991547,-2.51052651229946,-0.0082166617245747,-1.38820619566163,-1.9585614615E-5,-0.0013418321870314,-3.12858698518E-5,336930.547114413,1.77367E-11,1162.09594726562,-1.98107641258762,8.59303685005665,0.61629848934214
