time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46541304,4185811.71030584,5163944.67156165,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.46941408349186,-1.21701227670639,-6.54822705894005,6759053.07578957,1.02331944621101,1.48354308793975,0.001521078032323,0.017386890882379,-1.37314475827124,-0.867737478628041,3.05977258849909,-1.9585614615E-5,-9.475261846072E-4,0.0,434989.540811728,1.6157E-12,978.026450176724,5.46941408349186,-1.21701227670639,-6.54822705894005
60.0,-1794950.03469682,3943126.03027672,5239239.62039872,-4298383.7549705,509016.725547943,5242568.014416,456.873453273778,-7547.42173400794,1056.41305957744,5.45257924198934,-0.645697124724796,-6.65029442684512,6759053.07578961,1.02769471546425,1.49458387850653,0.0015127241820233,0.017248113793635,-1.44048694640204,-0.87708012154814,-3.13704097079113,-1.9585614615E-5,-9.296916630246E-4,-4.8401607777E-6,433093.864997596,1.7266E-12,985.077038121306,5.45257924198934,-0.645697124724796,-6.65029442684512
120.0,-2147547.17176179,3685627.21460426,5290617.59970953,-4261177.84165868,55353.9685752154,5293934.33527938,782.910113090192,-7568.91571402678,655.07337670353,5.41122605044219,-0.0702934371387564,-6.72271293263913,6759053.07578964,1.0320699847175,1.50666810328429,0.0015046871999312,0.0168343216161605,-1.50822765466258,-0.882842380067217,-3.05069306132273,-1.9585614615E-5,-9.143394342455E-4,-9.6084120328E-6,430905.28080473,1.8592E-12,992.842921583234,5.41122605044219,-0.0702934371387564,-6.72271293263913
180.0,-2492684.25224873,3414408.90504188,5317817.99932331,-4204498.84971835,-398561.363029079,5321107.91929486,1105.73160265982,-7555.82484024784,250.289448678991,5.34542737930087,0.506714568945523,-6.76503834979497,6759053.07578959,1.03644525395931,1.51964382559619,0.0015228676125822,0.0161531239284608,-1.57580172400146,-0.885127887865185,-2.96484548743039,-1.9585614615E-5,-9.016929711346E-4,-1.42480051469E-5,428429.879579339,2.0161E-12,1001.2753911964,5.34542737930087,0.506714568945523,-6.76503834979497
240.0,-2828892.49299088,3130615.64256022,5320688.44023237,-4128583.6023506,-850652.794750067,5323936.4926294,1423.87589009516,-7508.12814381677,-156.122774234382,5.25535668534834,1.08281296502138,-6.77694529983116,6759053.07578961,1.04082052320969,1.53334638202328,0.001593073836041,0.0152171673792858,-1.6426857498679,-0.884048246981426,-2.87993157112257,-1.9585614615E-5,-8.919428975742E-4,-1.87041321308E-5,425676.596111968,2.2E-12,1010.28929728583,5.25535668534834,1.08281296502138,-6.77694529983116
300.0,-3154729.04301722,2835438.41961788,5299185.94499444,-4033756.27141947,-1298847.1330198,5302377.25117315,1735.89440574259,-7425.95617001195,-562.331476724263,5.14128947640569,1.65546667848239,-6.75823092102596,6759053.07578958,1.04519579246293,1.54760041026356,0.0017402818060535,0.0140439890992806,-1.70841320739165,-0.879715191390248,-2.79632641805204,-1.9585614615E-5,-8.852432891944E-4,-2.29250548986E-5,422657.223048689,2.4135E-12,1019.76740038158,5.14128947640569,1.65546667848239,-6.75823092102596
360.0,-3468783.08032206,2530110.05351029,5253377.66742358,-3920427.38526259,-1741083.58875547,5256497.58980605,2040.35820270603,-7309.59197714158,-966.49643416778,5.0036045124875,2.22212857048777,-6.70881831891689,6759053.07578961,1.04957106170188,1.56222209674297,0.0019878989682018,0.01265573577764,-1.77258259696542,-0.872233665815721,-2.71433892883152,-1.9585614615E-5,-8.817084633584E-4,-2.68632182795E-5,419386.386702628,2.6593E-12,1029.57097163731,5.0036045124875,2.22212857048777,-6.70881831891689
420.0,-3769681.89219769,2215900.39164169,5183441.16916758,-3789092.46488668,-2175322.94417949,5186475.37826293,2335.86418042513,-7159.47157516543,-1366.77666753664,4.84278469880804,2.780249035003,-6.62875974533587,6759053.07578958,1.05394633095227,1.5770216131498,0.0023570656439492,0.0110787490574995,-1.83485905839238,-0.861696449959594,-2.6342103833497,-1.9585614615E-5,-8.814104209927E-4,-3.04763037352E-5,415881.483378133,2.9401E-12,1039.55380640356,4.84278469880804,2.780249035003,-6.62875974533587
480.0,-4056096.91565647,1894111.35986483,5089664.23174969,-3640330.28534661,-2599556.72836456,5092598.77217143,2621.04135141869,-6976.18377266978,-1761.33827945768,4.65941762361238,3.32728612084399,-6.51823944782059,6759053.07578962,1.05832160020265,1.59180570065916,0.0028660261367078,0.0093430254232713,-1.89497084359628,-0.848180698336054,-2.5561181724997,-1.9585614615E-5,-8.84377077038E-4,-3.37281799666E-5,412162.575819702,3.2586E-12,1049.57564276436,4.65941762361238,3.32728612084399,-6.51823944782059
540.0,-4326749.71187633,1566071.86760629,4972444.19383741,-3474800.76038681,-3011816.36506649,4975265.54902249,2894.55712842805,-6760.46940100273,-2148.36244979966,4.45419569213631,3.86071616874267,-6.3775761270477,6759053.07578959,1.06269686945303,1.60638035191141,0.0035295989552619,0.0074815661567879,-1.95270247758525,-0.831746490475499,-2.48018280932377,-1.9585614615E-5,-8.90591375987E-4,-3.65897095868E-5,408252.249931073,3.6175E-12,1059.5117554252,4.45419569213631,3.86071616874267,-6.3775761270477
