time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.46529,4185811.71036,5163944.67155,-4315967.74,960356.2,5167269.53,129.091037,-7491.513855,1452.515654,5.46941408349,-1.21701227671,-6.54822705894,6759053.07579,1.02334780893,0.1968951984172613,1.481806032846006,0.1976572363801104,-1.3731447128742889,-0.8677376710085247,3.059772528969102,-1.9585614615013217E-5,-9.475261846067414E-4,0.0,434989.540812,1.61790350067E-12,978.31253865,5.46941408349,-1.21701227671,-6.54822705894
60.0,-1794950.03461,3943126.0299,5239239.62072,-4298383.75497,509016.725548,5242568.01442,456.873453274,-7547.42173401,1056.41305958,5.45257924199,-0.645697124725,-6.65029442685,6759053.07579,1.02772307802,0.22272051018149247,1.4926347713686812,0.2235756433137472,-1.4404869267980738,-0.8770803144763175,-3.1370410106377937,-1.9585614615013217E-5,-9.296916629843123E-4,-4.8401181625547135E-6,433093.864999,1.72931058094E-12,985.41174162,5.45257924199,-0.645697124725,-6.65029442685
120.0,-2147547.17171,3685627.21378,5290617.60031,-4261177.84166,55353.9685753,5293934.33528,782.91011309,-7568.91571403,655.073376703,5.41122605044,-0.0702934371387,-6.72271293264,6759053.07579,1.03209834711,0.25680964203201617,1.5044738028953422,0.2577743698456482,-1.5082276613964012,-0.8828425695395306,-3.0506930806673087,-1.9585614615013217E-5,-9.14339434230724E-4,-9.608327220302512E-6,430905.280808,1.86248837629E-12,993.229374722,5.41122605044,-0.0702934371387,-6.72271293264
180.0,-2492684.25219,3414408.9038,5317818.00015,-4204498.84972,-398561.363029,5321107.91929,1105.73160266,-7555.82484025,250.289448679,5.3454273793,0.506714568946,-6.7650383498,6759053.07579,1.0364736162,0.3058822535872533,1.5171327000787618,0.3069919132836622,-1.5758017561919173,-0.8851280699483364,-2.9648454869562064,-1.9585614615013217E-5,-9.016929712144636E-4,-1.4247879304244469E-5,428429.879583,2.0200445447E-12,1001.71491968,5.3454273793,0.506714568946,-6.7650383498
240.0,-2828892.49297,3130615.64088,5320688.44124,-4128583.60235,-850652.79475,5323936.49263,1423.8758901,-7508.12814382,-156.122774235,5.25535668535,1.08281296502,-6.77694529983,6759053.07579,1.04084888529,0.3858328106898765,1.5303517630976544,0.38714094311667924,-1.6426858052853586,-0.8840484179700284,-2.8799315529222147,-1.9585614615013217E-5,-8.919428978173045E-4,-1.8703967162804875E-5,425676.596117,2.20464493186E-12,1010.78109632,5.25535668535,1.08281296502,-6.77694529983
300.0,-3154729.04304,2835438.4175,5299185.94612,-4033756.27142,-1298847.13302,5302377.25117,1735.89440574,-7425.95617001,-562.331476725,5.14128947641,1.65546667848,-6.75823092103,6759053.07579,1.04522415437,0.5440146397097717,1.5436600381831846,0.5455920784629936,-1.7084132826528693,-0.879715347944455,-2.7963263854437574,-1.9585614615013217E-5,-8.852432896635773E-4,-2.2924853420313262E-5,422657.223054,2.41895697489E-12,1020.30840998,5.14128947641,1.65546667848,-6.75823092103
360.0,-3468783.08035,2530110.05102,5253377.66861,-3920427.38526,-1741083.58876,5256497.58981,2040.35820271,-7309.59197714,-966.496434168,5.00360451249,2.22212857049,-6.70881831892,6759053.07579,1.04959942346,0.9739959406880548,1.5554957071672353,0.9759296395947029,-1.7725826878192745,-0.8722338050744061,-2.714338886034182,-1.9585614615013217E-5,-8.817084641088651E-4,-2.6862983574358554E-5,419386.386708,2.66562931551E-12,1030.15596761,5.00360451249,2.22212857049,-6.70881831892
420.0,-3769681.89227,2215900.38876,5183441.17035,-3789092.46489,-2175322.94418,5186475.37826,2335.86418043,-7159.47157517,-1366.77666754,4.84278469881,2.780249035,-6.62875974534,6759053.07579,1.05397469255,2.0809317728328764,1.558101310830694,2.083323388553345,-1.8348591600886723,-0.8616965696212755,-2.634210335152843,-1.9585614615013217E-5,-8.81410422072521E-4,-3.047603969732714E-5,415881.483384,2.94730746813E-12,1040.17567346,4.84278469881,2.780249035,-6.62875974534
480.0,-4056096.91578,1894111.35661,5089664.23286,-3640330.28535,-2599556.72836,5092598.77217,2621.04135142,-6976.18377267,-1761.33827946,4.65941762361,3.32728612084,-6.51823944782,6759053.07579,1.05834996164,2.7226424811862713,1.5478279567215034,2.725606729032157,-1.8949709511886363,-0.8481807966990627,-2.5561181239110295,-1.9585614615013217E-5,-8.843770784815012E-4,-3.372789103041631E-5,412162.575825,3.26666590153E-12,1050.22576068,4.65941762361,3.32728612084,-6.51823944782
540.0,-4326749.71204,1566071.86402,4972444.19482,-3474800.76039,-3011816.36507,4975265.54902,2894.55712843,-6760.469401,-2148.3624498,4.45419569214,3.86071616874,-6.37757612705,6759053.07579,1.06272523073,2.934167986188481,1.5344604966344106,2.937830788610989,-1.9527025862952803,-0.8317465664572871,-2.480182765181743,-1.9585614615013217E-5,-8.905913778125488E-4,-3.658940064357315E-5,408252.249936,3.62642665043E-12,1060.18042342,4.45419569214,3.86071616874,-6.37757612705
