time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,eiAccel_m_s2_X,eiAccel_m_s2_Y,eiAccel_m_s2_Z,semiMajorAxis_m,gast_rad,eulerAngle_rad_Roll,eulerAngle_rad_Pitch,eulerAngle_rad_Yaw,eulerAngleWrtEi_rad_Roll,eulerAngleWrtEi_rad_Pitch,eulerAngleWrtEi_rad_Yaw,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeMsl_m,airDensity_kg_m3,ambientTemperature_dgK,eiGravitation_m_s2_X,eiGravitation_m_s2_Y,eiGravitation_m_s2_Z
0.0,-1436381.48862739,4185811.47756286,5163944.85376219,-4315967.73999999,960356.199999999,5167269.52999999,129.091036999934,-7491.51385500013,1452.51565399991,5.45458038109295,-1.21387536214779,-6.54917495100193,6759053.07578975,1.02331933954551,0.0,-0.202458193231342,-1.0E-16,-2.47159390556422,-0.0371889647578316,-1.42899313520438,0.0,-0.0011222300308155,0.0,435023.891975937,1.782E-12,992.872619628906,5.45458039018891,-1.21387568999753,-6.5491748846485
60.0,-1794960.01130978,3943151.44550091,5239238.56940683,-4298410.85896222,509021.507966546,5242566.8086826,455.963917910248,-7547.27717034002,1056.38092041681,5.43713891255895,-0.64404441459877,-6.65043758817726,6758732.79411015,1.02769460895833,-3.98647212197E-5,-0.203738769818926,-1.951355458517E-4,-2.4720885207444,0.0165636323569785,-1.38630657662972,-1.8801710214E-6,-0.0011656564874705,-3.4699794611E-6,433132.370210207,1.7267E-12,986.205932617187,5.43713893439207,-0.644044734900807,-6.65043754140236
120.0,-2147590.37512869,3685728.99564112,5290614.71690502,-4261287.553872,55369.4384369755,5293931.36901961,781.062667921244,-7568.72037013906,655.053572822206,5.39544854057538,-0.0702738878999944,-6.72218230007977,6758511.83645275,1.03206987837114,-1.758375056418E-4,-0.207589805123614,-6.020040072178E-4,-2.47028412169528,0.0722040457284397,-1.3417494754458,-3.9885826213E-6,-0.0012094582793315,-7.212578445E-6,430978.018773451,1.8565E-12,994.004028320312,5.3954485779651,-0.07027423354726,-6.72218226888354
180.0,-2492788.95039293,3414636.12318217,5317815.10477714,-4204747.88580067,-398535.164030916,5321105.05754427,1102.93432295989,-7555.67984302026,250.317972000452,5.32959029536219,0.505005331985173,-6.76398432601428,6758393.20166591,1.03644514778395,-4.330492555999E-4,-0.214040669445829,-0.001226047732264,-2.46587847401699,0.129631334662928,-1.29499253116416,-6.3567187756E-6,-0.0012539729134434,-1.12489788885E-5,428573.636912362,2.0097E-12,1002.47467041015,5.32959035074395,0.505004958146829,-6.76398431310414
240.0,-2829091.77085456,3131014.78128509,5320689.23443217,-4129028.89210547,-850622.032555235,5323937.48121021,1420.1335727923,-7508.13875476209,-156.019337218119,5.23973872701797,1.07933256028168,-6.77552975591377,6758378.17986693,1.04082041719676,-8.375710190411E-4,-0.223141275040459,-0.0020710285513223,-2.45850605917338,0.188728103854368,-1.24561986799932,-9.023016699E-6,-0.0012995363581209,-1.56039146884E-5,425928.411940439,2.1885E-12,1011.53186035156,5.23973880332515,1.07933215535562,-6.77552976467798
300.0,-3155060.47871963,2836052.52179473,5299195.42892744,-4034453.95726747,-1298824.33431116,5302387.13599944,1731.22845134578,-7426.22863724357,-562.136422553879,5.1261644929907,1.65022422781634,-6.75662039269388,6758466.54302775,1.04519568660958,-0.0014166765125167,-0.234962000309653,-0.0031386853408883,-2.44771706538423,0.249350994303499,-1.19311080497771,-1.20333604956E-5,-0.0013464814005959,-2.0306368499E-5,423055.476934961,2.3956E-12,1021.05725097656,5.12616459368553,1.65022378899719,-6.75662042727859
360.0,-3469288.2892563,2530977.96841282,5253401.54549585,-3921431.83788544,-1741087.60886145,5256522.11903152,2034.80616980836,-7310.23051674882,-966.20304872823,4.98923647559145,2.2151822600022,-6.70717839753126,6758656.71324346,1.04957095602238,-0.0021991505823876,-0.249593492208749,-0.0044283617413438,-2.43295099554875,0.311317261577454,-1.13681548049464,-1.54416448394E-5,-0.0013951350553469,-2.5390283903E-5,419967.239707485,2.633E-12,1030.91076660156,4.9892366046819,2.21518178473524,-6.70717846290201
420.0,-3770405.95283286,2217056.12946369,5183485.25525563,-3790455.33428157,-2175378.75836649,5186520.40758222,2329.47905582524,-7160.57550371259,-1366.38802279386,4.82942317110422,2.77170358000877,-6.62725028061981,6758945.87068899,1.0539462254352,-0.0032156649768739,-0.267146278783067,-0.0059365855807096,-2.41350352332261,0.374385892827014,-1.07592299534298,-1.93103978345E-5,-0.0014458146329693,-3.08952913122E-5,416674.070298541,2.9032E-12,1040.94494628906,4.8294233331465,2.77170306616047,-6.62725038260567
480.0,-4057087.68974563,1895583.56070206,5089733.87581935,-3642099.60374399,-2599695.05560846,5092669.69072266,2613.89055155831,-6977.84479031444,-1760.86675229269,4.64729326418106,3.31729025775575,-6.51700998009989,6759329.98025309,1.05832149484801,-0.0044992490064088,-0.287750098659695,-0.0076565768530026,-2.38848549682411,0.438231075738999,-1.0094210056828,-2.37114435654E-5,-0.0014988220175282,-3.68674358582E-5,413194.225302618,3.2081E-12,1051.0185546875,4.64729346426748,3.31728970379297,-6.51701012541915
540.0,-4328057.07219111,1567883.39128005,4972543.74572917,-3477020.11330881,-3012073.13344475,4975366.7425037,2886.72122377538,-6762.76903240073,-2147.82895947533,4.44351548429538,3.84945980717994,-6.37676099960947,6759803.73734756,1.06269676426082,-0.0060858919526708,-0.311552825186176,-0.0095776534923268,-2.3567742397775,0.50240501600491,-0.936046939072027,-2.87265730905E-5,-0.0015544356324948,-4.33598815546E-5,409567.941496494,3.5502E-12,1061.00622558593,4.44351572802881,3.84945921235128,-6.37676119587716
